Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337451 to 337451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337451 to run 337451  lasting from Sat Oct  7 22:03:51 2017 UTC to Sun Oct  8 13:39:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:19:42 2017 UTC-Sun Oct  8 01:19:42 2017 UTC (0.001 )  Time stamp start 1507425582394819075 end 1507425582393818200  Run 337451, LB 204, lumi 12.79
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:19:44 2017 UTC-Sun Oct  8 01:19:44 2017 UTC (0.001 )  Time stamp start 1507425584318573595 end 1507425584317573595  Run 337451, LB 204, lumi 12.78
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:19:50 2017 UTC-Sun Oct  8 01:19:50 2017 UTC (0.001 )  Time stamp start 1507425590398890105 end 1507425590397890105  Run 337451, LB 204, lumi 12.78
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:20:13 2017 UTC-Sun Oct  8 01:20:13 2017 UTC (0.001 )  Time stamp start 1507425613087570510 end 1507425613086570510  Run 337451, LB 204, lumi 12.78
Event Veto ['NoiseBurst'], Sun Oct  8 01:20:13 2017 UTC-Sun Oct  8 01:20:13 2017 UTC (0.001 )  Time stamp start 1507425613733179040 end 1507425613731930430  Run 337451, LB 204, lumi 15.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:20:15 2017 UTC-Sun Oct  8 01:20:15 2017 UTC (0.001 )  Time stamp start 1507425615224919835 end 1507425615223919710  Run 337451, LB 204, lumi 12.78
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:20:40 2017 UTC-Sun Oct  8 01:20:40 2017 UTC (0.001 )  Time stamp start 1507425640848442755 end 1507425640847442630  Run 337451, LB 205, lumi 11.52
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:20:49 2017 UTC-Sun Oct  8 01:20:49 2017 UTC (0.001 )  Time stamp start 1507425649303363600 end 1507425649302362405  Run 337451, LB 205, lumi 11.54
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:20:52 2017 UTC-Sun Oct  8 01:20:52 2017 UTC (0.001 )  Time stamp start 1507425652683901785 end 1507425652682901610  Run 337451, LB 205, lumi 11.53
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:20:57 2017 UTC-Sun Oct  8 01:20:57 2017 UTC (0.001 )  Time stamp start 1507425657976365115 end 1507425657975364990  Run 337451, LB 205, lumi 11.52
