Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338183 to 338183
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338183 to run 338183  lasting from Fri Oct 13 17:08:29 2017 UTC to Sat Oct 14 09:33:18 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 13 17:33:07 2017 UTC-Fri Oct 13 17:33:07 2017 UTC (0.001 )  Time stamp start 1507915987954213255 end 1507915987953212730  Run 338183, LB 26, lumi 0.00
Event Veto ['NoiseBurst'], Fri Oct 13 18:30:38 2017 UTC-Fri Oct 13 18:30:38 2017 UTC (0.001 )  Time stamp start 1507919438842031265 end 1507919438840934655  Run 338183, LB 85, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:35:29 2017 UTC-Fri Oct 13 19:35:29 2017 UTC (0.001 )  Time stamp start 1507923329884658855 end 1507923329883658855  Run 338183, LB 153, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:35:58 2017 UTC-Fri Oct 13 19:35:58 2017 UTC (0.001 )  Time stamp start 1507923358661786175 end 1507923358660786175  Run 338183, LB 153, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:41:40 2017 UTC-Fri Oct 13 19:41:40 2017 UTC (0.001 )  Time stamp start 1507923700081467630 end 1507923700080467630  Run 338183, LB 159, lumi 1.84
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:02 2017 UTC-Fri Oct 13 19:42:02 2017 UTC (0.001 )  Time stamp start 1507923722676370270 end 1507923722675370270  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:05 2017 UTC-Fri Oct 13 19:42:05 2017 UTC (0.001 )  Time stamp start 1507923725908484725 end 1507923725907484725  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:09 2017 UTC-Fri Oct 13 19:42:09 2017 UTC (0.002 )  Time stamp start 1507923729403091095 end 1507923729401200355  Run 338183, LB 160, lumi 33.31
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:11 2017 UTC-Fri Oct 13 19:42:11 2017 UTC (0.001 )  Time stamp start 1507923731737296350 end 1507923731736296350  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:23 2017 UTC-Fri Oct 13 19:42:23 2017 UTC (0.001 )  Time stamp start 1507923743180828185 end 1507923743179828185  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:32 2017 UTC-Fri Oct 13 19:42:32 2017 UTC (0.001 )  Time stamp start 1507923752682828180 end 1507923752681828180  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:42:41 2017 UTC-Fri Oct 13 19:42:41 2017 UTC (0.001 )  Time stamp start 1507923761121318395 end 1507923761120318395  Run 338183, LB 160, lumi 17.62
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:43:16 2017 UTC-Fri Oct 13 19:43:16 2017 UTC (0.001 )  Time stamp start 1507923796210417080 end 1507923796209417080  Run 338183, LB 162, lumi 17.95
