Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338498 to 338498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338498 to run 338498  lasting from Wed Oct 18 09:58:38 2017 UTC to Wed Oct 18 19:17:53 2017 UTC
Event Veto ['NoiseBurst'], Wed Oct 18 10:03:35 2017 UTC-Wed Oct 18 10:03:35 2017 UTC (0.002 )  Time stamp start 1508321015494200870 end 1508321015492025315  Run 338498, LB 6, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:03:35 2017 UTC-Wed Oct 18 10:03:35 2017 UTC (0.001 )  Time stamp start 1508321015505964320 end 1508321015504963570  Run 338498, LB 6, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:03:35 2017 UTC-Wed Oct 18 10:03:35 2017 UTC (0.001 )  Time stamp start 1508321015512086175 end 1508321015510976140  Run 338498, LB 6, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.002 )  Time stamp start 1508321086045061830 end 1508321086042947575  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086051030560 end 1508321086049915910  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086063053150 end 1508321086062052225  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086069045705 end 1508321086068044780  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086074940955 end 1508321086073940030  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086081095640 end 1508321086080094820  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086087014870 end 1508321086086014070  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086098951455 end 1508321086097950655  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086105046905 end 1508321086104046110  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086116965775 end 1508321086115964955  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086122987625 end 1508321086121986825  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086128986470 end 1508321086127985470  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086140945735 end 1508321086139944910  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086146871720 end 1508321086145870850  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086152981125 end 1508321086151980200  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086159005890 end 1508321086158005120  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086164896750 end 1508321086163895925  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086170861685 end 1508321086169861135  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086176979695 end 1508321086175978795  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086188861785 end 1508321086187860865  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086194944170 end 1508321086193868065  Run 338498, LB 10, lumi 0.00
