Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338897 to 338897
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338897 to run 338897  lasting from Sat Oct 21 23:29:34 2017 UTC to Sun Oct 22 11:06:38 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct 21 23:40:11 2017 UTC-Sat Oct 21 23:40:11 2017 UTC (0.001 )  Time stamp start 1508629211950243100 end 1508629211949243100  Run 338897, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 21 23:44:37 2017 UTC-Sat Oct 21 23:44:37 2017 UTC (0.001 )  Time stamp start 1508629477619885595 end 1508629477618885595  Run 338897, LB 18, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 21 23:50:21 2017 UTC-Sat Oct 21 23:50:21 2017 UTC (0.001 )  Time stamp start 1508629821502399115 end 1508629821501399115  Run 338897, LB 24, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 21 23:59:26 2017 UTC-Sat Oct 21 23:59:26 2017 UTC (0.001 )  Time stamp start 1508630366181427940 end 1508630366180427940  Run 338897, LB 33, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:02:44 2017 UTC-Sun Oct 22 00:02:44 2017 UTC (0.001 )  Time stamp start 1508630564064707915 end 1508630564063707915  Run 338897, LB 37, lumi 8.64
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:05 2017 UTC-Sun Oct 22 00:03:05 2017 UTC (0.001 )  Time stamp start 1508630585594810305 end 1508630585593810305  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:21 2017 UTC-Sun Oct 22 00:03:21 2017 UTC (0.001 )  Time stamp start 1508630601129236190 end 1508630601128236190  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:41 2017 UTC-Sun Oct 22 00:03:41 2017 UTC (0.001 )  Time stamp start 1508630621740810565 end 1508630621739810565  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:51 2017 UTC-Sun Oct 22 00:03:51 2017 UTC (0.001 )  Time stamp start 1508630631195268120 end 1508630631193963250  Run 338897, LB 38, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:51 2017 UTC-Sun Oct 22 00:03:51 2017 UTC (0.001 )  Time stamp start 1508630631700676575 end 1508630631699676575  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:52 2017 UTC-Sun Oct 22 00:03:52 2017 UTC (0.001 )  Time stamp start 1508630632218489140 end 1508630632217489140  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:54 2017 UTC-Sun Oct 22 00:03:54 2017 UTC (0.001 )  Time stamp start 1508630634633782465 end 1508630634632782465  Run 338897, LB 38, lumi 15.72
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:03:55 2017 UTC-Sun Oct 22 00:03:55 2017 UTC (0.001 )  Time stamp start 1508630635501411165 end 1508630635500302505  Run 338897, LB 38, lumi 17.43
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:11 2017 UTC-Sun Oct 22 00:04:11 2017 UTC (0.003 )  Time stamp start 1508630651214669415 end 1508630651212149690  Run 338897, LB 39, lumi 53.23
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:13 2017 UTC-Sun Oct 22 00:04:13 2017 UTC (0.001 )  Time stamp start 1508630653969246790 end 1508630653968246790  Run 338897, LB 39, lumi 21.13
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:14 2017 UTC-Sun Oct 22 00:04:14 2017 UTC (0.001 )  Time stamp start 1508630654048369680 end 1508630654047369680  Run 338897, LB 39, lumi 21.13
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:14 2017 UTC-Sun Oct 22 00:04:14 2017 UTC (0.001 )  Time stamp start 1508630654140670755 end 1508630654139670755  Run 338897, LB 39, lumi 21.13
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:23 2017 UTC-Sun Oct 22 00:04:23 2017 UTC (0.001 )  Time stamp start 1508630663521934760 end 1508630663520934760  Run 338897, LB 40, lumi 20.93
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:28 2017 UTC-Sun Oct 22 00:04:28 2017 UTC (0.001 )  Time stamp start 1508630668873951280 end 1508630668872951280  Run 338897, LB 41, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:33 2017 UTC-Sun Oct 22 00:04:33 2017 UTC (0.001 )  Time stamp start 1508630673469970005 end 1508630673468970005  Run 338897, LB 41, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:04:35 2017 UTC-Sun Oct 22 00:04:35 2017 UTC (0.001 )  Time stamp start 1508630675120758875 end 1508630675119758875  Run 338897, LB 42, lumi 15.75
