Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339500 to 339500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339500 to run 339500  lasting from Mon Oct 30 10:56:22 2017 UTC to Mon Oct 30 15:38:55 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:17:31 2017 UTC-Mon Oct 30 11:17:31 2017 UTC (0.001 )  Time stamp start 1509362251497375590 end 1509362251496375590  Run 339500, LB 28, lumi 5.02
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:17:32 2017 UTC-Mon Oct 30 11:17:32 2017 UTC (0.001 )  Time stamp start 1509362252077150365 end 1509362252076150365  Run 339500, LB 28, lumi 5.02
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:17:52 2017 UTC-Mon Oct 30 11:17:52 2017 UTC (0.001 )  Time stamp start 1509362272895137790 end 1509362272894137790  Run 339500, LB 29, lumi 19.28
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:18:20 2017 UTC-Mon Oct 30 11:18:20 2017 UTC (0.001 )  Time stamp start 1509362300539307940 end 1509362300538307940  Run 339500, LB 30, lumi 19.60
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:18:26 2017 UTC-Mon Oct 30 11:18:26 2017 UTC (0.001 )  Time stamp start 1509362306360576605 end 1509362306359576605  Run 339500, LB 31, lumi 18.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:18:39 2017 UTC-Mon Oct 30 11:18:39 2017 UTC (0.001 )  Time stamp start 1509362319645091185 end 1509362319644091185  Run 339500, LB 31, lumi 18.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:11 2017 UTC-Mon Oct 30 11:19:11 2017 UTC (0.001 )  Time stamp start 1509362351921290295 end 1509362351920290295  Run 339500, LB 31, lumi 18.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:14 2017 UTC-Mon Oct 30 11:19:14 2017 UTC (0.001 )  Time stamp start 1509362354300255440 end 1509362354299221305  Run 339500, LB 31, lumi 19.31
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:18 2017 UTC-Mon Oct 30 11:19:18 2017 UTC (0.001 )  Time stamp start 1509362358354891250 end 1509362358353891250  Run 339500, LB 31, lumi 18.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:24 2017 UTC-Mon Oct 30 11:19:24 2017 UTC (0.001 )  Time stamp start 1509362364483568215 end 1509362364482568215  Run 339500, LB 31, lumi 18.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:55 2017 UTC-Mon Oct 30 11:19:55 2017 UTC (0.001 )  Time stamp start 1509362395097532290 end 1509362395096532290  Run 339500, LB 32, lumi 19.69
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:58 2017 UTC-Mon Oct 30 11:19:58 2017 UTC (0.001 )  Time stamp start 1509362398189889255 end 1509362398188889255  Run 339500, LB 32, lumi 19.69
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:19:59 2017 UTC-Mon Oct 30 11:19:59 2017 UTC (0.001 )  Time stamp start 1509362399025102565 end 1509362399024102565  Run 339500, LB 32, lumi 19.69
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:20:14 2017 UTC-Mon Oct 30 11:20:14 2017 UTC (0.001 )  Time stamp start 1509362414672888325 end 1509362414671888325  Run 339500, LB 32, lumi 19.69
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:20:15 2017 UTC-Mon Oct 30 11:20:15 2017 UTC (0.001 )  Time stamp start 1509362415389051025 end 1509362415388051025  Run 339500, LB 32, lumi 19.69
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:20:15 2017 UTC-Mon Oct 30 11:20:15 2017 UTC (0.001 )  Time stamp start 1509362415935356825 end 1509362415934356825  Run 339500, LB 32, lumi 19.69
