Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339535 to 339535
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339535 to run 339535  lasting from Mon Oct 30 18:22:30 2017 UTC to Tue Oct 31 01:03:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 19:48:28 2017 UTC-Mon Oct 30 19:48:28 2017 UTC (0.001 )  Time stamp start 1509392908240751450 end 1509392908239751450  Run 339535, LB 90, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 19:50:47 2017 UTC-Mon Oct 30 19:50:47 2017 UTC (0.001 )  Time stamp start 1509393047324777190 end 1509393047323777190  Run 339535, LB 93, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:00:07 2017 UTC-Mon Oct 30 20:00:07 2017 UTC (0.001 )  Time stamp start 1509393607694285365 end 1509393607693285365  Run 339535, LB 103, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:10:54 2017 UTC-Mon Oct 30 20:10:54 2017 UTC (0.001 )  Time stamp start 1509394254879878510 end 1509394254878878510  Run 339535, LB 114, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:15:18 2017 UTC-Mon Oct 30 20:15:18 2017 UTC (0.001 )  Time stamp start 1509394518300041900 end 1509394518299041900  Run 339535, LB 119, lumi 0.93
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:16:19 2017 UTC-Mon Oct 30 20:16:19 2017 UTC (0.001 )  Time stamp start 1509394579865886605 end 1509394579864886605  Run 339535, LB 120, lumi 19.05
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:16:22 2017 UTC-Mon Oct 30 20:16:22 2017 UTC (0.001 )  Time stamp start 1509394582116754915 end 1509394582115754915  Run 339535, LB 120, lumi 19.05
Event Veto ['NoiseBurst'], Mon Oct 30 20:16:23 2017 UTC-Mon Oct 30 20:16:23 2017 UTC (0.001 )  Time stamp start 1509394583509750470 end 1509394583508529980  Run 339535, LB 121, lumi 22.34
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:16:39 2017 UTC-Mon Oct 30 20:16:39 2017 UTC (0.002 )  Time stamp start 1509394599401697880 end 1509394599400145445  Run 339535, LB 121, lumi 28.42
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:17:35 2017 UTC-Mon Oct 30 20:17:35 2017 UTC (0.001 )  Time stamp start 1509394655393681365 end 1509394655392681365  Run 339535, LB 122, lumi 18.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:17:37 2017 UTC-Mon Oct 30 20:17:37 2017 UTC (0.001 )  Time stamp start 1509394657796578800 end 1509394657795578800  Run 339535, LB 122, lumi 18.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:17:45 2017 UTC-Mon Oct 30 20:17:45 2017 UTC (0.001 )  Time stamp start 1509394665828881240 end 1509394665827881240  Run 339535, LB 122, lumi 18.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:17:53 2017 UTC-Mon Oct 30 20:17:53 2017 UTC (0.001 )  Time stamp start 1509394673306175360 end 1509394673305175360  Run 339535, LB 122, lumi 18.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:18:26 2017 UTC-Mon Oct 30 20:18:26 2017 UTC (0.001 )  Time stamp start 1509394706868933590 end 1509394706867933590  Run 339535, LB 123, lumi 20.15
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:18:31 2017 UTC-Mon Oct 30 20:18:31 2017 UTC (0.001 )  Time stamp start 1509394711492820770 end 1509394711491820770  Run 339535, LB 123, lumi 20.15
Event Veto ['NoiseBurst'], Mon Oct 30 20:18:34 2017 UTC-Mon Oct 30 20:18:34 2017 UTC (0.001 )  Time stamp start 1509394714576227245 end 1509394714575226500  Run 339535, LB 123, lumi 20.16
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:18:35 2017 UTC-Mon Oct 30 20:18:35 2017 UTC (0.001 )  Time stamp start 1509394715768899480 end 1509394715767899480  Run 339535, LB 123, lumi 20.15
