Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339758 to 339758
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339758 to run 339758  lasting from Wed Nov  1 16:06:06 2017 UTC to Thu Nov  2 10:52:17 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:22:33 2017 UTC-Wed Nov  1 18:22:33 2017 UTC (0.001 )  Time stamp start 1509560553426102205 end 1509560553425102205  Run 339758, LB 142, lumi 0.52
Event Veto ['NoiseBurst'], Wed Nov  1 18:22:34 2017 UTC-Wed Nov  1 18:22:34 2017 UTC (0.001 )  Time stamp start 1509560554057702085 end 1509560554056701685  Run 339758, LB 142, lumi 0.52
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:23:16 2017 UTC-Wed Nov  1 18:23:16 2017 UTC (0.001 )  Time stamp start 1509560596200126010 end 1509560596199126010  Run 339758, LB 144, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:23:30 2017 UTC-Wed Nov  1 18:23:30 2017 UTC (0.001 )  Time stamp start 1509560610601901755 end 1509560610600901755  Run 339758, LB 144, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:01 2017 UTC-Wed Nov  1 18:24:01 2017 UTC (0.001 )  Time stamp start 1509560641990885460 end 1509560641989885460  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:04 2017 UTC-Wed Nov  1 18:24:04 2017 UTC (0.001 )  Time stamp start 1509560644660541770 end 1509560644659541770  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:05 2017 UTC-Wed Nov  1 18:24:05 2017 UTC (0.001 )  Time stamp start 1509560645275961370 end 1509560645274961370  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:05 2017 UTC-Wed Nov  1 18:24:05 2017 UTC (0.001 )  Time stamp start 1509560645767084315 end 1509560645766084315  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:29 2017 UTC-Wed Nov  1 18:24:29 2017 UTC (0.001 )  Time stamp start 1509560669024275615 end 1509560669023275615  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:32 2017 UTC-Wed Nov  1 18:24:32 2017 UTC (0.001 )  Time stamp start 1509560672860062650 end 1509560672859062650  Run 339758, LB 145, lumi 18.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:24:57 2017 UTC-Wed Nov  1 18:24:57 2017 UTC (0.001 )  Time stamp start 1509560697510680470 end 1509560697509680470  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:05 2017 UTC-Wed Nov  1 18:25:05 2017 UTC (0.001 )  Time stamp start 1509560705878425435 end 1509560705877425435  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:15 2017 UTC-Wed Nov  1 18:25:15 2017 UTC (0.001 )  Time stamp start 1509560715233675365 end 1509560715232675365  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:21 2017 UTC-Wed Nov  1 18:25:21 2017 UTC (0.001 )  Time stamp start 1509560721049193905 end 1509560721048193905  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:21 2017 UTC-Wed Nov  1 18:25:21 2017 UTC (0.001 )  Time stamp start 1509560721724697455 end 1509560721723697455  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:29 2017 UTC-Wed Nov  1 18:25:29 2017 UTC (0.001 )  Time stamp start 1509560729690344905 end 1509560729689344905  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:34 2017 UTC-Wed Nov  1 18:25:34 2017 UTC (0.001 )  Time stamp start 1509560734335040485 end 1509560734334040485  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:41 2017 UTC-Wed Nov  1 18:25:41 2017 UTC (0.002 )  Time stamp start 1509560741445407495 end 1509560741443670925  Run 339758, LB 146, lumi 34.16
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:25:49 2017 UTC-Wed Nov  1 18:25:49 2017 UTC (0.001 )  Time stamp start 1509560749972762890 end 1509560749971762890  Run 339758, LB 146, lumi 19.67
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:26:01 2017 UTC-Wed Nov  1 18:26:01 2017 UTC (0.001 )  Time stamp start 1509560761796469830 end 1509560761795469830  Run 339758, LB 147, lumi 14.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:26:06 2017 UTC-Wed Nov  1 18:26:06 2017 UTC (0.001 )  Time stamp start 1509560766279053615 end 1509560766278053615  Run 339758, LB 147, lumi 14.48
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:26:20 2017 UTC-Wed Nov  1 18:26:20 2017 UTC (0.001 )  Time stamp start 1509560780989866425 end 1509560780988866425  Run 339758, LB 147, lumi 14.48
Event Veto ['NoiseBurst'], Wed Nov  1 18:26:22 2017 UTC-Wed Nov  1 18:26:22 2017 UTC (0.001 )  Time stamp start 1509560782800017885 end 1509560782799016785  Run 339758, LB 147, lumi 14.49
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:27:58 2017 UTC-Wed Nov  1 18:27:58 2017 UTC (0.001 )  Time stamp start 1509560878888629780 end 1509560878887629780  Run 339758, LB 149, lumi 15.28
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:28:43 2017 UTC-Wed Nov  1 18:28:43 2017 UTC (0.001 )  Time stamp start 1509560923340918105 end 1509560923339918105  Run 339758, LB 149, lumi 15.28
Event Veto ['NoiseBurst'], Wed Nov  1 18:28:52 2017 UTC-Wed Nov  1 18:28:52 2017 UTC (0.001 )  Time stamp start 1509560932716803120 end 1509560932715802745  Run 339758, LB 149, lumi 15.28
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:29:29 2017 UTC-Wed Nov  1 18:29:29 2017 UTC (0.001 )  Time stamp start 1509560969785496920 end 1509560969784496920  Run 339758, LB 150, lumi 15.18
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:30:39 2017 UTC-Wed Nov  1 18:30:39 2017 UTC (0.001 )  Time stamp start 1509561039146261680 end 1509561039145261680  Run 339758, LB 151, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:30:45 2017 UTC-Wed Nov  1 18:30:45 2017 UTC (0.001 )  Time stamp start 1509561045699398135 end 1509561045698398135  Run 339758, LB 151, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:31:26 2017 UTC-Wed Nov  1 18:31:26 2017 UTC (0.001 )  Time stamp start 1509561086341462480 end 1509561086340462480  Run 339758, LB 152, lumi 15.11
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:32:18 2017 UTC-Wed Nov  1 18:32:18 2017 UTC (0.001 )  Time stamp start 1509561138522652180 end 1509561138521652180  Run 339758, LB 153, lumi 15.20
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:32:50 2017 UTC-Wed Nov  1 18:32:50 2017 UTC (0.001 )  Time stamp start 1509561170839605195 end 1509561170838605195  Run 339758, LB 154, lumi 15.25
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:32:52 2017 UTC-Wed Nov  1 18:32:52 2017 UTC (0.001 )  Time stamp start 1509561172032900915 end 1509561172031900915  Run 339758, LB 154, lumi 15.25
Event Veto ['NoiseBurst'], Wed Nov  1 18:33:09 2017 UTC-Wed Nov  1 18:33:09 2017 UTC (0.002 )  Time stamp start 1509561189736557295 end 1509561189734213495  Run 339758, LB 155, lumi 35.97
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:33:17 2017 UTC-Wed Nov  1 18:33:17 2017 UTC (0.001 )  Time stamp start 1509561197645711860 end 1509561197644711860  Run 339758, LB 155, lumi 15.35
Event Veto ['NoiseBurst'], Wed Nov  1 18:33:25 2017 UTC-Wed Nov  1 18:33:25 2017 UTC (0.005 )  Time stamp start 1509561205796238380 end 1509561205791318520  Run 339758, LB 155, lumi 75.51
Event Veto ['NoiseBurst'], Wed Nov  1 18:33:25 2017 UTC-Wed Nov  1 18:33:25 2017 UTC (0.003 )  Time stamp start 1509561205799398015 end 1509561205796456750  Run 339758, LB 155, lumi 45.14
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:34:01 2017 UTC-Wed Nov  1 18:34:01 2017 UTC (0.001 )  Time stamp start 1509561241393923085 end 1509561241392923085  Run 339758, LB 155, lumi 15.35
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:34:12 2017 UTC-Wed Nov  1 18:34:12 2017 UTC (0.001 )  Time stamp start 1509561252870564315 end 1509561252869564315  Run 339758, LB 156, lumi 15.14
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:34:35 2017 UTC-Wed Nov  1 18:34:35 2017 UTC (0.001 )  Time stamp start 1509561275325081445 end 1509561275324081445  Run 339758, LB 156, lumi 15.14
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:35:55 2017 UTC-Wed Nov  1 18:35:55 2017 UTC (0.001 )  Time stamp start 1509561355487595620 end 1509561355486595620  Run 339758, LB 158, lumi 14.91
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:36:06 2017 UTC-Wed Nov  1 18:36:06 2017 UTC (0.001 )  Time stamp start 1509561366007928270 end 1509561366006928270  Run 339758, LB 158, lumi 14.91
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:36:12 2017 UTC-Wed Nov  1 18:36:12 2017 UTC (0.001 )  Time stamp start 1509561372730730110 end 1509561372729730110  Run 339758, LB 158, lumi 14.91
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:36:53 2017 UTC-Wed Nov  1 18:36:53 2017 UTC (0.001 )  Time stamp start 1509561413514690035 end 1509561413513690035  Run 339758, LB 159, lumi 14.97
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:37:26 2017 UTC-Wed Nov  1 18:37:26 2017 UTC (0.001 )  Time stamp start 1509561446806434030 end 1509561446805434030  Run 339758, LB 159, lumi 14.97
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:37:41 2017 UTC-Wed Nov  1 18:37:41 2017 UTC (0.001 )  Time stamp start 1509561461905460970 end 1509561461904460970  Run 339758, LB 160, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:37:59 2017 UTC-Wed Nov  1 18:37:59 2017 UTC (0.001 )  Time stamp start 1509561479931124710 end 1509561479930124710  Run 339758, LB 160, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:17 2017 UTC-Wed Nov  1 18:38:17 2017 UTC (0.001 )  Time stamp start 1509561497539769775 end 1509561497538769775  Run 339758, LB 160, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:22 2017 UTC-Wed Nov  1 18:38:22 2017 UTC (0.001 )  Time stamp start 1509561502199626970 end 1509561502198626970  Run 339758, LB 160, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:33 2017 UTC-Wed Nov  1 18:38:33 2017 UTC (0.001 )  Time stamp start 1509561513985249760 end 1509561513984249760  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:35 2017 UTC-Wed Nov  1 18:38:35 2017 UTC (0.001 )  Time stamp start 1509561515418090520 end 1509561515417090520  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:42 2017 UTC-Wed Nov  1 18:38:42 2017 UTC (0.001 )  Time stamp start 1509561522534248355 end 1509561522533248355  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:48 2017 UTC-Wed Nov  1 18:38:48 2017 UTC (0.001 )  Time stamp start 1509561528033889110 end 1509561528032889110  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:38:48 2017 UTC-Wed Nov  1 18:38:48 2017 UTC (0.001 )  Time stamp start 1509561528459541720 end 1509561528458541720  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:39:07 2017 UTC-Wed Nov  1 18:39:07 2017 UTC (0.001 )  Time stamp start 1509561547699699110 end 1509561547698699110  Run 339758, LB 161, lumi 15.09
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:39:15 2017 UTC-Wed Nov  1 18:39:15 2017 UTC (0.001 )  Time stamp start 1509561555521369425 end 1509561555520369425  Run 339758, LB 161, lumi 15.09
Event Veto ['DataCorruption'], Wed Nov  1 18:39:30 2017 UTC-Wed Nov  1 18:39:30 2017 UTC (0.500 )  Time stamp start 1509561570650853480 end 1509561570150617495  Run 339758, LB 161, lumi 7550.21
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:40:40 2017 UTC-Wed Nov  1 18:40:40 2017 UTC (0.001 )  Time stamp start 1509561640870726640 end 1509561640869726640  Run 339758, LB 163, lumi 15.21
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:40:48 2017 UTC-Wed Nov  1 18:40:48 2017 UTC (0.001 )  Time stamp start 1509561648226626330 end 1509561648225626330  Run 339758, LB 164, lumi 15.22
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:40:55 2017 UTC-Wed Nov  1 18:40:55 2017 UTC (0.001 )  Time stamp start 1509561655670699265 end 1509561655669699265  Run 339758, LB 164, lumi 15.22
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:41:06 2017 UTC-Wed Nov  1 18:41:06 2017 UTC (0.001 )  Time stamp start 1509561666971853620 end 1509561666970853620  Run 339758, LB 164, lumi 15.22
Event Veto ['NoiseBurst'], Wed Nov  1 18:41:31 2017 UTC-Wed Nov  1 18:41:31 2017 UTC (0.001 )  Time stamp start 1509561691587456250 end 1509561691586455875  Run 339758, LB 164, lumi 15.22
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:41:39 2017 UTC-Wed Nov  1 18:41:39 2017 UTC (0.001 )  Time stamp start 1509561699918395090 end 1509561699917395090  Run 339758, LB 164, lumi 15.22
