Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340030 to 340030
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340030 to run 340030  lasting from Sat Nov  4 16:58:25 2017 UTC to Sun Nov  5 17:36:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:23:51 2017 UTC-Sat Nov  4 17:23:51 2017 UTC (0.001 )  Time stamp start 1509816231207236510 end 1509816231206236510  Run 340030, LB 28, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:29:51 2017 UTC-Sat Nov  4 17:29:51 2017 UTC (0.001 )  Time stamp start 1509816591029813030 end 1509816591028813030  Run 340030, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:35:44 2017 UTC-Sat Nov  4 17:35:44 2017 UTC (0.001 )  Time stamp start 1509816944569985275 end 1509816944568985275  Run 340030, LB 41, lumi 20.38
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:35:45 2017 UTC-Sat Nov  4 17:35:45 2017 UTC (0.001 )  Time stamp start 1509816945816990470 end 1509816945815990470  Run 340030, LB 41, lumi 20.38
Event Veto ['NoiseBurst'], Sat Nov  4 17:35:48 2017 UTC-Sat Nov  4 17:35:48 2017 UTC (0.001 )  Time stamp start 1509816948130202885 end 1509816948129198945  Run 340030, LB 41, lumi 20.46
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:35:50 2017 UTC-Sat Nov  4 17:35:50 2017 UTC (0.001 )  Time stamp start 1509816950254378770 end 1509816950253378770  Run 340030, LB 41, lumi 20.38
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:35:57 2017 UTC-Sat Nov  4 17:35:57 2017 UTC (0.001 )  Time stamp start 1509816957282194230 end 1509816957281194230  Run 340030, LB 41, lumi 20.38
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:36:10 2017 UTC-Sat Nov  4 17:36:10 2017 UTC (0.001 )  Time stamp start 1509816970144933690 end 1509816970143933690  Run 340030, LB 42, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:37:01 2017 UTC-Sat Nov  4 17:37:01 2017 UTC (0.001 )  Time stamp start 1509817021470525290 end 1509817021469525290  Run 340030, LB 42, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:37:04 2017 UTC-Sat Nov  4 17:37:04 2017 UTC (0.001 )  Time stamp start 1509817024110166610 end 1509817024109166610  Run 340030, LB 42, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:37:05 2017 UTC-Sat Nov  4 17:37:05 2017 UTC (0.001 )  Time stamp start 1509817025173662285 end 1509817025172662285  Run 340030, LB 42, lumi 17.62
