Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340072 to 340072
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340072 to run 340072  lasting from Sun Nov  5 20:44:26 2017 UTC to Tue Nov  7 06:10:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:23:47 2017 UTC-Mon Nov  6 02:23:47 2017 UTC (0.001 )  Time stamp start 1509935027710715470 end 1509935027709715470  Run 340072, LB 347, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:24:04 2017 UTC-Mon Nov  6 02:24:04 2017 UTC (0.001 )  Time stamp start 1509935044680962940 end 1509935044679962940  Run 340072, LB 348, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:30:34 2017 UTC-Mon Nov  6 02:30:34 2017 UTC (0.001 )  Time stamp start 1509935434053500285 end 1509935434052500285  Run 340072, LB 354, lumi 1.65
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:30:34 2017 UTC-Mon Nov  6 02:30:34 2017 UTC (0.001 )  Time stamp start 1509935434530648430 end 1509935434529648430  Run 340072, LB 354, lumi 1.65
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:30:58 2017 UTC-Mon Nov  6 02:30:58 2017 UTC (0.001 )  Time stamp start 1509935458077470545 end 1509935458076470545  Run 340072, LB 355, lumi 20.85
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:31:03 2017 UTC-Mon Nov  6 02:31:03 2017 UTC (0.001 )  Time stamp start 1509935463176353665 end 1509935463175353665  Run 340072, LB 355, lumi 20.85
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:31:05 2017 UTC-Mon Nov  6 02:31:05 2017 UTC (0.001 )  Time stamp start 1509935465260630095 end 1509935465259630095  Run 340072, LB 356, lumi 19.97
Event Veto ['NoiseBurst'], Mon Nov  6 02:31:05 2017 UTC-Mon Nov  6 02:31:05 2017 UTC (0.001 )  Time stamp start 1509935465809276535 end 1509935465808275985  Run 340072, LB 356, lumi 19.98
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:31:06 2017 UTC-Mon Nov  6 02:31:06 2017 UTC (0.001 )  Time stamp start 1509935466289355745 end 1509935466288355745  Run 340072, LB 356, lumi 19.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Nov  6 02:31:09 2017 UTC-Mon Nov  6 02:31:09 2017 UTC (0.001 )  Time stamp start 1509935469877941555 end 1509935469876941155  Run 340072, LB 356, lumi 19.98
