Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341294 to 341294
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341294 to run 341294  lasting from Tue Nov 21 15:45:26 2017 UTC to Tue Nov 21 19:19:25 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 16:06:11 2017 UTC-Tue Nov 21 16:06:11 2017 UTC (0.001 )  Time stamp start 1511280371331203710 end 1511280371330203460  Run 341294, LB 23, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:42 2017 UTC-Tue Nov 21 17:00:42 2017 UTC (0.001 )  Time stamp start 1511283642992583585 end 1511283642991316535  Run 341294, LB 79, lumi 0.95
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:45 2017 UTC-Tue Nov 21 17:00:45 2017 UTC (0.001 )  Time stamp start 1511283645368110335 end 1511283645367110335  Run 341294, LB 79, lumi 0.75
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:47 2017 UTC-Tue Nov 21 17:00:47 2017 UTC (0.001 )  Time stamp start 1511283647935133410 end 1511283647934133410  Run 341294, LB 79, lumi 0.75
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:55 2017 UTC-Tue Nov 21 17:00:55 2017 UTC (0.001 )  Time stamp start 1511283655388734470 end 1511283655387734470  Run 341294, LB 79, lumi 0.75
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:58 2017 UTC-Tue Nov 21 17:00:58 2017 UTC (0.001 )  Time stamp start 1511283658582592565 end 1511283658581592565  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:00:59 2017 UTC-Tue Nov 21 17:00:59 2017 UTC (0.001 )  Time stamp start 1511283659115194310 end 1511283659114194310  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:01 2017 UTC-Tue Nov 21 17:01:01 2017 UTC (0.002 )  Time stamp start 1511283661189565315 end 1511283661187935235  Run 341294, LB 80, lumi 2.63
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:01 2017 UTC-Tue Nov 21 17:01:01 2017 UTC (0.001 )  Time stamp start 1511283661198145125 end 1511283661197145125  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:01 2017 UTC-Tue Nov 21 17:01:01 2017 UTC (0.001 )  Time stamp start 1511283661861255330 end 1511283661860255330  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:05 2017 UTC-Tue Nov 21 17:01:05 2017 UTC (0.001 )  Time stamp start 1511283665526786410 end 1511283665525786410  Run 341294, LB 80, lumi 1.61
