Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341312 to 341312
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341312 to run 341312  lasting from Tue Nov 21 20:30:19 2017 UTC to Wed Nov 22 08:07:00 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:28 2017 UTC-Tue Nov 21 21:32:28 2017 UTC (0.001 )  Time stamp start 1511299948507391250 end 1511299948506391250  Run 341312, LB 67, lumi 5.74
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:29 2017 UTC-Tue Nov 21 21:32:29 2017 UTC (0.001 )  Time stamp start 1511299949589613600 end 1511299949588613600  Run 341312, LB 67, lumi 5.74
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:32 2017 UTC-Tue Nov 21 21:32:32 2017 UTC (0.001 )  Time stamp start 1511299952528145135 end 1511299952527145135  Run 341312, LB 67, lumi 5.74
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:37 2017 UTC-Tue Nov 21 21:32:37 2017 UTC (0.002 )  Time stamp start 1511299957484018250 end 1511299957482256830  Run 341312, LB 67, lumi 10.12
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:38 2017 UTC-Tue Nov 21 21:32:38 2017 UTC (0.001 )  Time stamp start 1511299958587965060 end 1511299958586965060  Run 341312, LB 67, lumi 5.74
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:42 2017 UTC-Tue Nov 21 21:32:42 2017 UTC (0.001 )  Time stamp start 1511299962064697220 end 1511299962063697220  Run 341312, LB 68, lumi 5.71
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:42 2017 UTC-Tue Nov 21 21:32:42 2017 UTC (0.001 )  Time stamp start 1511299962365132865 end 1511299962364132865  Run 341312, LB 68, lumi 5.71
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:43 2017 UTC-Tue Nov 21 21:32:43 2017 UTC (0.001 )  Time stamp start 1511299963165532670 end 1511299963164379375  Run 341312, LB 68, lumi 6.58
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:44 2017 UTC-Tue Nov 21 21:32:44 2017 UTC (0.001 )  Time stamp start 1511299964506607215 end 1511299964505607215  Run 341312, LB 68, lumi 5.71
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:44 2017 UTC-Tue Nov 21 21:32:44 2017 UTC (0.001 )  Time stamp start 1511299964981969200 end 1511299964980969200  Run 341312, LB 68, lumi 5.71
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:32:44 2017 UTC-Tue Nov 21 21:32:45 2017 UTC (0.001 )  Time stamp start 1511299965000330600 end 1511299964999330600  Run 341312, LB 68, lumi 5.71
