Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349114 to 349114
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349114 to run 349114  lasting from Sun Apr 29 02:02:34 2018 UTC to Sun Apr 29 13:41:54 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Apr 29 02:56:57 2018 UTC-Sun Apr 29 02:56:57 2018 UTC (0.001 )  Time stamp start 1524970617381492735 end 1524970617380492735  Run 349114, LB 58, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:08:09 2018 UTC-Sun Apr 29 03:08:09 2018 UTC (0.001 )  Time stamp start 1524971289273822095 end 1524971289272822095  Run 349114, LB 69, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:11:31 2018 UTC-Sun Apr 29 03:11:31 2018 UTC (0.001 )  Time stamp start 1524971491458232460 end 1524971491457232460  Run 349114, LB 73, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:15 2018 UTC-Sun Apr 29 03:13:15 2018 UTC (0.001 )  Time stamp start 1524971595503023655 end 1524971595502023655  Run 349114, LB 74, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:15 2018 UTC-Sun Apr 29 03:13:15 2018 UTC (0.001 )  Time stamp start 1524971595518622230 end 1524971595517622230  Run 349114, LB 74, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:16 2018 UTC-Sun Apr 29 03:13:16 2018 UTC (0.001 )  Time stamp start 1524971596254715370 end 1524971596253715370  Run 349114, LB 74, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:20 2018 UTC-Sun Apr 29 03:13:20 2018 UTC (0.001 )  Time stamp start 1524971600854709565 end 1524971600853709565  Run 349114, LB 74, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:23 2018 UTC-Sun Apr 29 03:13:23 2018 UTC (0.001 )  Time stamp start 1524971603211384860 end 1524971603210384860  Run 349114, LB 75, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:23 2018 UTC-Sun Apr 29 03:13:23 2018 UTC (0.001 )  Time stamp start 1524971603401781845 end 1524971603400781845  Run 349114, LB 75, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:23 2018 UTC-Sun Apr 29 03:13:23 2018 UTC (0.001 )  Time stamp start 1524971603792203435 end 1524971603791203435  Run 349114, LB 75, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:24 2018 UTC-Sun Apr 29 03:13:24 2018 UTC (0.002 )  Time stamp start 1524971604044584420 end 1524971604042761795  Run 349114, LB 75, lumi 19.37
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:26 2018 UTC-Sun Apr 29 03:13:26 2018 UTC (0.001 )  Time stamp start 1524971606698963740 end 1524971606697963740  Run 349114, LB 75, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:13:29 2018 UTC-Sun Apr 29 03:13:29 2018 UTC (0.001 )  Time stamp start 1524971609066933510 end 1524971609065933510  Run 349114, LB 75, lumi 10.63
Event Veto ['NoiseBurst'], Sun Apr 29 03:14:38 2018 UTC-Sun Apr 29 03:14:38 2018 UTC (0.001 )  Time stamp start 1524971678814982860 end 1524971678813826970  Run 349114, LB 76, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:15:49 2018 UTC-Sun Apr 29 03:15:49 2018 UTC (0.001 )  Time stamp start 1524971749697756080 end 1524971749696756080  Run 349114, LB 78, lumi 10.62
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:15:51 2018 UTC-Sun Apr 29 03:15:51 2018 UTC (0.001 )  Time stamp start 1524971751843639530 end 1524971751842639530  Run 349114, LB 78, lumi 10.62
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:15:58 2018 UTC-Sun Apr 29 03:15:58 2018 UTC (0.001 )  Time stamp start 1524971758887150315 end 1524971758886150315  Run 349114, LB 78, lumi 10.62
Event Veto ['NoiseBurst'], Sun Apr 29 03:16:10 2018 UTC-Sun Apr 29 03:16:10 2018 UTC (0.001 )  Time stamp start 1524971770500315520 end 1524971770499314775  Run 349114, LB 78, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:16:50 2018 UTC-Sun Apr 29 03:16:50 2018 UTC (0.001 )  Time stamp start 1524971810656567990 end 1524971810655567990  Run 349114, LB 79, lumi 11.00
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:17:22 2018 UTC-Sun Apr 29 03:17:22 2018 UTC (0.001 )  Time stamp start 1524971842694259165 end 1524971842693259165  Run 349114, LB 79, lumi 11.00
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:19:14 2018 UTC-Sun Apr 29 03:19:14 2018 UTC (0.002 )  Time stamp start 1524971954603278250 end 1524971954601343820  Run 349114, LB 81, lumi 21.06
