Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349268 to 349268
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349268 to run 349268  lasting from Mon Apr 30 20:02:10 2018 UTC to Tue May  1 07:14:22 2018 UTC
Event Veto ['NoiseBurst'], Mon Apr 30 20:05:44 2018 UTC-Mon Apr 30 20:05:44 2018 UTC (0.001 )  Time stamp start 1525118744062810900 end 1525118744061606175  Run 349268, LB 8, lumi 13.67
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:12 2018 UTC-Mon Apr 30 20:06:12 2018 UTC (0.001 )  Time stamp start 1525118772519514075 end 1525118772518514075  Run 349268, LB 8, lumi 11.35
Event Veto ['NoiseBurst'], Mon Apr 30 20:06:21 2018 UTC-Mon Apr 30 20:06:21 2018 UTC (0.001 )  Time stamp start 1525118781020145355 end 1525118781019145105  Run 349268, LB 8, lumi 11.35
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:24 2018 UTC-Mon Apr 30 20:06:24 2018 UTC (0.001 )  Time stamp start 1525118784467408275 end 1525118784466408275  Run 349268, LB 8, lumi 11.35
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:35 2018 UTC-Mon Apr 30 20:06:35 2018 UTC (0.001 )  Time stamp start 1525118795555418420 end 1525118795554418245  Run 349268, LB 8, lumi 11.35
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:44 2018 UTC-Mon Apr 30 20:06:44 2018 UTC (0.001 )  Time stamp start 1525118804492790185 end 1525118804491790185  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:44 2018 UTC-Mon Apr 30 20:06:44 2018 UTC (0.001 )  Time stamp start 1525118804629086090 end 1525118804628085790  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:45 2018 UTC-Mon Apr 30 20:06:45 2018 UTC (0.001 )  Time stamp start 1525118805066683235 end 1525118805065683065  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:45 2018 UTC-Mon Apr 30 20:06:45 2018 UTC (0.001 )  Time stamp start 1525118805588982030 end 1525118805587982030  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:47 2018 UTC-Mon Apr 30 20:06:47 2018 UTC (0.001 )  Time stamp start 1525118807574778170 end 1525118807573778170  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:47 2018 UTC-Mon Apr 30 20:06:47 2018 UTC (0.001 )  Time stamp start 1525118807836253045 end 1525118807835252920  Run 349268, LB 9, lumi 11.23
