Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349327 to 349327
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349327 to run 349327  lasting from Tue May  1 23:00:17 2018 UTC to Wed May  2 06:30:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 00:44:34 2018 UTC-Wed May  2 00:44:34 2018 UTC (0.001 )  Time stamp start 1525221874922242385 end 1525221874921242135  Run 349327, LB 107, lumi 0.00
Event Veto ['NoiseBurst'], Wed May  2 02:21:45 2018 UTC-Wed May  2 02:21:45 2018 UTC (0.001 )  Time stamp start 1525227705461868145 end 1525227705460867270  Run 349327, LB 205, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 03:34:56 2018 UTC-Wed May  2 03:34:56 2018 UTC (0.001 )  Time stamp start 1525232096083370245 end 1525232096082370245  Run 349327, LB 279, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 03:48:49 2018 UTC-Wed May  2 03:48:49 2018 UTC (0.001 )  Time stamp start 1525232929607875880 end 1525232929606875880  Run 349327, LB 294, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 03:54:21 2018 UTC-Wed May  2 03:54:21 2018 UTC (0.001 )  Time stamp start 1525233261094904225 end 1525233261093904225  Run 349327, LB 300, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 03:57:10 2018 UTC-Wed May  2 03:57:10 2018 UTC (0.001 )  Time stamp start 1525233430128033730 end 1525233430127033730  Run 349327, LB 303, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:51 2018 UTC-Wed May  2 04:03:51 2018 UTC (0.001 )  Time stamp start 1525233831837377080 end 1525233831836377080  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:53 2018 UTC-Wed May  2 04:03:53 2018 UTC (0.001 )  Time stamp start 1525233833466552120 end 1525233833465552120  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:54 2018 UTC-Wed May  2 04:03:54 2018 UTC (0.001 )  Time stamp start 1525233834378205385 end 1525233834377205385  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:54 2018 UTC-Wed May  2 04:03:54 2018 UTC (0.001 )  Time stamp start 1525233834615989315 end 1525233834614989315  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:54 2018 UTC-Wed May  2 04:03:54 2018 UTC (0.002 )  Time stamp start 1525233834898020485 end 1525233834896128870  Run 349327, LB 310, lumi 6.61
Event Veto ['MiniNoiseBurst'], Wed May  2 04:03:57 2018 UTC-Wed May  2 04:03:57 2018 UTC (0.001 )  Time stamp start 1525233837314850510 end 1525233837313850510  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:04:08 2018 UTC-Wed May  2 04:04:08 2018 UTC (0.001 )  Time stamp start 1525233848555296185 end 1525233848554296185  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:04:10 2018 UTC-Wed May  2 04:04:10 2018 UTC (0.001 )  Time stamp start 1525233850548053080 end 1525233850547053080  Run 349327, LB 310, lumi 3.49
Event Veto ['MiniNoiseBurst'], Wed May  2 04:04:18 2018 UTC-Wed May  2 04:04:18 2018 UTC (0.001 )  Time stamp start 1525233858445689900 end 1525233858444689900  Run 349327, LB 310, lumi 3.49
Event Veto ['NoiseBurst'], Wed May  2 04:04:26 2018 UTC-Wed May  2 04:04:26 2018 UTC (0.001 )  Time stamp start 1525233866268299950 end 1525233866267299225  Run 349327, LB 310, lumi 3.50
Event Veto ['NoiseBurst'], Wed May  2 04:04:50 2018 UTC-Wed May  2 04:04:50 2018 UTC (0.001 )  Time stamp start 1525233890209745710 end 1525233890208744685  Run 349327, LB 311, lumi 13.91
Event Veto ['MiniNoiseBurst'], Wed May  2 04:04:52 2018 UTC-Wed May  2 04:04:52 2018 UTC (0.001 )  Time stamp start 1525233892685761980 end 1525233892684761980  Run 349327, LB 311, lumi 13.90
Event Veto ['MiniNoiseBurst'], Wed May  2 04:05:02 2018 UTC-Wed May  2 04:05:02 2018 UTC (0.001 )  Time stamp start 1525233902078383030 end 1525233902077383030  Run 349327, LB 311, lumi 13.90
Event Veto ['MiniNoiseBurst'], Wed May  2 04:05:16 2018 UTC-Wed May  2 04:05:16 2018 UTC (0.001 )  Time stamp start 1525233916932982950 end 1525233916931982950  Run 349327, LB 311, lumi 13.90
Event Veto ['MiniNoiseBurst'], Wed May  2 04:06:07 2018 UTC-Wed May  2 04:06:07 2018 UTC (0.001 )  Time stamp start 1525233967939877380 end 1525233967938877380  Run 349327, LB 312, lumi 13.94
Event Veto ['NoiseBurst'], Wed May  2 04:07:00 2018 UTC-Wed May  2 04:07:00 2018 UTC (0.001 )  Time stamp start 1525234020940149605 end 1525234020938940440  Run 349327, LB 313, lumi 17.94
Event Veto ['NoiseBurst'], Wed May  2 04:07:16 2018 UTC-Wed May  2 04:07:16 2018 UTC (0.001 )  Time stamp start 1525234036116816095 end 1525234036115809285  Run 349327, LB 313, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed May  2 04:07:26 2018 UTC-Wed May  2 04:07:26 2018 UTC (0.001 )  Time stamp start 1525234046320704810 end 1525234046319704810  Run 349327, LB 313, lumi 14.83
Event Veto ['MiniNoiseBurst'], Wed May  2 04:07:35 2018 UTC-Wed May  2 04:07:35 2018 UTC (0.001 )  Time stamp start 1525234055608901135 end 1525234055607901135  Run 349327, LB 314, lumi 15.67
Event Veto ['MiniNoiseBurst'], Wed May  2 04:08:01 2018 UTC-Wed May  2 04:08:01 2018 UTC (0.001 )  Time stamp start 1525234081740640960 end 1525234081739640960  Run 349327, LB 314, lumi 15.67
Event Veto ['MiniNoiseBurst'], Wed May  2 04:08:26 2018 UTC-Wed May  2 04:08:26 2018 UTC (0.001 )  Time stamp start 1525234106309003855 end 1525234106307673835  Run 349327, LB 314, lumi 20.84
Event Veto ['MiniNoiseBurst'], Wed May  2 04:08:28 2018 UTC-Wed May  2 04:08:28 2018 UTC (0.001 )  Time stamp start 1525234108004260530 end 1525234108003260530  Run 349327, LB 314, lumi 15.67
Event Veto ['MiniNoiseBurst'], Wed May  2 04:08:44 2018 UTC-Wed May  2 04:08:44 2018 UTC (0.001 )  Time stamp start 1525234124675240980 end 1525234124674240980  Run 349327, LB 315, lumi 15.63
Event Veto ['MiniNoiseBurst'], Wed May  2 04:08:50 2018 UTC-Wed May  2 04:08:50 2018 UTC (0.001 )  Time stamp start 1525234130347210450 end 1525234130346210450  Run 349327, LB 315, lumi 15.63
Event Veto ['NoiseBurst'], Wed May  2 04:08:50 2018 UTC-Wed May  2 04:08:50 2018 UTC (0.001 )  Time stamp start 1525234130764652045 end 1525234130763634055  Run 349327, LB 315, lumi 15.91
Event Veto ['MiniNoiseBurst'], Wed May  2 04:10:01 2018 UTC-Wed May  2 04:10:01 2018 UTC (0.001 )  Time stamp start 1525234201290411560 end 1525234201289411560  Run 349327, LB 316, lumi 15.59
Event Veto ['MiniNoiseBurst'], Wed May  2 04:10:36 2018 UTC-Wed May  2 04:10:36 2018 UTC (0.001 )  Time stamp start 1525234236186168230 end 1525234236185168230  Run 349327, LB 317, lumi 15.58
Event Veto ['MiniNoiseBurst'], Wed May  2 04:10:41 2018 UTC-Wed May  2 04:10:41 2018 UTC (0.001 )  Time stamp start 1525234241195716435 end 1525234241194716435  Run 349327, LB 317, lumi 15.58
Event Veto ['NoiseBurst'], Wed May  2 04:10:44 2018 UTC-Wed May  2 04:10:44 2018 UTC (0.001 )  Time stamp start 1525234244876229765 end 1525234244875228765  Run 349327, LB 317, lumi 15.59
Event Veto ['NoiseBurst'], Wed May  2 04:10:46 2018 UTC-Wed May  2 04:10:46 2018 UTC (0.001 )  Time stamp start 1525234246877783745 end 1525234246876699160  Run 349327, LB 317, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed May  2 04:11:52 2018 UTC-Wed May  2 04:11:52 2018 UTC (0.001 )  Time stamp start 1525234312584411230 end 1525234312583411230  Run 349327, LB 319, lumi 15.52
Event Veto ['MiniNoiseBurst'], Wed May  2 04:14:16 2018 UTC-Wed May  2 04:14:16 2018 UTC (0.001 )  Time stamp start 1525234456688633645 end 1525234456687633645  Run 349327, LB 322, lumi 15.46
Event Veto ['MiniNoiseBurst'], Wed May  2 04:14:49 2018 UTC-Wed May  2 04:14:49 2018 UTC (0.001 )  Time stamp start 1525234489918600560 end 1525234489917600560  Run 349327, LB 323, lumi 15.46
Event Veto ['MiniNoiseBurst'], Wed May  2 04:15:20 2018 UTC-Wed May  2 04:15:20 2018 UTC (0.001 )  Time stamp start 1525234520482173885 end 1525234520481173885  Run 349327, LB 323, lumi 15.46
Event Veto ['NoiseBurst'], Wed May  2 04:15:37 2018 UTC-Wed May  2 04:15:37 2018 UTC (0.001 )  Time stamp start 1525234537420641965 end 1525234537419624400  Run 349327, LB 324, lumi 15.71
Event Veto ['NoiseBurst'], Wed May  2 04:15:52 2018 UTC-Wed May  2 04:15:52 2018 UTC (0.001 )  Time stamp start 1525234552733456680 end 1525234552732155650  Run 349327, LB 324, lumi 20.09
Event Veto ['MiniNoiseBurst'], Wed May  2 04:16:39 2018 UTC-Wed May  2 04:16:39 2018 UTC (0.001 )  Time stamp start 1525234599508384670 end 1525234599507352285  Run 349327, LB 325, lumi 15.87
Event Veto ['NoiseBurst'], Wed May  2 04:16:41 2018 UTC-Wed May  2 04:16:41 2018 UTC (0.001 )  Time stamp start 1525234601293530195 end 1525234601292309055  Run 349327, LB 325, lumi 18.78
Event Veto ['NoiseBurst'], Wed May  2 04:16:41 2018 UTC-Wed May  2 04:16:41 2018 UTC (0.001 )  Time stamp start 1525234601296344065 end 1525234601295295285  Run 349327, LB 325, lumi 16.13
Event Veto ['NoiseBurst'], Wed May  2 04:16:41 2018 UTC-Wed May  2 04:16:41 2018 UTC (0.001 )  Time stamp start 1525234601298882300 end 1525234601297819100  Run 349327, LB 325, lumi 16.35
Event Veto ['NoiseBurst'], Wed May  2 04:17:40 2018 UTC-Wed May  2 04:17:40 2018 UTC (0.001 )  Time stamp start 1525234660739415985 end 1525234660738398420  Run 349327, LB 326, lumi 15.61
Event Veto ['MiniNoiseBurst'], Wed May  2 04:17:42 2018 UTC-Wed May  2 04:17:42 2018 UTC (0.001 )  Time stamp start 1525234662791207850 end 1525234662790207850  Run 349327, LB 326, lumi 15.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:17:56 2018 UTC-Wed May  2 04:17:57 2018 UTC (0.001 )  Time stamp start 1525234677000566665 end 1525234676999566665  Run 349327, LB 326, lumi 15.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:18:14 2018 UTC-Wed May  2 04:18:14 2018 UTC (0.001 )  Time stamp start 1525234694618232810 end 1525234694617232810  Run 349327, LB 327, lumi 15.30
Event Veto ['NoiseBurst'], Wed May  2 04:18:21 2018 UTC-Wed May  2 04:18:21 2018 UTC (0.001 )  Time stamp start 1525234701128443765 end 1525234701127432685  Run 349327, LB 327, lumi 15.47
Event Veto ['MiniNoiseBurst'], Wed May  2 04:18:37 2018 UTC-Wed May  2 04:18:37 2018 UTC (0.001 )  Time stamp start 1525234717218781565 end 1525234717217781565  Run 349327, LB 327, lumi 15.30
Event Veto ['NoiseBurst'], Wed May  2 04:19:02 2018 UTC-Wed May  2 04:19:02 2018 UTC (0.001 )  Time stamp start 1525234742638433380 end 1525234742637432210  Run 349327, LB 328, lumi 15.26
