Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349335 to 349335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349335 to run 349335  lasting from Wed May  2 08:16:23 2018 UTC to Wed May  2 12:55:30 2018 UTC
Event Veto ['DataCorruption'], Wed May  2 08:19:18 2018 UTC-Wed May  2 08:19:19 2018 UTC (0.502 )  Time stamp start 1525249159306765675 end 1525249158805071540  Run 349335, LBs 3-4, lumi 0.08
Event Veto ['MiniNoiseBurst'], Wed May  2 09:20:47 2018 UTC-Wed May  2 09:20:47 2018 UTC (0.001 )  Time stamp start 1525252847897725215 end 1525252847896725215  Run 349335, LB 69, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:24:31 2018 UTC-Wed May  2 09:24:31 2018 UTC (0.001 )  Time stamp start 1525253071636023015 end 1525253071635023015  Run 349335, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:25:37 2018 UTC-Wed May  2 09:25:37 2018 UTC (0.001 )  Time stamp start 1525253137208171135 end 1525253137207171135  Run 349335, LB 73, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:28:48 2018 UTC-Wed May  2 09:28:48 2018 UTC (0.001 )  Time stamp start 1525253328016518695 end 1525253328015518695  Run 349335, LB 77, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:31:39 2018 UTC-Wed May  2 09:31:39 2018 UTC (0.001 )  Time stamp start 1525253499247986160 end 1525253499246986160  Run 349335, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:32:36 2018 UTC-Wed May  2 09:32:36 2018 UTC (0.001 )  Time stamp start 1525253556839400525 end 1525253556838400525  Run 349335, LB 80, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:35:52 2018 UTC-Wed May  2 09:35:52 2018 UTC (0.001 )  Time stamp start 1525253752910770960 end 1525253752909770960  Run 349335, LB 84, lumi 0.55
Event Veto ['MiniNoiseBurst'], Wed May  2 09:40:23 2018 UTC-Wed May  2 09:40:23 2018 UTC (0.001 )  Time stamp start 1525254023542550500 end 1525254023541550500  Run 349335, LB 88, lumi 12.97
Event Veto ['MiniNoiseBurst'], Wed May  2 09:41:19 2018 UTC-Wed May  2 09:41:19 2018 UTC (0.001 )  Time stamp start 1525254079282267200 end 1525254079281267200  Run 349335, LB 89, lumi 14.09
