Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349451 to 349451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349451 to run 349451  lasting from Wed May  2 20:10:09 2018 UTC to Thu May  3 11:54:15 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 21:08:50 2018 UTC-Wed May  2 21:08:50 2018 UTC (0.001 )  Time stamp start 1525295330568141130 end 1525295330567141130  Run 349451, LB 64, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:09:23 2018 UTC-Wed May  2 21:09:23 2018 UTC (0.001 )  Time stamp start 1525295363752652730 end 1525295363751652730  Run 349451, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:13:00 2018 UTC-Wed May  2 21:13:00 2018 UTC (0.001 )  Time stamp start 1525295580126247760 end 1525295580125247760  Run 349451, LB 68, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:13:06 2018 UTC-Wed May  2 21:13:06 2018 UTC (0.001 )  Time stamp start 1525295586096141510 end 1525295586095141510  Run 349451, LB 68, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:20:16 2018 UTC-Wed May  2 21:20:16 2018 UTC (0.001 )  Time stamp start 1525296016080646050 end 1525296016079646050  Run 349451, LB 75, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:21:03 2018 UTC-Wed May  2 21:21:03 2018 UTC (0.001 )  Time stamp start 1525296063995737560 end 1525296063994737560  Run 349451, LB 76, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:23:01 2018 UTC-Wed May  2 21:23:01 2018 UTC (0.001 )  Time stamp start 1525296181064541765 end 1525296181063541765  Run 349451, LB 78, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:26:28 2018 UTC-Wed May  2 21:26:28 2018 UTC (0.001 )  Time stamp start 1525296388287131115 end 1525296388286131115  Run 349451, LB 82, lumi 1.28
Event Veto ['NoiseBurst'], Wed May  2 21:27:54 2018 UTC-Wed May  2 21:27:54 2018 UTC (0.001 )  Time stamp start 1525296474378216220 end 1525296474377215445  Run 349451, LB 84, lumi 9.87
Event Veto ['MiniNoiseBurst'], Wed May  2 21:27:59 2018 UTC-Wed May  2 21:27:59 2018 UTC (0.001 )  Time stamp start 1525296479419032365 end 1525296479418032365  Run 349451, LB 84, lumi 9.86
Event Veto ['MiniNoiseBurst'], Wed May  2 21:28:35 2018 UTC-Wed May  2 21:28:35 2018 UTC (0.001 )  Time stamp start 1525296515997245730 end 1525296515996245730  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:28:59 2018 UTC-Wed May  2 21:28:59 2018 UTC (0.001 )  Time stamp start 1525296539163202450 end 1525296539162202450  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:01 2018 UTC-Wed May  2 21:29:01 2018 UTC (0.001 )  Time stamp start 1525296541722599340 end 1525296541721599340  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:06 2018 UTC-Wed May  2 21:29:06 2018 UTC (0.001 )  Time stamp start 1525296546285979920 end 1525296546284979920  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:12 2018 UTC-Wed May  2 21:29:12 2018 UTC (0.001 )  Time stamp start 1525296552578806335 end 1525296552577806335  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:20 2018 UTC-Wed May  2 21:29:20 2018 UTC (0.001 )  Time stamp start 1525296560742128070 end 1525296560741128070  Run 349451, LB 85, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:23 2018 UTC-Wed May  2 21:29:23 2018 UTC (0.001 )  Time stamp start 1525296563156456205 end 1525296563155456205  Run 349451, LB 86, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:43 2018 UTC-Wed May  2 21:29:43 2018 UTC (0.001 )  Time stamp start 1525296583764230855 end 1525296583763230855  Run 349451, LB 86, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:29:59 2018 UTC-Wed May  2 21:29:59 2018 UTC (0.001 )  Time stamp start 1525296599585154695 end 1525296599584154695  Run 349451, LB 86, lumi 18.00
Event Veto ['NoiseBurst'], Wed May  2 21:30:03 2018 UTC-Wed May  2 21:30:03 2018 UTC (0.001 )  Time stamp start 1525296603645906290 end 1525296603644905790  Run 349451, LB 86, lumi 18.01
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:15 2018 UTC-Wed May  2 21:30:15 2018 UTC (0.001 )  Time stamp start 1525296615508944710 end 1525296615507944710  Run 349451, LB 86, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:23 2018 UTC-Wed May  2 21:30:23 2018 UTC (0.001 )  Time stamp start 1525296623336200905 end 1525296623335200905  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:29 2018 UTC-Wed May  2 21:30:29 2018 UTC (0.001 )  Time stamp start 1525296629946027705 end 1525296629945027705  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:31 2018 UTC-Wed May  2 21:30:31 2018 UTC (0.001 )  Time stamp start 1525296631300807850 end 1525296631299807850  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:36 2018 UTC-Wed May  2 21:30:36 2018 UTC (0.001 )  Time stamp start 1525296636437792070 end 1525296636436792070  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:30:47 2018 UTC-Wed May  2 21:30:47 2018 UTC (0.001 )  Time stamp start 1525296647028451405 end 1525296647027451405  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:31:00 2018 UTC-Wed May  2 21:31:00 2018 UTC (0.001 )  Time stamp start 1525296660312699415 end 1525296660311699415  Run 349451, LB 87, lumi 17.96
Event Veto ['MiniNoiseBurst'], Wed May  2 21:33:02 2018 UTC-Wed May  2 21:33:02 2018 UTC (0.001 )  Time stamp start 1525296782894019610 end 1525296782893019610  Run 349451, LB 90, lumi 17.84
Event Veto ['MiniNoiseBurst'], Wed May  2 21:33:13 2018 UTC-Wed May  2 21:33:13 2018 UTC (0.001 )  Time stamp start 1525296793749603560 end 1525296793748603560  Run 349451, LB 90, lumi 17.84
Event Veto ['NoiseBurst'], Wed May  2 21:33:18 2018 UTC-Wed May  2 21:33:18 2018 UTC (0.001 )  Time stamp start 1525296798123602970 end 1525296798122590295  Run 349451, LB 90, lumi 18.06
Event Veto ['MiniNoiseBurst'], Wed May  2 21:33:24 2018 UTC-Wed May  2 21:33:24 2018 UTC (0.001 )  Time stamp start 1525296804903702210 end 1525296804902702210  Run 349451, LB 90, lumi 17.84
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:06 2018 UTC-Wed May  2 21:34:06 2018 UTC (0.001 )  Time stamp start 1525296846114627265 end 1525296846113627265  Run 349451, LB 91, lumi 17.73
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:11 2018 UTC-Wed May  2 21:34:11 2018 UTC (0.001 )  Time stamp start 1525296851672696740 end 1525296851671696740  Run 349451, LB 91, lumi 17.73
Event Veto ['NoiseBurst'], Wed May  2 21:34:14 2018 UTC-Wed May  2 21:34:14 2018 UTC (0.001 )  Time stamp start 1525296854833435990 end 1525296854832425960  Run 349451, LB 91, lumi 17.91
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:27 2018 UTC-Wed May  2 21:34:27 2018 UTC (0.001 )  Time stamp start 1525296867101235160 end 1525296867100235160  Run 349451, LB 91, lumi 17.73
Event Veto ['NoiseBurst'], Wed May  2 21:34:29 2018 UTC-Wed May  2 21:34:29 2018 UTC (0.001 )  Time stamp start 1525296869671817270 end 1525296869670756145  Run 349451, LB 91, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:32 2018 UTC-Wed May  2 21:34:32 2018 UTC (0.001 )  Time stamp start 1525296872362367170 end 1525296872361367170  Run 349451, LB 91, lumi 17.73
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:36 2018 UTC-Wed May  2 21:34:36 2018 UTC (0.001 )  Time stamp start 1525296876047964410 end 1525296876046964410  Run 349451, LB 91, lumi 17.73
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:42 2018 UTC-Wed May  2 21:34:42 2018 UTC (0.001 )  Time stamp start 1525296882716737850 end 1525296882715737725  Run 349451, LB 91, lumi 17.73
Event Veto ['MiniNoiseBurst'], Wed May  2 21:34:58 2018 UTC-Wed May  2 21:34:58 2018 UTC (0.001 )  Time stamp start 1525296898849342865 end 1525296898848342740  Run 349451, LB 92, lumi 17.68
Event Veto ['MiniNoiseBurst'], Wed May  2 21:35:02 2018 UTC-Wed May  2 21:35:02 2018 UTC (0.001 )  Time stamp start 1525296902122431670 end 1525296902121431670  Run 349451, LB 92, lumi 17.68
Event Veto ['NoiseBurst'], Wed May  2 21:35:57 2018 UTC-Wed May  2 21:35:57 2018 UTC (0.001 )  Time stamp start 1525296957705922250 end 1525296957704922125  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:02 2018 UTC-Wed May  2 21:36:02 2018 UTC (0.001 )  Time stamp start 1525296962005659930 end 1525296962004659930  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:17 2018 UTC-Wed May  2 21:36:17 2018 UTC (0.001 )  Time stamp start 1525296977687897555 end 1525296977686897555  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:17 2018 UTC-Wed May  2 21:36:17 2018 UTC (0.001 )  Time stamp start 1525296977932204955 end 1525296977931204955  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:23 2018 UTC-Wed May  2 21:36:23 2018 UTC (0.001 )  Time stamp start 1525296983198939330 end 1525296983197939330  Run 349451, LB 94, lumi 17.47
Event Veto ['DataCorruption'], Wed May  2 21:36:30 2018 UTC-Wed May  2 21:36:30 2018 UTC (0.500 )  Time stamp start 1525296990690817960 end 1525296990190544450  Run 349451, LB 94, lumi 8737.97
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:33 2018 UTC-Wed May  2 21:36:33 2018 UTC (0.001 )  Time stamp start 1525296993566488065 end 1525296993565488065  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:37 2018 UTC-Wed May  2 21:36:37 2018 UTC (0.001 )  Time stamp start 1525296997584536250 end 1525296997583536250  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:43 2018 UTC-Wed May  2 21:36:43 2018 UTC (0.001 )  Time stamp start 1525297003955380135 end 1525297003954380135  Run 349451, LB 94, lumi 17.47
Event Veto ['MiniNoiseBurst'], Wed May  2 21:36:49 2018 UTC-Wed May  2 21:36:49 2018 UTC (0.001 )  Time stamp start 1525297009366434470 end 1525297009365434470  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:03 2018 UTC-Wed May  2 21:37:03 2018 UTC (0.001 )  Time stamp start 1525297023009088400 end 1525297023008088400  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:05 2018 UTC-Wed May  2 21:37:05 2018 UTC (0.001 )  Time stamp start 1525297025186768940 end 1525297025185768815  Run 349451, LB 95, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed May  2 21:37:14 2018 UTC-Wed May  2 21:37:14 2018 UTC (0.001 )  Time stamp start 1525297034346967275 end 1525297034345967275  Run 349451, LB 95, lumi 17.38
