Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349498 to 349498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349498 to run 349498  lasting from Fri May  4 06:48:34 2018 UTC to Fri May  4 17:20:09 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May  4 07:43:07 2018 UTC-Fri May  4 07:43:07 2018 UTC (0.001 )  Time stamp start 1525419787924474920 end 1525419787923474920  Run 349498, LB 60, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 07:53:36 2018 UTC-Fri May  4 07:53:36 2018 UTC (0.001 )  Time stamp start 1525420416773110245 end 1525420416772110245  Run 349498, LB 71, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 07:54:08 2018 UTC-Fri May  4 07:54:08 2018 UTC (0.001 )  Time stamp start 1525420448077456785 end 1525420448076456785  Run 349498, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 07:59:32 2018 UTC-Fri May  4 07:59:32 2018 UTC (0.001 )  Time stamp start 1525420772465802980 end 1525420772464802980  Run 349498, LB 77, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 08:03:33 2018 UTC-Fri May  4 08:03:33 2018 UTC (0.001 )  Time stamp start 1525421013535335480 end 1525421013534335480  Run 349498, LB 82, lumi 0.07
Event Veto ['MiniNoiseBurst'], Fri May  4 08:04:57 2018 UTC-Fri May  4 08:04:57 2018 UTC (0.001 )  Time stamp start 1525421097321971045 end 1525421097320971045  Run 349498, LB 83, lumi 15.25
Event Veto ['NoiseBurst'], Fri May  4 08:04:59 2018 UTC-Fri May  4 08:04:59 2018 UTC (0.001 )  Time stamp start 1525421099364413805 end 1525421099363413285  Run 349498, LB 83, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri May  4 08:05:05 2018 UTC-Fri May  4 08:05:05 2018 UTC (0.001 )  Time stamp start 1525421105102381880 end 1525421105101381880  Run 349498, LB 83, lumi 15.25
Event Veto ['MiniNoiseBurst'], Fri May  4 08:05:08 2018 UTC-Fri May  4 08:05:08 2018 UTC (0.001 )  Time stamp start 1525421108983401710 end 1525421108982401710  Run 349498, LB 84, lumi 14.78
Event Veto ['NoiseBurst'], Fri May  4 08:05:10 2018 UTC-Fri May  4 08:05:10 2018 UTC (0.001 )  Time stamp start 1525421110893966545 end 1525421110892966025  Run 349498, LB 84, lumi 14.78
Event Veto ['MiniNoiseBurst'], Fri May  4 08:05:11 2018 UTC-Fri May  4 08:05:11 2018 UTC (0.001 )  Time stamp start 1525421111858802515 end 1525421111857802515  Run 349498, LB 84, lumi 14.78
Event Veto ['MiniNoiseBurst'], Fri May  4 08:05:14 2018 UTC-Fri May  4 08:05:14 2018 UTC (0.001 )  Time stamp start 1525421114360880220 end 1525421114359880220  Run 349498, LB 84, lumi 14.78
Event Veto ['MiniNoiseBurst'], Fri May  4 08:05:24 2018 UTC-Fri May  4 08:05:24 2018 UTC (0.001 )  Time stamp start 1525421124063603175 end 1525421124062603175  Run 349498, LB 84, lumi 14.78
