Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349526 to 349526
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349526 to run 349526  lasting from Fri May  4 18:22:56 2018 UTC to Sat May  5 02:45:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May  4 19:17:51 2018 UTC-Fri May  4 19:17:51 2018 UTC (0.001 )  Time stamp start 1525461471574606835 end 1525461471573606835  Run 349526, LB 66, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:19:38 2018 UTC-Fri May  4 19:19:38 2018 UTC (0.001 )  Time stamp start 1525461578996944515 end 1525461578995944515  Run 349526, LB 68, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:20:54 2018 UTC-Fri May  4 19:20:54 2018 UTC (0.001 )  Time stamp start 1525461654729158985 end 1525461654728158985  Run 349526, LB 70, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:21:46 2018 UTC-Fri May  4 19:21:46 2018 UTC (0.001 )  Time stamp start 1525461706405548050 end 1525461706404548050  Run 349526, LB 70, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:29:36 2018 UTC-Fri May  4 19:29:36 2018 UTC (0.001 )  Time stamp start 1525462176157176085 end 1525462176156176085  Run 349526, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:30:09 2018 UTC-Fri May  4 19:30:09 2018 UTC (0.001 )  Time stamp start 1525462209715804855 end 1525462209714804855  Run 349526, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:13 2018 UTC-Fri May  4 19:31:13 2018 UTC (0.001 )  Time stamp start 1525462273169560525 end 1525462273168560525  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:13 2018 UTC-Fri May  4 19:31:13 2018 UTC (0.001 )  Time stamp start 1525462273805223700 end 1525462273804223700  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:14 2018 UTC-Fri May  4 19:31:14 2018 UTC (0.001 )  Time stamp start 1525462274782128620 end 1525462274781128620  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:14 2018 UTC-Fri May  4 19:31:14 2018 UTC (0.001 )  Time stamp start 1525462274903823550 end 1525462274902823550  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:16 2018 UTC-Fri May  4 19:31:16 2018 UTC (0.001 )  Time stamp start 1525462276194501220 end 1525462276193501220  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:18 2018 UTC-Fri May  4 19:31:18 2018 UTC (0.002 )  Time stamp start 1525462278952080880 end 1525462278950198425  Run 349526, LB 80, lumi 2.03
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:20 2018 UTC-Fri May  4 19:31:20 2018 UTC (0.001 )  Time stamp start 1525462280975950270 end 1525462280974950270  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:21 2018 UTC-Fri May  4 19:31:21 2018 UTC (0.001 )  Time stamp start 1525462281575491190 end 1525462281574491190  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:22 2018 UTC-Fri May  4 19:31:22 2018 UTC (0.001 )  Time stamp start 1525462282820929005 end 1525462282819929005  Run 349526, LB 80, lumi 1.08
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:24 2018 UTC-Fri May  4 19:31:24 2018 UTC (0.001 )  Time stamp start 1525462284744266530 end 1525462284743266530  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:25 2018 UTC-Fri May  4 19:31:25 2018 UTC (0.001 )  Time stamp start 1525462285790279305 end 1525462285789279305  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:27 2018 UTC-Fri May  4 19:31:27 2018 UTC (0.001 )  Time stamp start 1525462287124060920 end 1525462287123060770  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:28 2018 UTC-Fri May  4 19:31:28 2018 UTC (0.001 )  Time stamp start 1525462288317437550 end 1525462288316437550  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:29 2018 UTC-Fri May  4 19:31:29 2018 UTC (0.001 )  Time stamp start 1525462289420858155 end 1525462289419858155  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:34 2018 UTC-Fri May  4 19:31:34 2018 UTC (0.002 )  Time stamp start 1525462294211603800 end 1525462294209871770  Run 349526, LB 81, lumi 34.15
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:35 2018 UTC-Fri May  4 19:31:35 2018 UTC (0.001 )  Time stamp start 1525462295716923865 end 1525462295715923865  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:37 2018 UTC-Fri May  4 19:31:37 2018 UTC (0.001 )  Time stamp start 1525462297971810870 end 1525462297970810870  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:43 2018 UTC-Fri May  4 19:31:43 2018 UTC (0.001 )  Time stamp start 1525462303074721665 end 1525462303073721665  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:44 2018 UTC-Fri May  4 19:31:44 2018 UTC (0.001 )  Time stamp start 1525462304895397880 end 1525462304894397880  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:47 2018 UTC-Fri May  4 19:31:47 2018 UTC (0.001 )  Time stamp start 1525462307851142965 end 1525462307850142965  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:49 2018 UTC-Fri May  4 19:31:49 2018 UTC (0.001 )  Time stamp start 1525462309973808820 end 1525462309972808820  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:50 2018 UTC-Fri May  4 19:31:50 2018 UTC (0.001 )  Time stamp start 1525462310908570320 end 1525462310907570320  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:31:56 2018 UTC-Fri May  4 19:31:56 2018 UTC (0.001 )  Time stamp start 1525462316900733815 end 1525462316899733815  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:00 2018 UTC-Fri May  4 19:32:00 2018 UTC (0.001 )  Time stamp start 1525462320187433380 end 1525462320186433055  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:01 2018 UTC-Fri May  4 19:32:01 2018 UTC (0.001 )  Time stamp start 1525462321297992295 end 1525462321296992295  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:04 2018 UTC-Fri May  4 19:32:04 2018 UTC (0.001 )  Time stamp start 1525462324164119595 end 1525462324163119595  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:06 2018 UTC-Fri May  4 19:32:06 2018 UTC (0.001 )  Time stamp start 1525462326632222385 end 1525462326631222385  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:08 2018 UTC-Fri May  4 19:32:08 2018 UTC (0.001 )  Time stamp start 1525462328001592335 end 1525462328000592335  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:10 2018 UTC-Fri May  4 19:32:10 2018 UTC (0.001 )  Time stamp start 1525462330011972885 end 1525462330010972885  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:13 2018 UTC-Fri May  4 19:32:13 2018 UTC (0.001 )  Time stamp start 1525462333055067535 end 1525462333054067535  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:14 2018 UTC-Fri May  4 19:32:14 2018 UTC (0.001 )  Time stamp start 1525462334403177115 end 1525462334402177115  Run 349526, LB 81, lumi 19.72
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:29 2018 UTC-Fri May  4 19:32:29 2018 UTC (0.001 )  Time stamp start 1525462349966244655 end 1525462349965244655  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:32 2018 UTC-Fri May  4 19:32:32 2018 UTC (0.001 )  Time stamp start 1525462352448660335 end 1525462352447660335  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:34 2018 UTC-Fri May  4 19:32:34 2018 UTC (0.001 )  Time stamp start 1525462354984866515 end 1525462354983866515  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:39 2018 UTC-Fri May  4 19:32:39 2018 UTC (0.001 )  Time stamp start 1525462359757965975 end 1525462359756965975  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:43 2018 UTC-Fri May  4 19:32:43 2018 UTC (0.001 )  Time stamp start 1525462363031448835 end 1525462363030448835  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:47 2018 UTC-Fri May  4 19:32:47 2018 UTC (0.001 )  Time stamp start 1525462367672099545 end 1525462367671099545  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:47 2018 UTC-Fri May  4 19:32:47 2018 UTC (0.001 )  Time stamp start 1525462367897290965 end 1525462367896290965  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:49 2018 UTC-Fri May  4 19:32:49 2018 UTC (0.001 )  Time stamp start 1525462369125892970 end 1525462369124892970  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:54 2018 UTC-Fri May  4 19:32:54 2018 UTC (0.001 )  Time stamp start 1525462374483113440 end 1525462374482113440  Run 349526, LB 82, lumi 18.56
Event Veto ['NoiseBurst'], Fri May  4 19:32:54 2018 UTC-Fri May  4 19:32:54 2018 UTC (0.001 )  Time stamp start 1525462374673374275 end 1525462374672373625  Run 349526, LB 82, lumi 18.58
Event Veto ['MiniNoiseBurst'], Fri May  4 19:32:56 2018 UTC-Fri May  4 19:32:56 2018 UTC (0.001 )  Time stamp start 1525462376292853025 end 1525462376291853025  Run 349526, LB 82, lumi 18.56
Event Veto ['NoiseBurst'], Fri May  4 19:32:57 2018 UTC-Fri May  4 19:32:57 2018 UTC (0.001 )  Time stamp start 1525462377680530430 end 1525462377679529905  Run 349526, LB 82, lumi 18.57
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:01 2018 UTC-Fri May  4 19:33:01 2018 UTC (0.001 )  Time stamp start 1525462381319296540 end 1525462381318296390  Run 349526, LB 82, lumi 18.57
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:02 2018 UTC-Fri May  4 19:33:02 2018 UTC (0.001 )  Time stamp start 1525462382749809975 end 1525462382748809975  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:06 2018 UTC-Fri May  4 19:33:06 2018 UTC (0.001 )  Time stamp start 1525462386666165330 end 1525462386665164905  Run 349526, LB 82, lumi 18.57
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:08 2018 UTC-Fri May  4 19:33:08 2018 UTC (0.001 )  Time stamp start 1525462388344056700 end 1525462388343056700  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:09 2018 UTC-Fri May  4 19:33:09 2018 UTC (0.001 )  Time stamp start 1525462389969248570 end 1525462389968248570  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:12 2018 UTC-Fri May  4 19:33:12 2018 UTC (0.001 )  Time stamp start 1525462392300674135 end 1525462392299674135  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:14 2018 UTC-Fri May  4 19:33:14 2018 UTC (0.001 )  Time stamp start 1525462394748554080 end 1525462394747554080  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:16 2018 UTC-Fri May  4 19:33:16 2018 UTC (0.001 )  Time stamp start 1525462396866109050 end 1525462396865109050  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:20 2018 UTC-Fri May  4 19:33:20 2018 UTC (0.001 )  Time stamp start 1525462400339004650 end 1525462400338004650  Run 349526, LB 82, lumi 18.56
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:25 2018 UTC-Fri May  4 19:33:25 2018 UTC (0.001 )  Time stamp start 1525462405735613505 end 1525462405734613505  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:27 2018 UTC-Fri May  4 19:33:27 2018 UTC (0.001 )  Time stamp start 1525462407019152620 end 1525462407018152620  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:35 2018 UTC-Fri May  4 19:33:35 2018 UTC (0.001 )  Time stamp start 1525462415214279705 end 1525462415213279705  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:35 2018 UTC-Fri May  4 19:33:35 2018 UTC (0.001 )  Time stamp start 1525462415853636290 end 1525462415852636290  Run 349526, LB 83, lumi 20.49
Event Veto ['NoiseBurst'], Fri May  4 19:33:45 2018 UTC-Fri May  4 19:33:45 2018 UTC (0.001 )  Time stamp start 1525462425708424570 end 1525462425707423825  Run 349526, LB 83, lumi 20.50
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:49 2018 UTC-Fri May  4 19:33:49 2018 UTC (0.001 )  Time stamp start 1525462429464740695 end 1525462429463740695  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:33:52 2018 UTC-Fri May  4 19:33:52 2018 UTC (0.001 )  Time stamp start 1525462432875176440 end 1525462432874176440  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:34:00 2018 UTC-Fri May  4 19:34:00 2018 UTC (0.001 )  Time stamp start 1525462440365284760 end 1525462440364284760  Run 349526, LB 83, lumi 20.49
Event Veto ['MiniNoiseBurst'], Fri May  4 19:34:05 2018 UTC-Fri May  4 19:34:05 2018 UTC (0.001 )  Time stamp start 1525462445808977955 end 1525462445807977955  Run 349526, LB 83, lumi 20.49
Event Veto ['NoiseBurst'], Fri May  4 19:34:13 2018 UTC-Fri May  4 19:34:13 2018 UTC (0.001 )  Time stamp start 1525462453412136750 end 1525462453411136375  Run 349526, LB 83, lumi 20.49
