Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349582 to 349582
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349582 to run 349582  lasting from Sat May  5 14:43:19 2018 UTC to Sat May  5 17:46:20 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May  5 15:20:48 2018 UTC-Sat May  5 15:20:48 2018 UTC (0.001 )  Time stamp start 1525533648348984240 end 1525533648347984240  Run 349582, LB 41, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:23:48 2018 UTC-Sat May  5 15:23:48 2018 UTC (0.001 )  Time stamp start 1525533828930822225 end 1525533828929822225  Run 349582, LB 44, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:29:27 2018 UTC-Sat May  5 15:29:27 2018 UTC (0.001 )  Time stamp start 1525534167961797150 end 1525534167960797150  Run 349582, LB 51, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:31:35 2018 UTC-Sat May  5 15:31:35 2018 UTC (0.001 )  Time stamp start 1525534295691459440 end 1525534295690459440  Run 349582, LB 53, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:34:06 2018 UTC-Sat May  5 15:34:06 2018 UTC (0.001 )  Time stamp start 1525534446125574495 end 1525534446124574495  Run 349582, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:34:49 2018 UTC-Sat May  5 15:34:49 2018 UTC (0.001 )  Time stamp start 1525534489199455935 end 1525534489198455935  Run 349582, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:35:25 2018 UTC-Sat May  5 15:35:25 2018 UTC (0.001 )  Time stamp start 1525534525397667820 end 1525534525396667820  Run 349582, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:36:58 2018 UTC-Sat May  5 15:36:58 2018 UTC (0.001 )  Time stamp start 1525534618144488675 end 1525534618143488675  Run 349582, LB 59, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:43:09 2018 UTC-Sat May  5 15:43:09 2018 UTC (0.001 )  Time stamp start 1525534989239764720 end 1525534989238764720  Run 349582, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:31 2018 UTC-Sat May  5 15:46:31 2018 UTC (0.001 )  Time stamp start 1525535191996241640 end 1525535191995241640  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:32 2018 UTC-Sat May  5 15:46:32 2018 UTC (0.001 )  Time stamp start 1525535192026897165 end 1525535192025897165  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:32 2018 UTC-Sat May  5 15:46:32 2018 UTC (0.001 )  Time stamp start 1525535192140973465 end 1525535192139973465  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:34 2018 UTC-Sat May  5 15:46:34 2018 UTC (0.001 )  Time stamp start 1525535194532959950 end 1525535194531959950  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:37 2018 UTC-Sat May  5 15:46:37 2018 UTC (0.001 )  Time stamp start 1525535197505233025 end 1525535197504233025  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:38 2018 UTC-Sat May  5 15:46:38 2018 UTC (0.001 )  Time stamp start 1525535198517000355 end 1525535198516000355  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:38 2018 UTC-Sat May  5 15:46:38 2018 UTC (0.001 )  Time stamp start 1525535198821217600 end 1525535198820217600  Run 349582, LB 68, lumi 1.58
Event Veto ['MiniNoiseBurst'], Sat May  5 15:46:56 2018 UTC-Sat May  5 15:46:56 2018 UTC (0.001 )  Time stamp start 1525535216865675260 end 1525535216864675260  Run 349582, LB 69, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sat May  5 15:47:00 2018 UTC-Sat May  5 15:47:00 2018 UTC (0.001 )  Time stamp start 1525535220487565450 end 1525535220486565450  Run 349582, LB 69, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sat May  5 15:47:11 2018 UTC-Sat May  5 15:47:11 2018 UTC (0.001 )  Time stamp start 1525535231994949750 end 1525535231993949750  Run 349582, LB 69, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sat May  5 15:47:12 2018 UTC-Sat May  5 15:47:12 2018 UTC (0.001 )  Time stamp start 1525535232110652565 end 1525535232109652565  Run 349582, LB 69, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sat May  5 15:47:46 2018 UTC-Sat May  5 15:47:46 2018 UTC (0.001 )  Time stamp start 1525535266806102055 end 1525535266805102055  Run 349582, LB 69, lumi 20.27
Event Veto ['NoiseBurst'], Sat May  5 15:48:02 2018 UTC-Sat May  5 15:48:02 2018 UTC (0.001 )  Time stamp start 1525535282641389090 end 1525535282640388465  Run 349582, LB 70, lumi 19.12
Event Veto ['MiniNoiseBurst'], Sat May  5 15:49:01 2018 UTC-Sat May  5 15:49:01 2018 UTC (0.001 )  Time stamp start 1525535341436489890 end 1525535341435489890  Run 349582, LB 71, lumi 21.11
Event Veto ['MiniNoiseBurst'], Sat May  5 15:49:13 2018 UTC-Sat May  5 15:49:13 2018 UTC (0.001 )  Time stamp start 1525535353604145270 end 1525535353603145270  Run 349582, LB 71, lumi 21.11
Event Veto ['MiniNoiseBurst'], Sat May  5 15:49:23 2018 UTC-Sat May  5 15:49:23 2018 UTC (0.001 )  Time stamp start 1525535363322652445 end 1525535363321652445  Run 349582, LB 71, lumi 21.11
Event Veto ['MiniNoiseBurst'], Sat May  5 15:49:27 2018 UTC-Sat May  5 15:49:27 2018 UTC (0.001 )  Time stamp start 1525535367930100185 end 1525535367929100185  Run 349582, LB 71, lumi 21.11
Event Veto ['MiniNoiseBurst'], Sat May  5 15:51:02 2018 UTC-Sat May  5 15:51:02 2018 UTC (0.001 )  Time stamp start 1525535462830392440 end 1525535462829392440  Run 349582, LB 73, lumi 20.98
Event Veto ['MiniNoiseBurst'], Sat May  5 15:51:04 2018 UTC-Sat May  5 15:51:04 2018 UTC (0.001 )  Time stamp start 1525535464244012205 end 1525535464243012205  Run 349582, LB 73, lumi 20.98
Event Veto ['NoiseBurst'], Sat May  5 15:52:31 2018 UTC-Sat May  5 15:52:31 2018 UTC (0.001 )  Time stamp start 1525535551404647135 end 1525535551403646590  Run 349582, LB 74, lumi 20.93
Event Veto ['NoiseBurst'], Sat May  5 15:52:33 2018 UTC-Sat May  5 15:52:33 2018 UTC (0.001 )  Time stamp start 1525535553532450035 end 1525535553530965065  Run 349582, LB 74, lumi 31.07
Event Veto ['MiniNoiseBurst'], Sat May  5 15:52:35 2018 UTC-Sat May  5 15:52:35 2018 UTC (0.001 )  Time stamp start 1525535555117722595 end 1525535555116722595  Run 349582, LB 74, lumi 20.92
Event Veto ['MiniNoiseBurst'], Sat May  5 15:53:32 2018 UTC-Sat May  5 15:53:32 2018 UTC (0.001 )  Time stamp start 1525535612843391535 end 1525535612842391535  Run 349582, LB 76, lumi 20.87
Event Veto ['NoiseBurst'], Sat May  5 15:53:55 2018 UTC-Sat May  5 15:53:55 2018 UTC (0.001 )  Time stamp start 1525535635273586215 end 1525535635272585840  Run 349582, LB 78, lumi 20.83
Event Veto ['MiniNoiseBurst'], Sat May  5 15:54:03 2018 UTC-Sat May  5 15:54:03 2018 UTC (0.001 )  Time stamp start 1525535643498004830 end 1525535643497004830  Run 349582, LB 78, lumi 20.83
Event Veto ['MiniNoiseBurst'], Sat May  5 15:54:09 2018 UTC-Sat May  5 15:54:09 2018 UTC (0.001 )  Time stamp start 1525535649228690790 end 1525535649227690790  Run 349582, LB 78, lumi 20.83
Event Veto ['MiniNoiseBurst'], Sat May  5 15:54:34 2018 UTC-Sat May  5 15:54:34 2018 UTC (0.001 )  Time stamp start 1525535674644575185 end 1525535674643575185  Run 349582, LB 78, lumi 20.83
Event Veto ['MiniNoiseBurst'], Sat May  5 15:54:42 2018 UTC-Sat May  5 15:54:42 2018 UTC (0.001 )  Time stamp start 1525535682265953430 end 1525535682264662555  Run 349582, LB 78, lumi 26.88
Event Veto ['MiniNoiseBurst'], Sat May  5 15:54:44 2018 UTC-Sat May  5 15:54:44 2018 UTC (0.001 )  Time stamp start 1525535684356813265 end 1525535684355813265  Run 349582, LB 78, lumi 20.83
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat May  5 15:54:57 2018 UTC-Sat May  5 15:54:57 2018 UTC (0.001 )  Time stamp start 1525535697967933480 end 1525535697966933480  Run 349582, LB 79, lumi 20.78
Event Veto ['MiniNoiseBurst'], Sat May  5 15:55:44 2018 UTC-Sat May  5 15:55:44 2018 UTC (0.001 )  Time stamp start 1525535744857555350 end 1525535744856555350  Run 349582, LB 80, lumi 20.74
Event Veto ['MiniNoiseBurst'], Sat May  5 15:56:03 2018 UTC-Sat May  5 15:56:03 2018 UTC (0.001 )  Time stamp start 1525535763603133035 end 1525535763602133035  Run 349582, LB 80, lumi 20.74
Event Veto ['MiniNoiseBurst'], Sat May  5 15:56:07 2018 UTC-Sat May  5 15:56:07 2018 UTC (0.001 )  Time stamp start 1525535767633580865 end 1525535767632580865  Run 349582, LB 80, lumi 20.74
Event Veto ['MiniNoiseBurst'], Sat May  5 15:56:34 2018 UTC-Sat May  5 15:56:34 2018 UTC (0.001 )  Time stamp start 1525535794059001745 end 1525535794058001745  Run 349582, LB 81, lumi 20.69
Event Veto ['NoiseBurst'], Sat May  5 15:57:05 2018 UTC-Sat May  5 15:57:05 2018 UTC (0.005 )  Time stamp start 1525535825132590515 end 1525535825127661270  Run 349582, LB 81, lumi 101.98
Event Veto ['MiniNoiseBurst'], Sat May  5 15:57:13 2018 UTC-Sat May  5 15:57:13 2018 UTC (0.001 )  Time stamp start 1525535833251242970 end 1525535833250242970  Run 349582, LB 82, lumi 20.64
Event Veto ['MiniNoiseBurst'], Sat May  5 15:57:30 2018 UTC-Sat May  5 15:57:30 2018 UTC (0.001 )  Time stamp start 1525535850532169850 end 1525535850531169850  Run 349582, LB 82, lumi 20.64
Event Veto ['MiniNoiseBurst'], Sat May  5 15:57:52 2018 UTC-Sat May  5 15:57:52 2018 UTC (0.001 )  Time stamp start 1525535872911973690 end 1525535872910973690  Run 349582, LB 82, lumi 20.64
Event Veto ['MiniNoiseBurst'], Sat May  5 15:57:55 2018 UTC-Sat May  5 15:57:55 2018 UTC (0.001 )  Time stamp start 1525535875744611060 end 1525535875743611060  Run 349582, LB 82, lumi 20.64
Event Veto ['MiniNoiseBurst'], Sat May  5 15:58:14 2018 UTC-Sat May  5 15:58:14 2018 UTC (0.001 )  Time stamp start 1525535894134299410 end 1525535894133299410  Run 349582, LB 83, lumi 20.54
Event Veto ['MiniNoiseBurst'], Sat May  5 15:58:38 2018 UTC-Sat May  5 15:58:38 2018 UTC (0.001 )  Time stamp start 1525535918509076945 end 1525535918508076945  Run 349582, LB 83, lumi 20.54
Event Veto ['MiniNoiseBurst'], Sat May  5 15:59:22 2018 UTC-Sat May  5 15:59:22 2018 UTC (0.001 )  Time stamp start 1525535962433611390 end 1525535962432611390  Run 349582, LB 84, lumi 20.49
Event Veto ['MiniNoiseBurst'], Sat May  5 15:59:27 2018 UTC-Sat May  5 15:59:27 2018 UTC (0.001 )  Time stamp start 1525535967541678610 end 1525535967540678610  Run 349582, LB 84, lumi 20.49
Event Veto ['NoiseBurst'], Sat May  5 16:00:42 2018 UTC-Sat May  5 16:00:42 2018 UTC (0.001 )  Time stamp start 1525536042081753480 end 1525536042080385430  Run 349582, LB 85, lumi 28.00
Event Veto ['MiniNoiseBurst'], Sat May  5 16:00:44 2018 UTC-Sat May  5 16:00:44 2018 UTC (0.001 )  Time stamp start 1525536044428058105 end 1525536044427058105  Run 349582, LB 85, lumi 20.47
Event Veto ['NoiseBurst'], Sat May  5 16:00:50 2018 UTC-Sat May  5 16:00:50 2018 UTC (0.001 )  Time stamp start 1525536050666790480 end 1525536050665790105  Run 349582, LB 86, lumi 20.50
Event Veto ['MiniNoiseBurst'], Sat May  5 16:01:05 2018 UTC-Sat May  5 16:01:05 2018 UTC (0.001 )  Time stamp start 1525536065339430545 end 1525536065338430545  Run 349582, LB 86, lumi 20.49
Event Veto ['MiniNoiseBurst'], Sat May  5 16:01:08 2018 UTC-Sat May  5 16:01:08 2018 UTC (0.001 )  Time stamp start 1525536068326369415 end 1525536068325369415  Run 349582, LB 86, lumi 20.49
Event Veto ['NoiseBurst'], Sat May  5 16:01:26 2018 UTC-Sat May  5 16:01:26 2018 UTC (0.002 )  Time stamp start 1525536086326647195 end 1525536086325059555  Run 349582, LB 86, lumi 32.54
Event Veto ['MiniNoiseBurst'], Sat May  5 16:01:28 2018 UTC-Sat May  5 16:01:28 2018 UTC (0.001 )  Time stamp start 1525536088210478150 end 1525536088209478150  Run 349582, LB 86, lumi 20.49
Event Veto ['MiniNoiseBurst'], Sat May  5 16:01:52 2018 UTC-Sat May  5 16:01:52 2018 UTC (0.001 )  Time stamp start 1525536112625805100 end 1525536112624805100  Run 349582, LB 87, lumi 20.54
Event Veto ['MiniNoiseBurst'], Sat May  5 16:01:59 2018 UTC-Sat May  5 16:01:59 2018 UTC (0.001 )  Time stamp start 1525536119944775000 end 1525536119943775000  Run 349582, LB 87, lumi 20.54
Event Veto ['MiniNoiseBurst'], Sat May  5 16:02:01 2018 UTC-Sat May  5 16:02:01 2018 UTC (0.001 )  Time stamp start 1525536121582704770 end 1525536121581704770  Run 349582, LB 87, lumi 20.54
Event Veto ['MiniNoiseBurst'], Sat May  5 16:02:50 2018 UTC-Sat May  5 16:02:50 2018 UTC (0.001 )  Time stamp start 1525536170005010590 end 1525536170004010590  Run 349582, LB 88, lumi 20.42
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:15 2018 UTC-Sat May  5 16:08:15 2018 UTC (0.001 )  Time stamp start 1525536495307335685 end 1525536495306335685  Run 349582, LB 124, lumi 20.18
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:39 2018 UTC-Sat May  5 16:08:39 2018 UTC (0.001 )  Time stamp start 1525536519266737960 end 1525536519265737960  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:46 2018 UTC-Sat May  5 16:08:46 2018 UTC (0.001 )  Time stamp start 1525536526185039065 end 1525536526184039065  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:48 2018 UTC-Sat May  5 16:08:48 2018 UTC (0.001 )  Time stamp start 1525536528891536320 end 1525536528890536320  Run 349582, LB 125, lumi 19.90
