Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349592 to 349592
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349592 to run 349592  lasting from Sun May  6 00:33:09 2018 UTC to Sun May  6 04:31:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 02:03:52 2018 UTC-Sun May  6 02:03:52 2018 UTC (0.001 )  Time stamp start 1525572232487468695 end 1525572232486468695  Run 349592, LB 96, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:05:52 2018 UTC-Sun May  6 02:05:52 2018 UTC (0.001 )  Time stamp start 1525572352266098950 end 1525572352265098950  Run 349592, LB 98, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:06:11 2018 UTC-Sun May  6 02:06:11 2018 UTC (0.001 )  Time stamp start 1525572371431444410 end 1525572371430444410  Run 349592, LB 98, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:12:39 2018 UTC-Sun May  6 02:12:39 2018 UTC (0.001 )  Time stamp start 1525572759189353545 end 1525572759188353545  Run 349592, LB 105, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:13:59 2018 UTC-Sun May  6 02:13:59 2018 UTC (0.001 )  Time stamp start 1525572839038753305 end 1525572839037753305  Run 349592, LB 107, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:14:57 2018 UTC-Sun May  6 02:14:57 2018 UTC (0.001 )  Time stamp start 1525572897346236115 end 1525572897345236115  Run 349592, LB 108, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:16:15 2018 UTC-Sun May  6 02:16:15 2018 UTC (0.001 )  Time stamp start 1525572975175275155 end 1525572975174274985  Run 349592, LB 109, lumi 2.18
Event Veto ['NoiseBurst'], Sun May  6 02:16:17 2018 UTC-Sun May  6 02:16:17 2018 UTC (0.001 )  Time stamp start 1525572977260072980 end 1525572977259072405  Run 349592, LB 109, lumi 2.18
Event Veto ['MiniNoiseBurst'], Sun May  6 02:16:18 2018 UTC-Sun May  6 02:16:18 2018 UTC (0.001 )  Time stamp start 1525572978272314780 end 1525572978271314780  Run 349592, LB 109, lumi 2.18
Event Veto ['MiniNoiseBurst'], Sun May  6 02:16:19 2018 UTC-Sun May  6 02:16:19 2018 UTC (0.001 )  Time stamp start 1525572979209560725 end 1525572979208560725  Run 349592, LB 109, lumi 2.18
Event Veto ['MiniNoiseBurst'], Sun May  6 02:16:21 2018 UTC-Sun May  6 02:16:21 2018 UTC (0.001 )  Time stamp start 1525572981394508065 end 1525572981393167235  Run 349592, LB 109, lumi 2.92
