Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349637 to 349637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349637 to run 349637  lasting from Sun May  6 09:48:54 2018 UTC to Mon May  7 00:18:06 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 10:48:16 2018 UTC-Sun May  6 10:48:16 2018 UTC (0.001 )  Time stamp start 1525603696685982840 end 1525603696684982840  Run 349637, LB 64, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 10:54:02 2018 UTC-Sun May  6 10:54:02 2018 UTC (0.001 )  Time stamp start 1525604042126212380 end 1525604042125212380  Run 349637, LB 69, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 10:54:28 2018 UTC-Sun May  6 10:54:28 2018 UTC (0.001 )  Time stamp start 1525604068062560610 end 1525604068061560610  Run 349637, LB 70, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 10:56:22 2018 UTC-Sun May  6 10:56:22 2018 UTC (0.001 )  Time stamp start 1525604182906751220 end 1525604182905751220  Run 349637, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 10:58:58 2018 UTC-Sun May  6 10:58:58 2018 UTC (0.001 )  Time stamp start 1525604338663994695 end 1525604338662994695  Run 349637, LB 74, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 11:02:03 2018 UTC-Sun May  6 11:02:03 2018 UTC (0.001 )  Time stamp start 1525604523339383925 end 1525604523338383925  Run 349637, LB 78, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:11 2018 UTC-Sun May  6 11:03:11 2018 UTC (0.001 )  Time stamp start 1525604591609524240 end 1525604591608524240  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:14 2018 UTC-Sun May  6 11:03:14 2018 UTC (0.001 )  Time stamp start 1525604594112052550 end 1525604594111052550  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:14 2018 UTC-Sun May  6 11:03:14 2018 UTC (0.002 )  Time stamp start 1525604594955325685 end 1525604594953478335  Run 349637, LB 79, lumi 4.17
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:19 2018 UTC-Sun May  6 11:03:19 2018 UTC (0.001 )  Time stamp start 1525604599468826635 end 1525604599467826635  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:20 2018 UTC-Sun May  6 11:03:20 2018 UTC (0.001 )  Time stamp start 1525604600766823665 end 1525604600765823665  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:25 2018 UTC-Sun May  6 11:03:25 2018 UTC (0.001 )  Time stamp start 1525604605130815725 end 1525604605129815725  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:32 2018 UTC-Sun May  6 11:03:32 2018 UTC (0.001 )  Time stamp start 1525604612243596365 end 1525604612242596365  Run 349637, LB 79, lumi 2.26
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:42 2018 UTC-Sun May  6 11:03:42 2018 UTC (0.001 )  Time stamp start 1525604622435168980 end 1525604622434168980  Run 349637, LB 80, lumi 19.16
Event Veto ['MiniNoiseBurst'], Sun May  6 11:03:45 2018 UTC-Sun May  6 11:03:45 2018 UTC (0.001 )  Time stamp start 1525604625267153880 end 1525604625266153705  Run 349637, LB 80, lumi 19.16
Event Veto ['NoiseBurst'], Sun May  6 11:03:45 2018 UTC-Sun May  6 11:03:45 2018 UTC (0.001 )  Time stamp start 1525604625427371425 end 1525604625426371180  Run 349637, LB 80, lumi 19.16
