Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349841 to 349841
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349841 to run 349841  lasting from Tue May  8 21:59:37 2018 UTC to Wed May  9 00:39:41 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  8 23:09:09 2018 UTC-Tue May  8 23:09:09 2018 UTC (0.001 )  Time stamp start 1525820949544968530 end 1525820949543968530  Run 349841, LB 74, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue May  8 23:19:37 2018 UTC-Tue May  8 23:19:37 2018 UTC (0.001 )  Time stamp start 1525821577064184685 end 1525821577063184685  Run 349841, LB 86, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue May  8 23:28:13 2018 UTC-Tue May  8 23:28:13 2018 UTC (0.001 )  Time stamp start 1525822093856638245 end 1525822093855638245  Run 349841, LB 95, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue May  8 23:29:43 2018 UTC-Tue May  8 23:29:43 2018 UTC (0.001 )  Time stamp start 1525822183519651795 end 1525822183518651795  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:29:45 2018 UTC-Tue May  8 23:29:45 2018 UTC (0.001 )  Time stamp start 1525822185184169435 end 1525822185183169435  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:00 2018 UTC-Tue May  8 23:30:00 2018 UTC (0.001 )  Time stamp start 1525822200343103620 end 1525822200342103620  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:01 2018 UTC-Tue May  8 23:30:01 2018 UTC (0.001 )  Time stamp start 1525822201789810065 end 1525822201788810065  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:12 2018 UTC-Tue May  8 23:30:12 2018 UTC (0.001 )  Time stamp start 1525822212773062350 end 1525822212772062350  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:20 2018 UTC-Tue May  8 23:30:20 2018 UTC (0.001 )  Time stamp start 1525822220778300895 end 1525822220777300895  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:29 2018 UTC-Tue May  8 23:30:29 2018 UTC (0.001 )  Time stamp start 1525822229860740320 end 1525822229859740320  Run 349841, LB 97, lumi 16.54
Event Veto ['MiniNoiseBurst'], Tue May  8 23:30:36 2018 UTC-Tue May  8 23:30:36 2018 UTC (0.001 )  Time stamp start 1525822236476494120 end 1525822236475494120  Run 349841, LB 97, lumi 16.54
