Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349842 to 349842
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349842 to run 349842  lasting from Wed May  9 00:48:51 2018 UTC to Wed May  9 06:01:57 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 00:51:10 2018 UTC-Wed May  9 00:51:10 2018 UTC (0.001 )  Time stamp start 1525827070259922515 end 1525827070258922515  Run 349842, LB 4, lumi 16.22
Event Veto ['MiniNoiseBurst'], Wed May  9 00:53:03 2018 UTC-Wed May  9 00:53:03 2018 UTC (0.001 )  Time stamp start 1525827183165635580 end 1525827183164635580  Run 349842, LB 11, lumi 16.16
Event Veto ['MiniNoiseBurst'], Wed May  9 00:53:59 2018 UTC-Wed May  9 00:53:59 2018 UTC (0.002 )  Time stamp start 1525827239244731050 end 1525827239242781550  Run 349842, LB 13, lumi 31.45
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:13 2018 UTC-Wed May  9 00:54:13 2018 UTC (0.001 )  Time stamp start 1525827253747126160 end 1525827253746126160  Run 349842, LB 13, lumi 16.13
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:18 2018 UTC-Wed May  9 00:54:18 2018 UTC (0.001 )  Time stamp start 1525827258074354865 end 1525827258073354865  Run 349842, LB 13, lumi 16.13
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:23 2018 UTC-Wed May  9 00:54:23 2018 UTC (0.001 )  Time stamp start 1525827263031725555 end 1525827263030725555  Run 349842, LB 14, lumi 16.11
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:29 2018 UTC-Wed May  9 00:54:29 2018 UTC (0.001 )  Time stamp start 1525827269622920770 end 1525827269621920770  Run 349842, LB 14, lumi 16.11
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:31 2018 UTC-Wed May  9 00:54:31 2018 UTC (0.001 )  Time stamp start 1525827271756990915 end 1525827271755990915  Run 349842, LB 14, lumi 16.11
Event Veto ['MiniNoiseBurst'], Wed May  9 00:54:51 2018 UTC-Wed May  9 00:54:51 2018 UTC (0.001 )  Time stamp start 1525827291734590475 end 1525827291733590475  Run 349842, LB 14, lumi 16.11
Event Veto ['MiniNoiseBurst'], Wed May  9 00:55:32 2018 UTC-Wed May  9 00:55:32 2018 UTC (0.001 )  Time stamp start 1525827332772247815 end 1525827332771247815  Run 349842, LB 15, lumi 16.07
Event Veto ['MiniNoiseBurst'], Wed May  9 00:55:38 2018 UTC-Wed May  9 00:55:38 2018 UTC (0.001 )  Time stamp start 1525827338721736535 end 1525827338720736535  Run 349842, LB 15, lumi 16.07
Event Veto ['MiniNoiseBurst'], Wed May  9 00:55:39 2018 UTC-Wed May  9 00:55:39 2018 UTC (0.001 )  Time stamp start 1525827339778854440 end 1525827339777854440  Run 349842, LB 15, lumi 16.07
Event Veto ['MiniNoiseBurst'], Wed May  9 00:56:40 2018 UTC-Wed May  9 00:56:40 2018 UTC (0.001 )  Time stamp start 1525827400729593665 end 1525827400728593665  Run 349842, LB 16, lumi 16.03
Event Veto ['MiniNoiseBurst'], Wed May  9 00:57:02 2018 UTC-Wed May  9 00:57:02 2018 UTC (0.001 )  Time stamp start 1525827422268119785 end 1525827422267119785  Run 349842, LB 16, lumi 16.03
Event Veto ['MiniNoiseBurst'], Wed May  9 00:57:17 2018 UTC-Wed May  9 00:57:17 2018 UTC (0.001 )  Time stamp start 1525827437454318695 end 1525827437453318695  Run 349842, LB 16, lumi 16.03
Event Veto ['MiniNoiseBurst'], Wed May  9 00:58:04 2018 UTC-Wed May  9 00:58:04 2018 UTC (0.001 )  Time stamp start 1525827484991430705 end 1525827484990430705  Run 349842, LB 17, lumi 16.00
Event Veto ['MiniNoiseBurst'], Wed May  9 00:58:36 2018 UTC-Wed May  9 00:58:36 2018 UTC (0.001 )  Time stamp start 1525827516121447930 end 1525827516120447930  Run 349842, LB 18, lumi 15.98
Event Veto ['MiniNoiseBurst'], Wed May  9 00:59:10 2018 UTC-Wed May  9 00:59:10 2018 UTC (0.001 )  Time stamp start 1525827550363692075 end 1525827550362692075  Run 349842, LB 18, lumi 15.98
Event Veto ['MiniNoiseBurst'], Wed May  9 00:59:23 2018 UTC-Wed May  9 00:59:23 2018 UTC (0.001 )  Time stamp start 1525827563725614300 end 1525827563724614300  Run 349842, LB 19, lumi 15.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May  9 00:59:35 2018 UTC-Wed May  9 00:59:35 2018 UTC (0.001 )  Time stamp start 1525827575417150155 end 1525827575416150155  Run 349842, LB 19, lumi 15.95
Event Veto ['MiniNoiseBurst'], Wed May  9 00:59:35 2018 UTC-Wed May  9 00:59:35 2018 UTC (0.001 )  Time stamp start 1525827575808304305 end 1525827575807304305  Run 349842, LB 19, lumi 15.95
Event Veto ['MiniNoiseBurst'], Wed May  9 01:00:25 2018 UTC-Wed May  9 01:00:25 2018 UTC (0.001 )  Time stamp start 1525827625978870650 end 1525827625977870650  Run 349842, LB 20, lumi 15.92
Event Veto ['MiniNoiseBurst'], Wed May  9 01:00:29 2018 UTC-Wed May  9 01:00:29 2018 UTC (0.001 )  Time stamp start 1525827629862375250 end 1525827629861375250  Run 349842, LB 20, lumi 15.92
Event Veto ['MiniNoiseBurst'], Wed May  9 01:01:21 2018 UTC-Wed May  9 01:01:21 2018 UTC (0.001 )  Time stamp start 1525827681687021585 end 1525827681686021585  Run 349842, LB 20, lumi 15.92
Event Veto ['MiniNoiseBurst'], Wed May  9 01:02:13 2018 UTC-Wed May  9 01:02:13 2018 UTC (0.001 )  Time stamp start 1525827733351561400 end 1525827733350561400  Run 349842, LB 21, lumi 15.89
Event Veto ['MiniNoiseBurst'], Wed May  9 01:02:13 2018 UTC-Wed May  9 01:02:13 2018 UTC (0.001 )  Time stamp start 1525827733915507125 end 1525827733914507125  Run 349842, LB 21, lumi 15.89
Event Veto ['MiniNoiseBurst'], Wed May  9 01:02:33 2018 UTC-Wed May  9 01:02:33 2018 UTC (0.001 )  Time stamp start 1525827753023330875 end 1525827753022330875  Run 349842, LB 22, lumi 15.86
Event Veto ['MiniNoiseBurst'], Wed May  9 01:02:41 2018 UTC-Wed May  9 01:02:41 2018 UTC (0.001 )  Time stamp start 1525827761643358140 end 1525827761642358140  Run 349842, LB 22, lumi 15.86
Event Veto ['MiniNoiseBurst'], Wed May  9 01:03:38 2018 UTC-Wed May  9 01:03:38 2018 UTC (0.001 )  Time stamp start 1525827818310088705 end 1525827818309088705  Run 349842, LB 23, lumi 15.84
Event Veto ['MiniNoiseBurst'], Wed May  9 01:04:40 2018 UTC-Wed May  9 01:04:40 2018 UTC (0.002 )  Time stamp start 1525827880306596215 end 1525827880304739780  Run 349842, LB 24, lumi 29.34
Event Veto ['MiniNoiseBurst'], Wed May  9 01:05:14 2018 UTC-Wed May  9 01:05:14 2018 UTC (0.001 )  Time stamp start 1525827914218008160 end 1525827914217008160  Run 349842, LB 24, lumi 15.80
Event Veto ['MiniNoiseBurst'], Wed May  9 01:05:30 2018 UTC-Wed May  9 01:05:30 2018 UTC (0.001 )  Time stamp start 1525827930926137625 end 1525827930925137625  Run 349842, LB 25, lumi 15.80
Event Veto ['MiniNoiseBurst'], Wed May  9 01:07:15 2018 UTC-Wed May  9 01:07:15 2018 UTC (0.001 )  Time stamp start 1525828035274794280 end 1525828035273794280  Run 349842, LB 26, lumi 15.34
Event Veto ['NoiseBurst'], Wed May  9 01:07:22 2018 UTC-Wed May  9 01:07:22 2018 UTC (0.019 )  Time stamp start 1525828042209635815 end 1525828042190825080  Run 349842, LB 27, lumi 282.36
Event Veto ['MiniNoiseBurst'], Wed May  9 01:07:54 2018 UTC-Wed May  9 01:07:54 2018 UTC (0.001 )  Time stamp start 1525828074561398720 end 1525828074560398720  Run 349842, LB 27, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed May  9 01:09:48 2018 UTC-Wed May  9 01:09:48 2018 UTC (0.001 )  Time stamp start 1525828188542393730 end 1525828188541393730  Run 349842, LB 29, lumi 15.72
Event Veto ['MiniNoiseBurst'], Wed May  9 01:10:29 2018 UTC-Wed May  9 01:10:29 2018 UTC (0.001 )  Time stamp start 1525828229508407280 end 1525828229507407280  Run 349842, LB 30, lumi 15.69
Event Veto ['MiniNoiseBurst'], Wed May  9 01:10:49 2018 UTC-Wed May  9 01:10:49 2018 UTC (0.001 )  Time stamp start 1525828249110611890 end 1525828249109611890  Run 349842, LB 30, lumi 15.69
Event Veto ['MiniNoiseBurst'], Wed May  9 01:12:07 2018 UTC-Wed May  9 01:12:07 2018 UTC (0.001 )  Time stamp start 1525828327314469610 end 1525828327313469610  Run 349842, LB 31, lumi 15.67
Event Veto ['MiniNoiseBurst'], Wed May  9 01:12:18 2018 UTC-Wed May  9 01:12:18 2018 UTC (0.001 )  Time stamp start 1525828338722172200 end 1525828338721172200  Run 349842, LB 31, lumi 15.67
Event Veto ['MiniNoiseBurst'], Wed May  9 01:12:38 2018 UTC-Wed May  9 01:12:38 2018 UTC (0.001 )  Time stamp start 1525828358616742900 end 1525828358615742900  Run 349842, LB 32, lumi 15.64
Event Veto ['MiniNoiseBurst'], Wed May  9 01:12:45 2018 UTC-Wed May  9 01:12:45 2018 UTC (0.001 )  Time stamp start 1525828365777105105 end 1525828365776105105  Run 349842, LB 32, lumi 15.64
Event Veto ['MiniNoiseBurst'], Wed May  9 01:13:17 2018 UTC-Wed May  9 01:13:17 2018 UTC (0.001 )  Time stamp start 1525828397034236875 end 1525828397033236875  Run 349842, LB 32, lumi 15.64
Event Veto ['MiniNoiseBurst'], Wed May  9 01:13:57 2018 UTC-Wed May  9 01:13:57 2018 UTC (0.001 )  Time stamp start 1525828437194873070 end 1525828437193873070  Run 349842, LB 33, lumi 15.62
Event Veto ['NoiseBurst'], Wed May  9 01:14:04 2018 UTC-Wed May  9 01:14:04 2018 UTC (0.001 )  Time stamp start 1525828444049663555 end 1525828444048254090  Run 349842, LB 33, lumi 22.01
Event Veto ['MiniNoiseBurst'], Wed May  9 01:16:02 2018 UTC-Wed May  9 01:16:02 2018 UTC (0.001 )  Time stamp start 1525828562881003330 end 1525828562880003330  Run 349842, LB 36, lumi 15.55
Event Veto ['MiniNoiseBurst'], Wed May  9 01:16:22 2018 UTC-Wed May  9 01:16:22 2018 UTC (0.001 )  Time stamp start 1525828582675431300 end 1525828582674431300  Run 349842, LB 36, lumi 15.55
Event Veto ['MiniNoiseBurst'], Wed May  9 01:16:23 2018 UTC-Wed May  9 01:16:23 2018 UTC (0.001 )  Time stamp start 1525828583940363955 end 1525828583939363955  Run 349842, LB 36, lumi 15.55
Event Veto ['MiniNoiseBurst'], Wed May  9 01:18:29 2018 UTC-Wed May  9 01:18:29 2018 UTC (0.001 )  Time stamp start 1525828709096842195 end 1525828709095842195  Run 349842, LB 38, lumi 15.50
Event Veto ['MiniNoiseBurst'], Wed May  9 01:18:58 2018 UTC-Wed May  9 01:18:58 2018 UTC (0.001 )  Time stamp start 1525828738707811185 end 1525828738706811185  Run 349842, LB 39, lumi 15.47
Event Veto ['MiniNoiseBurst'], Wed May  9 01:20:36 2018 UTC-Wed May  9 01:20:36 2018 UTC (0.001 )  Time stamp start 1525828836116279465 end 1525828836115279465  Run 349842, LB 40, lumi 15.44
Event Veto ['MiniNoiseBurst'], Wed May  9 01:20:40 2018 UTC-Wed May  9 01:20:40 2018 UTC (0.001 )  Time stamp start 1525828840454651895 end 1525828840453651895  Run 349842, LB 40, lumi 15.44
Event Veto ['MiniNoiseBurst'], Wed May  9 01:20:55 2018 UTC-Wed May  9 01:20:55 2018 UTC (0.001 )  Time stamp start 1525828855447476115 end 1525828855446476115  Run 349842, LB 41, lumi 15.42
Event Veto ['MiniNoiseBurst'], Wed May  9 01:21:45 2018 UTC-Wed May  9 01:21:45 2018 UTC (0.001 )  Time stamp start 1525828905214996590 end 1525828905213996590  Run 349842, LB 42, lumi 15.39
