Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349944 to 349944
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349944 to run 349944  lasting from Wed May  9 16:58:10 2018 UTC to Thu May 10 10:37:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 20:21:48 2018 UTC-Wed May  9 20:21:48 2018 UTC (0.001 )  Time stamp start 1525897308841829110 end 1525897308840829110  Run 349944, LB 207, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:32:24 2018 UTC-Wed May  9 20:32:24 2018 UTC (0.001 )  Time stamp start 1525897944937270435 end 1525897944936270435  Run 349944, LB 219, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:37:05 2018 UTC-Wed May  9 20:37:05 2018 UTC (0.001 )  Time stamp start 1525898225599549840 end 1525898225598549840  Run 349944, LB 223, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:39:10 2018 UTC-Wed May  9 20:39:10 2018 UTC (0.001 )  Time stamp start 1525898350718839715 end 1525898350717839715  Run 349944, LB 225, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:39:41 2018 UTC-Wed May  9 20:39:41 2018 UTC (0.001 )  Time stamp start 1525898381844252545 end 1525898381843252545  Run 349944, LB 226, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:44:13 2018 UTC-Wed May  9 20:44:13 2018 UTC (0.001 )  Time stamp start 1525898653223337540 end 1525898653222337540  Run 349944, LB 234, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:44:15 2018 UTC-Wed May  9 20:44:15 2018 UTC (0.001 )  Time stamp start 1525898655582376460 end 1525898655581376460  Run 349944, LB 234, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:44:19 2018 UTC-Wed May  9 20:44:19 2018 UTC (0.001 )  Time stamp start 1525898659432750985 end 1525898659431750985  Run 349944, LB 234, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:44:24 2018 UTC-Wed May  9 20:44:24 2018 UTC (0.001 )  Time stamp start 1525898664668094040 end 1525898664667094040  Run 349944, LB 234, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:44:32 2018 UTC-Wed May  9 20:44:32 2018 UTC (0.002 )  Time stamp start 1525898672459416290 end 1525898672457845170  Run 349944, LB 234, lumi 28.28
Event Veto ['MiniNoiseBurst'], Wed May  9 20:45:01 2018 UTC-Wed May  9 20:45:01 2018 UTC (0.001 )  Time stamp start 1525898701158828005 end 1525898701157828005  Run 349944, LB 234, lumi 18.00
Event Veto ['MiniNoiseBurst'], Wed May  9 20:45:29 2018 UTC-Wed May  9 20:45:29 2018 UTC (0.001 )  Time stamp start 1525898729720448870 end 1525898729719448870  Run 349944, LB 235, lumi 16.60
Event Veto ['MiniNoiseBurst'], Wed May  9 20:46:18 2018 UTC-Wed May  9 20:46:18 2018 UTC (0.001 )  Time stamp start 1525898778243515085 end 1525898778242515085  Run 349944, LB 236, lumi 19.30
Event Veto ['MiniNoiseBurst'], Wed May  9 20:46:19 2018 UTC-Wed May  9 20:46:19 2018 UTC (0.001 )  Time stamp start 1525898779127397955 end 1525898779126397955  Run 349944, LB 236, lumi 19.30
Event Veto ['MiniNoiseBurst'], Wed May  9 20:46:30 2018 UTC-Wed May  9 20:46:30 2018 UTC (0.001 )  Time stamp start 1525898790271823135 end 1525898790270823135  Run 349944, LB 236, lumi 19.30
Event Veto ['MiniNoiseBurst'], Wed May  9 20:46:30 2018 UTC-Wed May  9 20:46:30 2018 UTC (0.001 )  Time stamp start 1525898790533711030 end 1525898790532711030  Run 349944, LB 236, lumi 19.30
