Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349977 to 349977
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349977 to run 349977  lasting from Thu May 10 11:38:04 2018 UTC to Thu May 10 15:39:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Thu May 10 12:25:15 2018 UTC-Thu May 10 12:25:15 2018 UTC (0.001 )  Time stamp start 1525955115184913830 end 1525955115183913830  Run 349977, LB 54, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:25:21 2018 UTC-Thu May 10 12:25:21 2018 UTC (0.001 )  Time stamp start 1525955121142758990 end 1525955121141758990  Run 349977, LB 54, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:32:49 2018 UTC-Thu May 10 12:32:49 2018 UTC (0.001 )  Time stamp start 1525955569271207890 end 1525955569270207890  Run 349977, LB 62, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:34:09 2018 UTC-Thu May 10 12:34:09 2018 UTC (0.001 )  Time stamp start 1525955649026554950 end 1525955649025554950  Run 349977, LB 63, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:35:01 2018 UTC-Thu May 10 12:35:01 2018 UTC (0.001 )  Time stamp start 1525955701619931080 end 1525955701618931080  Run 349977, LB 64, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:37:15 2018 UTC-Thu May 10 12:37:15 2018 UTC (0.001 )  Time stamp start 1525955835075136960 end 1525955835074136960  Run 349977, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:37:31 2018 UTC-Thu May 10 12:37:31 2018 UTC (0.001 )  Time stamp start 1525955851327352560 end 1525955851326352560  Run 349977, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu May 10 12:39:52 2018 UTC-Thu May 10 12:39:52 2018 UTC (0.001 )  Time stamp start 1525955992809810515 end 1525955992808810515  Run 349977, LB 69, lumi 0.49
Event Veto ['MiniNoiseBurst'], Thu May 10 12:39:53 2018 UTC-Thu May 10 12:39:53 2018 UTC (0.001 )  Time stamp start 1525955993314551760 end 1525955993313551760  Run 349977, LB 69, lumi 0.49
Event Veto ['MiniNoiseBurst'], Thu May 10 12:40:15 2018 UTC-Thu May 10 12:40:15 2018 UTC (0.001 )  Time stamp start 1525956015980198210 end 1525956015979198210  Run 349977, LB 71, lumi 16.44
Event Veto ['MiniNoiseBurst'], Thu May 10 12:40:24 2018 UTC-Thu May 10 12:40:24 2018 UTC (0.001 )  Time stamp start 1525956024823040060 end 1525956024822040060  Run 349977, LB 71, lumi 16.44
