Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350067 to 350067
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350067 to run 350067  lasting from Fri May 11 15:39:44 2018 UTC to Fri May 11 22:05:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 11 16:41:46 2018 UTC-Fri May 11 16:41:46 2018 UTC (0.001 )  Time stamp start 1526056906046277750 end 1526056906045277750  Run 350067, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 11 16:44:09 2018 UTC-Fri May 11 16:44:09 2018 UTC (0.001 )  Time stamp start 1526057049377879390 end 1526057049376879390  Run 350067, LB 69, lumi 0.00
Event Veto ['NoiseBurst'], Fri May 11 16:49:34 2018 UTC-Fri May 11 16:49:34 2018 UTC (0.001 )  Time stamp start 1526057374734069830 end 1526057374733068910  Run 350067, LB 75, lumi 2.22
Event Veto ['MiniNoiseBurst'], Fri May 11 16:51:41 2018 UTC-Fri May 11 16:51:41 2018 UTC (0.001 )  Time stamp start 1526057501717636505 end 1526057501716636505  Run 350067, LB 78, lumi 6.01
Event Veto ['MiniNoiseBurst'], Fri May 11 16:51:49 2018 UTC-Fri May 11 16:51:49 2018 UTC (0.001 )  Time stamp start 1526057509608569345 end 1526057509607569345  Run 350067, LB 78, lumi 6.01
Event Veto ['MiniNoiseBurst'], Fri May 11 16:51:54 2018 UTC-Fri May 11 16:51:54 2018 UTC (0.001 )  Time stamp start 1526057514957942775 end 1526057514956942775  Run 350067, LB 78, lumi 6.01
Event Veto ['MiniNoiseBurst'], Fri May 11 16:52:53 2018 UTC-Fri May 11 16:52:53 2018 UTC (0.001 )  Time stamp start 1526057573550340485 end 1526057573549340485  Run 350067, LB 79, lumi 3.29
Event Veto ['MiniNoiseBurst'], Fri May 11 16:52:56 2018 UTC-Fri May 11 16:52:56 2018 UTC (0.001 )  Time stamp start 1526057576272453255 end 1526057576271453255  Run 350067, LB 79, lumi 3.29
Event Veto ['MiniNoiseBurst'], Fri May 11 16:54:04 2018 UTC-Fri May 11 16:54:04 2018 UTC (0.001 )  Time stamp start 1526057644391174115 end 1526057644390174115  Run 350067, LB 80, lumi 4.32
Event Veto ['NoiseBurst'], Fri May 11 16:54:10 2018 UTC-Fri May 11 16:54:10 2018 UTC (0.002 )  Time stamp start 1526057650783889250 end 1526057650781959710  Run 350067, LB 80, lumi 8.33
Event Veto ['MiniNoiseBurst'], Fri May 11 16:54:12 2018 UTC-Fri May 11 16:54:12 2018 UTC (0.001 )  Time stamp start 1526057652729942585 end 1526057652728942585  Run 350067, LB 80, lumi 4.32
Event Veto ['MiniNoiseBurst'], Fri May 11 16:54:13 2018 UTC-Fri May 11 16:54:13 2018 UTC (0.001 )  Time stamp start 1526057653502914690 end 1526057653501914690  Run 350067, LB 80, lumi 4.32
Event Veto ['MiniNoiseBurst'], Fri May 11 16:54:32 2018 UTC-Fri May 11 16:54:32 2018 UTC (0.001 )  Time stamp start 1526057672789892740 end 1526057672788892740  Run 350067, LB 81, lumi 18.74
Event Veto ['MiniNoiseBurst'], Fri May 11 16:54:44 2018 UTC-Fri May 11 16:54:44 2018 UTC (0.001 )  Time stamp start 1526057684153190780 end 1526057684152190780  Run 350067, LB 82, lumi 18.44
