Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 02:40:12 2018 UTC-Sat May 12 02:40:12 2018 UTC (0.001 )  Time stamp start 1526092812734628995 end 1526092812733628995  Run 350121, LB 46, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 02:42:24 2018 UTC-Sat May 12 02:42:24 2018 UTC (0.001 )  Time stamp start 1526092944960418520 end 1526092944959418520  Run 350121, LB 48, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 02:45:33 2018 UTC-Sat May 12 02:45:33 2018 UTC (0.001 )  Time stamp start 1526093133065405775 end 1526093133064405775  Run 350121, LB 51, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:01 2018 UTC-Sat May 12 02:56:01 2018 UTC (0.001 )  Time stamp start 1526093761390008125 end 1526093761389008125  Run 350121, LB 63, lumi 1.00
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:25 2018 UTC-Sat May 12 02:56:25 2018 UTC (0.001 )  Time stamp start 1526093785838966460 end 1526093785837966460  Run 350121, LB 63, lumi 1.00
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:51 2018 UTC-Sat May 12 02:56:51 2018 UTC (0.001 )  Time stamp start 1526093811877884135 end 1526093811876884135  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:54 2018 UTC-Sat May 12 02:56:54 2018 UTC (0.001 )  Time stamp start 1526093814057947935 end 1526093814056947935  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:56 2018 UTC-Sat May 12 02:56:56 2018 UTC (0.001 )  Time stamp start 1526093816265195860 end 1526093816264195860  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:56:58 2018 UTC-Sat May 12 02:56:58 2018 UTC (0.001 )  Time stamp start 1526093818665855030 end 1526093818664855030  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:02 2018 UTC-Sat May 12 02:57:02 2018 UTC (0.001 )  Time stamp start 1526093822577155040 end 1526093822576155040  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:04 2018 UTC-Sat May 12 02:57:04 2018 UTC (0.001 )  Time stamp start 1526093824734142825 end 1526093824733142825  Run 350121, LB 64, lumi 17.76
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:09 2018 UTC-Sat May 12 02:57:09 2018 UTC (0.001 )  Time stamp start 1526093829063484905 end 1526093829062484905  Run 350121, LB 64, lumi 17.76
