Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350144 to 350144
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350144 to run 350144  lasting from Sat May 12 18:24:25 2018 UTC to Sun May 13 08:35:36 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 18:35:54 2018 UTC-Sat May 12 18:35:54 2018 UTC (0.001 )  Time stamp start 1526150154338477055 end 1526150154337477055  Run 350144, LB 17, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 18:40:26 2018 UTC-Sat May 12 18:40:26 2018 UTC (0.001 )  Time stamp start 1526150426565515085 end 1526150426564515085  Run 350144, LB 21, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 18:47:45 2018 UTC-Sat May 12 18:47:45 2018 UTC (0.001 )  Time stamp start 1526150865776930540 end 1526150865775930540  Run 350144, LB 28, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 18:47:47 2018 UTC-Sat May 12 18:47:47 2018 UTC (0.001 )  Time stamp start 1526150867306917030 end 1526150867305917030  Run 350144, LB 28, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 18:48:35 2018 UTC-Sat May 12 18:48:35 2018 UTC (0.001 )  Time stamp start 1526150915790929320 end 1526150915789929320  Run 350144, LB 29, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat May 12 18:48:51 2018 UTC-Sat May 12 18:48:51 2018 UTC (0.001 )  Time stamp start 1526150931987751635 end 1526150931986751635  Run 350144, LB 30, lumi 0.00
Event Veto ['NoiseBurst'], Sat May 12 18:52:05 2018 UTC-Sat May 12 18:52:05 2018 UTC (0.001 )  Time stamp start 1526151125883741125 end 1526151125882740475  Run 350144, LB 33, lumi 18.79
Event Veto ['NoiseBurst'], Sat May 12 18:52:22 2018 UTC-Sat May 12 18:52:22 2018 UTC (0.001 )  Time stamp start 1526151142404858640 end 1526151142403858390  Run 350144, LB 33, lumi 18.78
Event Veto ['MiniNoiseBurst'], Sat May 12 18:52:22 2018 UTC-Sat May 12 18:52:22 2018 UTC (0.001 )  Time stamp start 1526151142649049875 end 1526151142648049875  Run 350144, LB 33, lumi 18.78
Event Veto ['MiniNoiseBurst'], Sat May 12 18:52:24 2018 UTC-Sat May 12 18:52:24 2018 UTC (0.001 )  Time stamp start 1526151144976877730 end 1526151144975877730  Run 350144, LB 33, lumi 18.78
Event Veto ['MiniNoiseBurst'], Sat May 12 18:52:29 2018 UTC-Sat May 12 18:52:29 2018 UTC (0.001 )  Time stamp start 1526151149666295630 end 1526151149665295630  Run 350144, LB 33, lumi 18.78
Event Veto ['MiniNoiseBurst'], Sat May 12 18:52:47 2018 UTC-Sat May 12 18:52:47 2018 UTC (0.001 )  Time stamp start 1526151167486356770 end 1526151167485356770  Run 350144, LB 33, lumi 18.78
Event Veto ['NoiseBurst'], Sat May 12 18:52:57 2018 UTC-Sat May 12 18:52:57 2018 UTC (0.001 )  Time stamp start 1526151177635470030 end 1526151177634469410  Run 350144, LB 34, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat May 12 18:53:24 2018 UTC-Sat May 12 18:53:24 2018 UTC (0.001 )  Time stamp start 1526151204216177210 end 1526151204215177210  Run 350144, LB 34, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sat May 12 18:53:51 2018 UTC-Sat May 12 18:53:51 2018 UTC (0.001 )  Time stamp start 1526151231092811160 end 1526151231091811160  Run 350144, LB 35, lumi 18.75
Event Veto ['MiniNoiseBurst'], Sat May 12 18:53:55 2018 UTC-Sat May 12 18:53:55 2018 UTC (0.001 )  Time stamp start 1526151235150447660 end 1526151235149447660  Run 350144, LB 35, lumi 18.75
Event Veto ['MiniNoiseBurst'], Sat May 12 18:54:08 2018 UTC-Sat May 12 18:54:08 2018 UTC (0.001 )  Time stamp start 1526151248592641115 end 1526151248591641115  Run 350144, LB 35, lumi 18.75
Event Veto ['MiniNoiseBurst'], Sat May 12 18:54:24 2018 UTC-Sat May 12 18:54:24 2018 UTC (0.001 )  Time stamp start 1526151264786867905 end 1526151264785867905  Run 350144, LB 35, lumi 18.75
Event Veto ['MiniNoiseBurst'], Sat May 12 18:54:48 2018 UTC-Sat May 12 18:54:48 2018 UTC (0.001 )  Time stamp start 1526151288193402425 end 1526151288192402425  Run 350144, LB 35, lumi 18.75
Event Veto ['MiniNoiseBurst'], Sat May 12 18:55:19 2018 UTC-Sat May 12 18:55:19 2018 UTC (0.001 )  Time stamp start 1526151319093071840 end 1526151319092071840  Run 350144, LB 36, lumi 21.05
Event Veto ['MiniNoiseBurst'], Sat May 12 18:56:05 2018 UTC-Sat May 12 18:56:05 2018 UTC (0.001 )  Time stamp start 1526151365135287035 end 1526151365134287035  Run 350144, LB 37, lumi 20.93
Event Veto ['MiniNoiseBurst'], Sat May 12 18:56:20 2018 UTC-Sat May 12 18:56:20 2018 UTC (0.001 )  Time stamp start 1526151380053420835 end 1526151380052420835  Run 350144, LB 37, lumi 20.93
Event Veto ['MiniNoiseBurst'], Sat May 12 18:56:48 2018 UTC-Sat May 12 18:56:48 2018 UTC (0.001 )  Time stamp start 1526151408636836295 end 1526151408635836295  Run 350144, LB 37, lumi 20.93
Event Veto ['MiniNoiseBurst'], Sat May 12 18:58:11 2018 UTC-Sat May 12 18:58:11 2018 UTC (0.001 )  Time stamp start 1526151491365120290 end 1526151491364120290  Run 350144, LB 39, lumi 20.73
Event Veto ['MiniNoiseBurst'], Sat May 12 18:59:02 2018 UTC-Sat May 12 18:59:02 2018 UTC (0.001 )  Time stamp start 1526151542584632625 end 1526151542583632625  Run 350144, LB 40, lumi 20.70
Event Veto ['MiniNoiseBurst'], Sat May 12 18:59:05 2018 UTC-Sat May 12 18:59:05 2018 UTC (0.001 )  Time stamp start 1526151545948620700 end 1526151545947620700  Run 350144, LB 40, lumi 20.70
Event Veto ['MiniNoiseBurst'], Sat May 12 18:59:10 2018 UTC-Sat May 12 18:59:10 2018 UTC (0.001 )  Time stamp start 1526151550145600890 end 1526151550144600890  Run 350144, LB 40, lumi 20.70
Event Veto ['MiniNoiseBurst'], Sat May 12 19:00:01 2018 UTC-Sat May 12 19:00:01 2018 UTC (0.001 )  Time stamp start 1526151601833006835 end 1526151601832006835  Run 350144, LB 42, lumi 20.58
Event Veto ['MiniNoiseBurst'], Sat May 12 19:00:17 2018 UTC-Sat May 12 19:00:17 2018 UTC (0.001 )  Time stamp start 1526151617587804655 end 1526151617586804655  Run 350144, LB 42, lumi 20.58
Event Veto ['MiniNoiseBurst'], Sat May 12 19:00:32 2018 UTC-Sat May 12 19:00:32 2018 UTC (0.001 )  Time stamp start 1526151632183239925 end 1526151632182239925  Run 350144, LB 42, lumi 20.58
Event Veto ['MiniNoiseBurst'], Sat May 12 19:00:59 2018 UTC-Sat May 12 19:00:59 2018 UTC (0.001 )  Time stamp start 1526151659530416945 end 1526151659529416945  Run 350144, LB 43, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:01:08 2018 UTC-Sat May 12 19:01:08 2018 UTC (0.001 )  Time stamp start 1526151668432178830 end 1526151668431178830  Run 350144, LB 43, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:01:09 2018 UTC-Sat May 12 19:01:09 2018 UTC (0.001 )  Time stamp start 1526151669774614680 end 1526151669773614680  Run 350144, LB 43, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:01:58 2018 UTC-Sat May 12 19:01:58 2018 UTC (0.001 )  Time stamp start 1526151718618626270 end 1526151718617626270  Run 350144, LB 44, lumi 20.49
Event Veto ['MiniNoiseBurst'], Sat May 12 19:02:30 2018 UTC-Sat May 12 19:02:30 2018 UTC (0.001 )  Time stamp start 1526151750724407020 end 1526151750723407020  Run 350144, LB 45, lumi 20.45
Event Veto ['MiniNoiseBurst'], Sat May 12 19:02:40 2018 UTC-Sat May 12 19:02:40 2018 UTC (0.001 )  Time stamp start 1526151760658494270 end 1526151760657494270  Run 350144, LB 45, lumi 20.45
Event Veto ['MiniNoiseBurst'], Sat May 12 19:03:09 2018 UTC-Sat May 12 19:03:09 2018 UTC (0.001 )  Time stamp start 1526151789462945685 end 1526151789461945685  Run 350144, LB 45, lumi 20.45
Event Veto ['NoiseBurst'], Sat May 12 19:03:12 2018 UTC-Sat May 12 19:03:12 2018 UTC (0.001 )  Time stamp start 1526151792827955915 end 1526151792826725295  Run 350144, LB 45, lumi 25.16
Event Veto ['MiniNoiseBurst'], Sat May 12 19:03:15 2018 UTC-Sat May 12 19:03:15 2018 UTC (0.001 )  Time stamp start 1526151795553346100 end 1526151795552346100  Run 350144, LB 45, lumi 20.45
Event Veto ['MiniNoiseBurst'], Sat May 12 19:03:24 2018 UTC-Sat May 12 19:03:24 2018 UTC (0.001 )  Time stamp start 1526151804799078170 end 1526151804798078170  Run 350144, LB 46, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:03:31 2018 UTC-Sat May 12 19:03:31 2018 UTC (0.001 )  Time stamp start 1526151811656307580 end 1526151811655307580  Run 350144, LB 46, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:04:02 2018 UTC-Sat May 12 19:04:02 2018 UTC (0.001 )  Time stamp start 1526151842835020150 end 1526151842834020150  Run 350144, LB 46, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:04:12 2018 UTC-Sat May 12 19:04:12 2018 UTC (0.001 )  Time stamp start 1526151852460356300 end 1526151852459356300  Run 350144, LB 46, lumi 20.51
Event Veto ['MiniNoiseBurst'], Sat May 12 19:04:22 2018 UTC-Sat May 12 19:04:22 2018 UTC (0.001 )  Time stamp start 1526151862623968765 end 1526151862622968765  Run 350144, LB 46, lumi 20.51
Event Veto ['DataCorruption'], Sat May 12 19:05:18 2018 UTC-Sat May 12 19:05:19 2018 UTC (0.500 )  Time stamp start 1526151919014747185 end 1526151918514420230  Run 350144, LB 47, lumi 10201.32
Event Veto ['MiniNoiseBurst'], Sat May 12 19:06:08 2018 UTC-Sat May 12 19:06:08 2018 UTC (0.001 )  Time stamp start 1526151968670949040 end 1526151968669949040  Run 350144, LB 48, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sat May 12 19:06:32 2018 UTC-Sat May 12 19:06:32 2018 UTC (0.001 )  Time stamp start 1526151992562705400 end 1526151992561705400  Run 350144, LB 49, lumi 20.31
Event Veto ['MiniNoiseBurst'], Sat May 12 19:07:14 2018 UTC-Sat May 12 19:07:14 2018 UTC (0.001 )  Time stamp start 1526152034396573540 end 1526152034395573540  Run 350144, LB 51, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sat May 12 19:07:22 2018 UTC-Sat May 12 19:07:22 2018 UTC (0.001 )  Time stamp start 1526152042153895560 end 1526152042152895560  Run 350144, LB 51, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sat May 12 19:07:33 2018 UTC-Sat May 12 19:07:33 2018 UTC (0.001 )  Time stamp start 1526152053788739515 end 1526152053787739515  Run 350144, LB 51, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sat May 12 19:07:59 2018 UTC-Sat May 12 19:07:59 2018 UTC (0.001 )  Time stamp start 1526152079350727350 end 1526152079349727350  Run 350144, LB 51, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sat May 12 19:08:03 2018 UTC-Sat May 12 19:08:03 2018 UTC (0.001 )  Time stamp start 1526152083721314260 end 1526152083720314260  Run 350144, LB 51, lumi 20.25
Event Veto ['MiniNoiseBurst'], Sat May 12 19:09:09 2018 UTC-Sat May 12 19:09:09 2018 UTC (0.001 )  Time stamp start 1526152149060029275 end 1526152149059029275  Run 350144, LB 53, lumi 20.21
Event Veto ['MiniNoiseBurst'], Sat May 12 19:09:28 2018 UTC-Sat May 12 19:09:28 2018 UTC (0.001 )  Time stamp start 1526152168290093620 end 1526152168289093620  Run 350144, LB 53, lumi 20.21
Event Veto ['MiniNoiseBurst'], Sat May 12 19:09:43 2018 UTC-Sat May 12 19:09:43 2018 UTC (0.001 )  Time stamp start 1526152183512628510 end 1526152183511628510  Run 350144, LB 53, lumi 20.21
Event Veto ['MiniNoiseBurst'], Sat May 12 19:10:15 2018 UTC-Sat May 12 19:10:15 2018 UTC (0.001 )  Time stamp start 1526152215744801965 end 1526152215743801965  Run 350144, LB 54, lumi 20.17
Event Veto ['MiniNoiseBurst'], Sat May 12 19:10:27 2018 UTC-Sat May 12 19:10:27 2018 UTC (0.001 )  Time stamp start 1526152227375721795 end 1526152227374721795  Run 350144, LB 54, lumi 20.17
Event Veto ['MiniNoiseBurst'], Sat May 12 19:10:28 2018 UTC-Sat May 12 19:10:28 2018 UTC (0.001 )  Time stamp start 1526152228807794250 end 1526152228806794250  Run 350144, LB 54, lumi 20.17
Event Veto ['MiniNoiseBurst'], Sat May 12 19:11:14 2018 UTC-Sat May 12 19:11:14 2018 UTC (0.001 )  Time stamp start 1526152274294171345 end 1526152274293171345  Run 350144, LB 55, lumi 20.08
Event Veto ['MiniNoiseBurst'], Sat May 12 19:11:16 2018 UTC-Sat May 12 19:11:16 2018 UTC (0.001 )  Time stamp start 1526152276136554585 end 1526152276135554585  Run 350144, LB 55, lumi 20.08
