Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350184 to 350184
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350184 to run 350184  lasting from Mon May 14 02:36:42 2018 UTC to Mon May 14 19:55:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 14 02:48:48 2018 UTC-Mon May 14 02:48:48 2018 UTC (0.001 )  Time stamp start 1526266128380102070 end 1526266128379102070  Run 350184, LB 14, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 04:41:44 2018 UTC-Mon May 14 04:41:44 2018 UTC (0.001 )  Time stamp start 1526272904140178745 end 1526272904139178445  Run 350184, LB 128, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:32:34 2018 UTC-Mon May 14 05:32:34 2018 UTC (0.001 )  Time stamp start 1526275954223035570 end 1526275954222035570  Run 350184, LB 182, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:35:25 2018 UTC-Mon May 14 05:35:25 2018 UTC (0.001 )  Time stamp start 1526276125396855785 end 1526276125395855785  Run 350184, LB 185, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:36:39 2018 UTC-Mon May 14 05:36:39 2018 UTC (0.001 )  Time stamp start 1526276199360064760 end 1526276199359064760  Run 350184, LB 186, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:38:06 2018 UTC-Mon May 14 05:38:06 2018 UTC (0.001 )  Time stamp start 1526276286916568185 end 1526276286915568185  Run 350184, LB 187, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:39:42 2018 UTC-Mon May 14 05:39:42 2018 UTC (0.001 )  Time stamp start 1526276382730679535 end 1526276382729679535  Run 350184, LB 189, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:40:06 2018 UTC-Mon May 14 05:40:06 2018 UTC (0.001 )  Time stamp start 1526276406165585250 end 1526276406164585250  Run 350184, LB 189, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:40:37 2018 UTC-Mon May 14 05:40:37 2018 UTC (0.001 )  Time stamp start 1526276437605530965 end 1526276437604530965  Run 350184, LB 190, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 14 05:44:37 2018 UTC-Mon May 14 05:44:37 2018 UTC (0.001 )  Time stamp start 1526276677716502870 end 1526276677715502870  Run 350184, LB 198, lumi 15.79
Event Veto ['NoiseBurst'], Mon May 14 05:44:49 2018 UTC-Mon May 14 05:44:49 2018 UTC (0.001 )  Time stamp start 1526276689639499180 end 1526276689638498555  Run 350184, LB 198, lumi 15.80
Event Veto ['MiniNoiseBurst'], Mon May 14 05:44:50 2018 UTC-Mon May 14 05:44:50 2018 UTC (0.001 )  Time stamp start 1526276690973763960 end 1526276690972763960  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:44:53 2018 UTC-Mon May 14 05:44:53 2018 UTC (0.001 )  Time stamp start 1526276693134473535 end 1526276693133473535  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:44:57 2018 UTC-Mon May 14 05:44:57 2018 UTC (0.001 )  Time stamp start 1526276697767734420 end 1526276697766734420  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:00 2018 UTC-Mon May 14 05:45:00 2018 UTC (0.001 )  Time stamp start 1526276700246996085 end 1526276700245996085  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:04 2018 UTC-Mon May 14 05:45:04 2018 UTC (0.001 )  Time stamp start 1526276704396034545 end 1526276704395034020  Run 350184, LB 198, lumi 15.80
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:08 2018 UTC-Mon May 14 05:45:08 2018 UTC (0.001 )  Time stamp start 1526276708207165270 end 1526276708206165270  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:10 2018 UTC-Mon May 14 05:45:10 2018 UTC (0.001 )  Time stamp start 1526276710544266535 end 1526276710543266535  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:16 2018 UTC-Mon May 14 05:45:16 2018 UTC (0.001 )  Time stamp start 1526276716269645980 end 1526276716268645980  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:18 2018 UTC-Mon May 14 05:45:18 2018 UTC (0.001 )  Time stamp start 1526276718001637790 end 1526276718000637790  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:23 2018 UTC-Mon May 14 05:45:23 2018 UTC (0.001 )  Time stamp start 1526276723467681625 end 1526276723466681625  Run 350184, LB 198, lumi 15.79
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:38 2018 UTC-Mon May 14 05:45:38 2018 UTC (0.001 )  Time stamp start 1526276738474733685 end 1526276738473733685  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:42 2018 UTC-Mon May 14 05:45:42 2018 UTC (0.001 )  Time stamp start 1526276742382401140 end 1526276742381401140  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:44 2018 UTC-Mon May 14 05:45:44 2018 UTC (0.001 )  Time stamp start 1526276744319392355 end 1526276744318392355  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:51 2018 UTC-Mon May 14 05:45:51 2018 UTC (0.001 )  Time stamp start 1526276751103805885 end 1526276751102805885  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:54 2018 UTC-Mon May 14 05:45:54 2018 UTC (0.001 )  Time stamp start 1526276754232799930 end 1526276754231799930  Run 350184, LB 199, lumi 15.63
