Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 18 00:08:18 2018 UTC-Fri May 18 00:08:18 2018 UTC (0.001 )  Time stamp start 1526602098389657005 end 1526602098388657005  Run 350531, LB 52, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 18 00:09:54 2018 UTC-Fri May 18 00:09:54 2018 UTC (0.001 )  Time stamp start 1526602194917279840 end 1526602194916279840  Run 350531, LB 53, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 18 00:12:47 2018 UTC-Fri May 18 00:12:47 2018 UTC (0.001 )  Time stamp start 1526602367202713445 end 1526602367201713445  Run 350531, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 18 00:14:25 2018 UTC-Fri May 18 00:14:25 2018 UTC (0.001 )  Time stamp start 1526602465886833175 end 1526602465885833175  Run 350531, LB 58, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 18 00:14:58 2018 UTC-Fri May 18 00:14:58 2018 UTC (0.001 )  Time stamp start 1526602498879378035 end 1526602498878378035  Run 350531, LB 58, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri May 18 00:20:06 2018 UTC-Fri May 18 00:20:06 2018 UTC (0.001 )  Time stamp start 1526602806101764035 end 1526602806100764035  Run 350531, LB 64, lumi 2.60
Event Veto ['MiniNoiseBurst'], Fri May 18 00:20:06 2018 UTC-Fri May 18 00:20:06 2018 UTC (0.001 )  Time stamp start 1526602806173273625 end 1526602806172273625  Run 350531, LB 64, lumi 2.60
Event Veto ['NoiseBurst'], Fri May 18 00:20:12 2018 UTC-Fri May 18 00:20:12 2018 UTC (0.001 )  Time stamp start 1526602812441884665 end 1526602812440884170  Run 350531, LB 64, lumi 2.61
Event Veto ['MiniNoiseBurst'], Fri May 18 00:20:15 2018 UTC-Fri May 18 00:20:15 2018 UTC (0.001 )  Time stamp start 1526602815635200765 end 1526602815634200765  Run 350531, LB 64, lumi 2.60
Event Veto ['NoiseBurst'], Fri May 18 00:21:55 2018 UTC-Fri May 18 00:21:55 2018 UTC (0.001 )  Time stamp start 1526602915846483820 end 1526602915845320020  Run 350531, LB 66, lumi 20.56
Event Veto ['MiniNoiseBurst'], Fri May 18 00:22:42 2018 UTC-Fri May 18 00:22:42 2018 UTC (0.001 )  Time stamp start 1526602962448279415 end 1526602962447279415  Run 350531, LB 67, lumi 18.18
