Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351364 to 351364
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351364 to run 351364  lasting from Mon May 28 22:09:30 2018 UTC to Tue May 29 11:27:42 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 28 22:58:15 2018 UTC-Mon May 28 22:58:15 2018 UTC (0.001 )  Time stamp start 1527548295933970995 end 1527548295932970995  Run 351364, LB 54, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon May 28 23:10:49 2018 UTC-Mon May 28 23:10:49 2018 UTC (0.001 )  Time stamp start 1527549049801029595 end 1527549049800029595  Run 351364, LB 67, lumi 1.85
Event Veto ['MiniNoiseBurst'], Mon May 28 23:10:58 2018 UTC-Mon May 28 23:10:58 2018 UTC (0.001 )  Time stamp start 1527549058789661345 end 1527549058788661220  Run 351364, LB 68, lumi 15.69
Event Veto ['MiniNoiseBurst'], Mon May 28 23:11:27 2018 UTC-Mon May 28 23:11:27 2018 UTC (0.001 )  Time stamp start 1527549087281596530 end 1527549087280596530  Run 351364, LB 68, lumi 15.69
Event Veto ['MiniNoiseBurst'], Mon May 28 23:12:48 2018 UTC-Mon May 28 23:12:48 2018 UTC (0.001 )  Time stamp start 1527549168023910360 end 1527549168022910240  Run 351364, LB 69, lumi 14.49
Event Veto ['MiniNoiseBurst'], Mon May 28 23:13:03 2018 UTC-Mon May 28 23:13:03 2018 UTC (0.001 )  Time stamp start 1527549183456554360 end 1527549183455554235  Run 351364, LB 70, lumi 18.20
Event Veto ['MiniNoiseBurst'], Mon May 28 23:13:19 2018 UTC-Mon May 28 23:13:19 2018 UTC (0.001 )  Time stamp start 1527549199091411400 end 1527549199090411275  Run 351364, LB 70, lumi 18.20
Event Veto ['MiniNoiseBurst'], Mon May 28 23:13:35 2018 UTC-Mon May 28 23:13:35 2018 UTC (0.001 )  Time stamp start 1527549215078550075 end 1527549215077549950  Run 351364, LB 70, lumi 18.20
Event Veto ['MiniNoiseBurst'], Mon May 28 23:14:36 2018 UTC-Mon May 28 23:14:36 2018 UTC (0.001 )  Time stamp start 1527549276567443175 end 1527549276566443175  Run 351364, LB 71, lumi 19.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:14:37 2018 UTC-Mon May 28 23:14:37 2018 UTC (0.001 )  Time stamp start 1527549277624451050 end 1527549277623451050  Run 351364, LB 71, lumi 19.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:14:46 2018 UTC-Mon May 28 23:14:46 2018 UTC (0.001 )  Time stamp start 1527549286542502300 end 1527549286541502300  Run 351364, LB 71, lumi 19.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:14:49 2018 UTC-Mon May 28 23:14:49 2018 UTC (0.001 )  Time stamp start 1527549289136264530 end 1527549289135264530  Run 351364, LB 71, lumi 19.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:14:57 2018 UTC-Mon May 28 23:14:57 2018 UTC (0.001 )  Time stamp start 1527549297277484745 end 1527549297276484745  Run 351364, LB 71, lumi 19.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:15:02 2018 UTC-Mon May 28 23:15:02 2018 UTC (0.001 )  Time stamp start 1527549302713078685 end 1527549302712078560  Run 351364, LB 72, lumi 19.05
Event Veto ['MiniNoiseBurst'], Mon May 28 23:15:59 2018 UTC-Mon May 28 23:15:59 2018 UTC (0.001 )  Time stamp start 1527549359314130405 end 1527549359313130285  Run 351364, LB 74, lumi 19.03
Event Veto ['MiniNoiseBurst'], Mon May 28 23:16:09 2018 UTC-Mon May 28 23:16:09 2018 UTC (0.001 )  Time stamp start 1527549369481417665 end 1527549369480417540  Run 351364, LB 74, lumi 19.03
