Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351455 to 351455
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351455 to run 351455  lasting from Wed May 30 08:07:58 2018 UTC to Wed May 30 18:18:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May 30 08:53:21 2018 UTC-Wed May 30 08:53:21 2018 UTC (0.001 )  Time stamp start 1527670401513351170 end 1527670401512351170  Run 351455, LB 52, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May 30 08:58:31 2018 UTC-Wed May 30 08:58:31 2018 UTC (0.001 )  Time stamp start 1527670711224485330 end 1527670711223485330  Run 351455, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May 30 09:00:25 2018 UTC-Wed May 30 09:00:25 2018 UTC (0.001 )  Time stamp start 1527670825224418260 end 1527670825223418260  Run 351455, LB 59, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed May 30 09:09:33 2018 UTC-Wed May 30 09:09:33 2018 UTC (0.001 )  Time stamp start 1527671373698773205 end 1527671373697773205  Run 351455, LB 68, lumi 8.93
Event Veto ['MiniNoiseBurst'], Wed May 30 09:11:38 2018 UTC-Wed May 30 09:11:38 2018 UTC (0.001 )  Time stamp start 1527671498411766560 end 1527671498410766560  Run 351455, LB 70, lumi 14.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:11:54 2018 UTC-Wed May 30 09:11:54 2018 UTC (0.001 )  Time stamp start 1527671514007382215 end 1527671514006382215  Run 351455, LB 70, lumi 14.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:11:55 2018 UTC-Wed May 30 09:11:55 2018 UTC (0.001 )  Time stamp start 1527671515867498990 end 1527671515866498990  Run 351455, LB 70, lumi 14.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:12:22 2018 UTC-Wed May 30 09:12:22 2018 UTC (0.001 )  Time stamp start 1527671542555865940 end 1527671542554865940  Run 351455, LB 71, lumi 14.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:12:54 2018 UTC-Wed May 30 09:12:54 2018 UTC (0.001 )  Time stamp start 1527671574530571535 end 1527671574529571535  Run 351455, LB 71, lumi 14.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:10 2018 UTC-Wed May 30 09:13:10 2018 UTC (0.001 )  Time stamp start 1527671590637070855 end 1527671590636070855  Run 351455, LB 71, lumi 14.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:13 2018 UTC-Wed May 30 09:13:13 2018 UTC (0.001 )  Time stamp start 1527671593913454145 end 1527671593912454145  Run 351455, LB 71, lumi 14.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:16 2018 UTC-Wed May 30 09:13:16 2018 UTC (0.001 )  Time stamp start 1527671596593634720 end 1527671596592634720  Run 351455, LB 71, lumi 14.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:25 2018 UTC-Wed May 30 09:13:25 2018 UTC (0.001 )  Time stamp start 1527671605526729225 end 1527671605525729225  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:27 2018 UTC-Wed May 30 09:13:27 2018 UTC (0.001 )  Time stamp start 1527671607594397430 end 1527671607593397430  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:35 2018 UTC-Wed May 30 09:13:35 2018 UTC (0.001 )  Time stamp start 1527671615198783780 end 1527671615197783780  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:40 2018 UTC-Wed May 30 09:13:40 2018 UTC (0.001 )  Time stamp start 1527671620992186975 end 1527671620991186975  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:13:47 2018 UTC-Wed May 30 09:13:47 2018 UTC (0.001 )  Time stamp start 1527671627226052090 end 1527671627225052090  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:14:11 2018 UTC-Wed May 30 09:14:11 2018 UTC (0.001 )  Time stamp start 1527671651653459705 end 1527671651652459705  Run 351455, LB 72, lumi 18.81
Event Veto ['MiniNoiseBurst'], Wed May 30 09:14:19 2018 UTC-Wed May 30 09:14:19 2018 UTC (0.001 )  Time stamp start 1527671659213235575 end 1527671659212235575  Run 351455, LB 73, lumi 18.46
Event Veto ['MiniNoiseBurst'], Wed May 30 09:14:27 2018 UTC-Wed May 30 09:14:27 2018 UTC (0.001 )  Time stamp start 1527671667922576240 end 1527671667921576240  Run 351455, LB 73, lumi 18.46
Event Veto ['MiniNoiseBurst'], Wed May 30 09:14:51 2018 UTC-Wed May 30 09:14:51 2018 UTC (0.001 )  Time stamp start 1527671691781777335 end 1527671691780777335  Run 351455, LB 74, lumi 17.68
Event Veto ['MiniNoiseBurst'], Wed May 30 09:14:59 2018 UTC-Wed May 30 09:14:59 2018 UTC (0.001 )  Time stamp start 1527671699473733320 end 1527671699472733320  Run 351455, LB 74, lumi 17.68
Event Veto ['MiniNoiseBurst'], Wed May 30 09:15:08 2018 UTC-Wed May 30 09:15:08 2018 UTC (0.001 )  Time stamp start 1527671708064014965 end 1527671708063014965  Run 351455, LB 74, lumi 17.68
Event Veto ['NoiseBurst'], Wed May 30 09:16:05 2018 UTC-Wed May 30 09:16:05 2018 UTC (0.001 )  Time stamp start 1527671765763870690 end 1527671765762595585  Run 351455, LB 75, lumi 23.12
Event Veto ['MiniNoiseBurst'], Wed May 30 09:16:19 2018 UTC-Wed May 30 09:16:19 2018 UTC (0.001 )  Time stamp start 1527671779380726855 end 1527671779379726855  Run 351455, LB 75, lumi 18.13
Event Veto ['MiniNoiseBurst'], Wed May 30 09:16:25 2018 UTC-Wed May 30 09:16:25 2018 UTC (0.002 )  Time stamp start 1527671785925447300 end 1527671785923522650  Run 351455, LB 75, lumi 34.90
Event Veto ['MiniNoiseBurst'], Wed May 30 09:16:28 2018 UTC-Wed May 30 09:16:28 2018 UTC (0.001 )  Time stamp start 1527671788562798505 end 1527671788561798505  Run 351455, LB 75, lumi 18.13
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May 30 09:16:41 2018 UTC-Wed May 30 09:16:41 2018 UTC (0.001 )  Time stamp start 1527671801242096065 end 1527671801241096065  Run 351455, LB 75, lumi 18.13
Event Veto ['NoiseBurst'], Wed May 30 09:16:42 2018 UTC-Wed May 30 09:16:42 2018 UTC (0.001 )  Time stamp start 1527671802711552745 end 1527671802710415915  Run 351455, LB 75, lumi 20.62
Event Veto ['MiniNoiseBurst'], Wed May 30 09:17:30 2018 UTC-Wed May 30 09:17:30 2018 UTC (0.001 )  Time stamp start 1527671850727093570 end 1527671850726093445  Run 351455, LB 77, lumi 18.82
Event Veto ['MiniNoiseBurst'], Wed May 30 09:17:38 2018 UTC-Wed May 30 09:17:38 2018 UTC (0.001 )  Time stamp start 1527671858685421155 end 1527671858684421155  Run 351455, LB 77, lumi 18.82
Event Veto ['MiniNoiseBurst'], Wed May 30 09:18:09 2018 UTC-Wed May 30 09:18:09 2018 UTC (0.001 )  Time stamp start 1527671889377911350 end 1527671889376911350  Run 351455, LB 78, lumi 18.79
Event Veto ['MiniNoiseBurst'], Wed May 30 09:18:23 2018 UTC-Wed May 30 09:18:23 2018 UTC (0.001 )  Time stamp start 1527671903295128715 end 1527671903294128715  Run 351455, LB 78, lumi 18.79
Event Veto ['MiniNoiseBurst'], Wed May 30 09:18:27 2018 UTC-Wed May 30 09:18:27 2018 UTC (0.001 )  Time stamp start 1527671907116468825 end 1527671907115468825  Run 351455, LB 78, lumi 18.79
Event Veto ['MiniNoiseBurst'], Wed May 30 09:18:31 2018 UTC-Wed May 30 09:18:31 2018 UTC (0.001 )  Time stamp start 1527671911830035915 end 1527671911829035915  Run 351455, LB 78, lumi 18.79
