Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:17:57 2018 UTC-Sat Jun  2 10:17:57 2018 UTC (0.001 )  Time stamp start 1527934677498244505 end 1527934677497244505  Run 351698, LB 33, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:19:28 2018 UTC-Sat Jun  2 10:19:28 2018 UTC (0.001 )  Time stamp start 1527934768033719900 end 1527934768032719900  Run 351698, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:26:39 2018 UTC-Sat Jun  2 10:26:39 2018 UTC (0.001 )  Time stamp start 1527935199939829075 end 1527935199938829075  Run 351698, LB 41, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:28:39 2018 UTC-Sat Jun  2 10:28:39 2018 UTC (0.001 )  Time stamp start 1527935319341728255 end 1527935319340728255  Run 351698, LB 43, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:33:56 2018 UTC-Sat Jun  2 10:33:56 2018 UTC (0.001 )  Time stamp start 1527935636002208805 end 1527935636001208805  Run 351698, LB 49, lumi 0.00
Event Veto ['NoiseBurst'], Sat Jun  2 10:43:37 2018 UTC-Sat Jun  2 10:43:37 2018 UTC (0.004 )  Time stamp start 1527936217048900540 end 1527936217044624255  Run 351698, LB 59, lumi 24.07
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:43:44 2018 UTC-Sat Jun  2 10:43:44 2018 UTC (0.001 )  Time stamp start 1527936224079760460 end 1527936224078760460  Run 351698, LB 59, lumi 5.63
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:43:45 2018 UTC-Sat Jun  2 10:43:45 2018 UTC (0.001 )  Time stamp start 1527936225747914775 end 1527936225746914775  Run 351698, LB 59, lumi 5.63
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:43:46 2018 UTC-Sat Jun  2 10:43:46 2018 UTC (0.001 )  Time stamp start 1527936226293116655 end 1527936226292116655  Run 351698, LB 59, lumi 5.63
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:43:48 2018 UTC-Sat Jun  2 10:43:48 2018 UTC (0.001 )  Time stamp start 1527936228094465505 end 1527936228093465505  Run 351698, LB 59, lumi 5.63
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:44:17 2018 UTC-Sat Jun  2 10:44:17 2018 UTC (0.001 )  Time stamp start 1527936257099254030 end 1527936257098254030  Run 351698, LB 59, lumi 5.63
