Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 352056 to 352056
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 352056 to run 352056  lasting from Tue Jun  5 17:29:08 2018 UTC to Wed Jun  6 05:02:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun  5 17:57:31 2018 UTC-Tue Jun  5 17:57:31 2018 UTC (0.001 )  Time stamp start 1528221451581379550 end 1528221451580379550  Run 352056, LB 32, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Jun  5 17:57:33 2018 UTC-Tue Jun  5 17:57:33 2018 UTC (0.001 )  Time stamp start 1528221453779951880 end 1528221453778951880  Run 352056, LB 32, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:04:53 2018 UTC-Tue Jun  5 18:04:53 2018 UTC (0.001 )  Time stamp start 1528221893290070540 end 1528221893289070540  Run 352056, LB 40, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:08:49 2018 UTC-Tue Jun  5 18:08:49 2018 UTC (0.001 )  Time stamp start 1528222129319843010 end 1528222129318843010  Run 352056, LB 44, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:09:59 2018 UTC-Tue Jun  5 18:09:59 2018 UTC (0.001 )  Time stamp start 1528222199297637160 end 1528222199296637160  Run 352056, LB 45, lumi 0.00
Event Veto ['NoiseBurst'], Tue Jun  5 18:10:24 2018 UTC-Tue Jun  5 18:10:24 2018 UTC (0.001 )  Time stamp start 1528222224451455990 end 1528222224450455615  Run 352056, LB 46, lumi 4.92
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:10:25 2018 UTC-Tue Jun  5 18:10:25 2018 UTC (0.001 )  Time stamp start 1528222225897976005 end 1528222225896976005  Run 352056, LB 46, lumi 4.92
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:14:34 2018 UTC-Tue Jun  5 18:14:34 2018 UTC (0.001 )  Time stamp start 1528222474012082150 end 1528222474011082150  Run 352056, LB 50, lumi 18.37
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:15:26 2018 UTC-Tue Jun  5 18:15:26 2018 UTC (0.001 )  Time stamp start 1528222526382719395 end 1528222526381719395  Run 352056, LB 52, lumi 18.22
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Jun  5 18:15:37 2018 UTC-Tue Jun  5 18:15:37 2018 UTC (0.001 )  Time stamp start 1528222537084439220 end 1528222537083439220  Run 352056, LB 52, lumi 18.22
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:16:26 2018 UTC-Tue Jun  5 18:16:26 2018 UTC (0.001 )  Time stamp start 1528222586781874945 end 1528222586780874945  Run 352056, LB 53, lumi 18.13
Event Veto ['NoiseBurst'], Tue Jun  5 18:16:47 2018 UTC-Tue Jun  5 18:16:47 2018 UTC (0.003 )  Time stamp start 1528222607208171530 end 1528222607205444315  Run 352056, LB 53, lumi 49.43
Event Veto ['NoiseBurst'], Tue Jun  5 18:16:47 2018 UTC-Tue Jun  5 18:16:47 2018 UTC (0.001 )  Time stamp start 1528222607211665030 end 1528222607210548560  Run 352056, LB 53, lumi 20.24
Event Veto ['NoiseBurst'], Tue Jun  5 18:16:47 2018 UTC-Tue Jun  5 18:16:47 2018 UTC (0.002 )  Time stamp start 1528222607322176025 end 1528222607320163870  Run 352056, LB 53, lumi 36.47
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:16:50 2018 UTC-Tue Jun  5 18:16:50 2018 UTC (0.001 )  Time stamp start 1528222610588315265 end 1528222610587315265  Run 352056, LB 54, lumi 18.05
Event Veto ['NoiseBurst'], Tue Jun  5 18:17:13 2018 UTC-Tue Jun  5 18:17:13 2018 UTC (0.001 )  Time stamp start 1528222633916459140 end 1528222633915378975  Run 352056, LB 54, lumi 19.50
Event Veto ['NoiseBurst'], Tue Jun  5 18:17:13 2018 UTC-Tue Jun  5 18:17:13 2018 UTC (0.011 )  Time stamp start 1528222633928567585 end 1528222633917786645  Run 352056, LB 54, lumi 194.62
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:18:03 2018 UTC-Tue Jun  5 18:18:03 2018 UTC (0.001 )  Time stamp start 1528222683171472545 end 1528222683170472545  Run 352056, LB 55, lumi 17.95
Event Veto ['NoiseBurst'], Tue Jun  5 18:18:26 2018 UTC-Tue Jun  5 18:18:26 2018 UTC (0.001 )  Time stamp start 1528222706765960150 end 1528222706764959400  Run 352056, LB 55, lumi 17.96
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:19:40 2018 UTC-Tue Jun  5 18:19:40 2018 UTC (0.001 )  Time stamp start 1528222780011155165 end 1528222780010155165  Run 352056, LB 56, lumi 17.88
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:19:56 2018 UTC-Tue Jun  5 18:19:56 2018 UTC (0.001 )  Time stamp start 1528222796697818155 end 1528222796696818155  Run 352056, LB 57, lumi 17.77
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:22:07 2018 UTC-Tue Jun  5 18:22:07 2018 UTC (0.001 )  Time stamp start 1528222927373926740 end 1528222927372926740  Run 352056, LB 59, lumi 17.59
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:22:26 2018 UTC-Tue Jun  5 18:22:26 2018 UTC (0.001 )  Time stamp start 1528222946045658755 end 1528222946044658755  Run 352056, LB 59, lumi 17.59
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:22:40 2018 UTC-Tue Jun  5 18:22:40 2018 UTC (0.001 )  Time stamp start 1528222960070387210 end 1528222960069387210  Run 352056, LB 59, lumi 17.59
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:22:57 2018 UTC-Tue Jun  5 18:22:57 2018 UTC (0.001 )  Time stamp start 1528222977933970515 end 1528222977932970515  Run 352056, LB 60, lumi 17.54
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:23:00 2018 UTC-Tue Jun  5 18:23:00 2018 UTC (0.001 )  Time stamp start 1528222980307577370 end 1528222980306577370  Run 352056, LB 60, lumi 17.54
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:23:34 2018 UTC-Tue Jun  5 18:23:34 2018 UTC (0.001 )  Time stamp start 1528223014079655810 end 1528223014078655810  Run 352056, LB 60, lumi 17.54
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:24:02 2018 UTC-Tue Jun  5 18:24:02 2018 UTC (0.001 )  Time stamp start 1528223042941270545 end 1528223042940095045  Run 352056, LB 61, lumi 20.54
Event Veto ['NoiseBurst'], Tue Jun  5 18:24:49 2018 UTC-Tue Jun  5 18:24:49 2018 UTC (0.002 )  Time stamp start 1528223089024891335 end 1528223089022423610  Run 352056, LB 63, lumi 43.33
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:24:53 2018 UTC-Tue Jun  5 18:24:53 2018 UTC (0.001 )  Time stamp start 1528223093480727165 end 1528223093479727165  Run 352056, LB 63, lumi 17.56
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:25:54 2018 UTC-Tue Jun  5 18:25:54 2018 UTC (0.001 )  Time stamp start 1528223154624197935 end 1528223154623197935  Run 352056, LB 64, lumi 17.48
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:26:43 2018 UTC-Tue Jun  5 18:26:43 2018 UTC (0.001 )  Time stamp start 1528223203684614290 end 1528223203683614290  Run 352056, LB 65, lumi 17.38
Event Veto ['NoiseBurst'], Tue Jun  5 18:27:23 2018 UTC-Tue Jun  5 18:27:23 2018 UTC (0.001 )  Time stamp start 1528223243165999715 end 1528223243164999215  Run 352056, LB 66, lumi 17.37
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:27:50 2018 UTC-Tue Jun  5 18:27:50 2018 UTC (0.001 )  Time stamp start 1528223270425358235 end 1528223270424358235  Run 352056, LB 66, lumi 17.36
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:28:55 2018 UTC-Tue Jun  5 18:28:55 2018 UTC (0.001 )  Time stamp start 1528223335175123575 end 1528223335174123575  Run 352056, LB 67, lumi 17.24
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:03 2018 UTC-Tue Jun  5 18:29:03 2018 UTC (0.001 )  Time stamp start 1528223343108334770 end 1528223343107334770  Run 352056, LB 67, lumi 17.24
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:28 2018 UTC-Tue Jun  5 18:29:28 2018 UTC (0.002 )  Time stamp start 1528223368319223005 end 1528223368317587810  Run 352056, LB 68, lumi 28.23
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:35 2018 UTC-Tue Jun  5 18:29:35 2018 UTC (0.001 )  Time stamp start 1528223375906487610 end 1528223375905487610  Run 352056, LB 68, lumi 17.26
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:42 2018 UTC-Tue Jun  5 18:29:42 2018 UTC (0.001 )  Time stamp start 1528223382221357845 end 1528223382220357845  Run 352056, LB 68, lumi 17.26
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:45 2018 UTC-Tue Jun  5 18:29:45 2018 UTC (0.001 )  Time stamp start 1528223385466687295 end 1528223385465687295  Run 352056, LB 68, lumi 17.26
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:29:51 2018 UTC-Tue Jun  5 18:29:51 2018 UTC (0.001 )  Time stamp start 1528223391518154575 end 1528223391517154575  Run 352056, LB 68, lumi 17.26
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:30:02 2018 UTC-Tue Jun  5 18:30:02 2018 UTC (0.001 )  Time stamp start 1528223402916451255 end 1528223402915451255  Run 352056, LB 68, lumi 17.26
Event Veto ['NoiseBurst'], Tue Jun  5 18:30:26 2018 UTC-Tue Jun  5 18:30:26 2018 UTC (0.001 )  Time stamp start 1528223426897548030 end 1528223426896547905  Run 352056, LB 69, lumi 17.11
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:30:46 2018 UTC-Tue Jun  5 18:30:46 2018 UTC (0.001 )  Time stamp start 1528223446504237065 end 1528223446503237065  Run 352056, LB 69, lumi 17.11
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:31:01 2018 UTC-Tue Jun  5 18:31:01 2018 UTC (0.001 )  Time stamp start 1528223461992486070 end 1528223461991486070  Run 352056, LB 69, lumi 17.11
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:31:16 2018 UTC-Tue Jun  5 18:31:16 2018 UTC (0.001 )  Time stamp start 1528223476937796055 end 1528223476936796055  Run 352056, LB 69, lumi 17.11
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:32:41 2018 UTC-Tue Jun  5 18:32:41 2018 UTC (0.001 )  Time stamp start 1528223561346883585 end 1528223561345883585  Run 352056, LB 71, lumi 16.95
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:32:51 2018 UTC-Tue Jun  5 18:32:51 2018 UTC (0.001 )  Time stamp start 1528223571639666420 end 1528223571638666420  Run 352056, LB 71, lumi 16.95
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:33:52 2018 UTC-Tue Jun  5 18:33:52 2018 UTC (0.001 )  Time stamp start 1528223632469755890 end 1528223632468755890  Run 352056, LB 73, lumi 16.77
Event Veto ['NoiseBurst'], Tue Jun  5 18:34:07 2018 UTC-Tue Jun  5 18:34:07 2018 UTC (0.001 )  Time stamp start 1528223647635443425 end 1528223647634443300  Run 352056, LB 73, lumi 16.77
Event Veto ['NoiseBurst'], Tue Jun  5 18:34:25 2018 UTC-Tue Jun  5 18:34:25 2018 UTC (0.001 )  Time stamp start 1528223665535955185 end 1528223665534954310  Run 352056, LB 73, lumi 16.78
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:34:34 2018 UTC-Tue Jun  5 18:34:34 2018 UTC (0.001 )  Time stamp start 1528223674499211670 end 1528223674498211670  Run 352056, LB 73, lumi 16.77
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:34:50 2018 UTC-Tue Jun  5 18:34:50 2018 UTC (0.001 )  Time stamp start 1528223690910590300 end 1528223690909590300  Run 352056, LB 74, lumi 16.74
