Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 352274 to 352274
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 352274 to run 352274  lasting from Fri Jun  8 06:38:19 2018 UTC to Fri Jun  8 09:07:33 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri Jun  8 06:48:22 2018 UTC-Fri Jun  8 06:48:22 2018 UTC (0.001 )  Time stamp start 1528440502436733600 end 1528440502435733600  Run 352274, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jun  8 06:57:55 2018 UTC-Fri Jun  8 06:57:55 2018 UTC (0.001 )  Time stamp start 1528441075476015930 end 1528441075475015930  Run 352274, LB 23, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jun  8 06:59:58 2018 UTC-Fri Jun  8 06:59:58 2018 UTC (0.001 )  Time stamp start 1528441198814894845 end 1528441198813894845  Run 352274, LB 25, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:00:26 2018 UTC-Fri Jun  8 07:00:26 2018 UTC (0.001 )  Time stamp start 1528441226303648930 end 1528441226302648930  Run 352274, LB 26, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:01:46 2018 UTC-Fri Jun  8 07:01:46 2018 UTC (0.001 )  Time stamp start 1528441306300096590 end 1528441306299096590  Run 352274, LB 27, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:02:53 2018 UTC-Fri Jun  8 07:02:53 2018 UTC (0.001 )  Time stamp start 1528441373378583420 end 1528441373377553205  Run 352274, LB 28, lumi 0.96
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:02:53 2018 UTC-Fri Jun  8 07:02:53 2018 UTC (0.001 )  Time stamp start 1528441373825072535 end 1528441373823825895  Run 352274, LB 28, lumi 1.16
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:02:54 2018 UTC-Fri Jun  8 07:02:54 2018 UTC (0.001 )  Time stamp start 1528441374158768790 end 1528441374157768790  Run 352274, LB 28, lumi 0.93
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:02:57 2018 UTC-Fri Jun  8 07:02:57 2018 UTC (0.001 )  Time stamp start 1528441377257366490 end 1528441377256366490  Run 352274, LB 28, lumi 0.93
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:01 2018 UTC-Fri Jun  8 07:03:01 2018 UTC (0.001 )  Time stamp start 1528441381815810520 end 1528441381814810520  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:03 2018 UTC-Fri Jun  8 07:03:03 2018 UTC (0.001 )  Time stamp start 1528441383371783545 end 1528441383370783545  Run 352274, LB 29, lumi 18.23
Event Veto ['NoiseBurst'], Fri Jun  8 07:03:06 2018 UTC-Fri Jun  8 07:03:06 2018 UTC (0.001 )  Time stamp start 1528441386207059100 end 1528441386206058475  Run 352274, LB 29, lumi 18.24
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:17 2018 UTC-Fri Jun  8 07:03:17 2018 UTC (0.001 )  Time stamp start 1528441397350563560 end 1528441397349563435  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:27 2018 UTC-Fri Jun  8 07:03:27 2018 UTC (0.001 )  Time stamp start 1528441407531851890 end 1528441407530851890  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:37 2018 UTC-Fri Jun  8 07:03:37 2018 UTC (0.001 )  Time stamp start 1528441417072587570 end 1528441417071587450  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:38 2018 UTC-Fri Jun  8 07:03:38 2018 UTC (0.001 )  Time stamp start 1528441418767647170 end 1528441418766647170  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:03:56 2018 UTC-Fri Jun  8 07:03:56 2018 UTC (0.001 )  Time stamp start 1528441436721304340 end 1528441436720304215  Run 352274, LB 29, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:06 2018 UTC-Fri Jun  8 07:04:06 2018 UTC (0.001 )  Time stamp start 1528441446506902285 end 1528441446505902160  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:13 2018 UTC-Fri Jun  8 07:04:13 2018 UTC (0.001 )  Time stamp start 1528441453861869380 end 1528441453860869255  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:22 2018 UTC-Fri Jun  8 07:04:22 2018 UTC (0.001 )  Time stamp start 1528441462407233660 end 1528441462406233660  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:25 2018 UTC-Fri Jun  8 07:04:25 2018 UTC (0.001 )  Time stamp start 1528441465143230200 end 1528441465142230075  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:36 2018 UTC-Fri Jun  8 07:04:36 2018 UTC (0.001 )  Time stamp start 1528441476326213195 end 1528441476325213070  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:45 2018 UTC-Fri Jun  8 07:04:45 2018 UTC (0.001 )  Time stamp start 1528441485605689660 end 1528441485604689660  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:04:56 2018 UTC-Fri Jun  8 07:04:56 2018 UTC (0.001 )  Time stamp start 1528441496415480605 end 1528441496414480605  Run 352274, LB 30, lumi 18.13
Event Veto ['NoiseBurst'], Fri Jun  8 07:05:00 2018 UTC-Fri Jun  8 07:05:00 2018 UTC (0.001 )  Time stamp start 1528441500152331540 end 1528441500151331170  Run 352274, LB 30, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:04 2018 UTC-Fri Jun  8 07:05:04 2018 UTC (0.001 )  Time stamp start 1528441504032688480 end 1528441504031688355  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:23 2018 UTC-Fri Jun  8 07:05:23 2018 UTC (0.001 )  Time stamp start 1528441523521121400 end 1528441523520121400  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:34 2018 UTC-Fri Jun  8 07:05:34 2018 UTC (0.001 )  Time stamp start 1528441534050749120 end 1528441534049748995  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:42 2018 UTC-Fri Jun  8 07:05:42 2018 UTC (0.001 )  Time stamp start 1528441542783857810 end 1528441542782857685  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:46 2018 UTC-Fri Jun  8 07:05:46 2018 UTC (0.001 )  Time stamp start 1528441546153059705 end 1528441546152059705  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:05:50 2018 UTC-Fri Jun  8 07:05:50 2018 UTC (0.001 )  Time stamp start 1528441550572998685 end 1528441550571998560  Run 352274, LB 31, lumi 17.32
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:06:09 2018 UTC-Fri Jun  8 07:06:09 2018 UTC (0.001 )  Time stamp start 1528441569041068620 end 1528441569040068495  Run 352274, LB 32, lumi 15.99
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:06:16 2018 UTC-Fri Jun  8 07:06:16 2018 UTC (0.001 )  Time stamp start 1528441576132429110 end 1528441576131429110  Run 352274, LB 33, lumi 17.96
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:06:20 2018 UTC-Fri Jun  8 07:06:20 2018 UTC (0.001 )  Time stamp start 1528441580846116440 end 1528441580845116315  Run 352274, LB 33, lumi 17.97
Event Veto ['NoiseBurst'], Fri Jun  8 07:06:38 2018 UTC-Fri Jun  8 07:06:38 2018 UTC (0.001 )  Time stamp start 1528441598868966405 end 1528441598867965430  Run 352274, LB 33, lumi 17.98
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:06:42 2018 UTC-Fri Jun  8 07:06:42 2018 UTC (0.001 )  Time stamp start 1528441602297594870 end 1528441602296594870  Run 352274, LB 33, lumi 17.96
Event Veto ['NoiseBurst'], Fri Jun  8 07:06:45 2018 UTC-Fri Jun  8 07:06:45 2018 UTC (0.001 )  Time stamp start 1528441605776185220 end 1528441605775184320  Run 352274, LB 33, lumi 17.98
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:06:50 2018 UTC-Fri Jun  8 07:06:50 2018 UTC (0.001 )  Time stamp start 1528441610034802575 end 1528441610033802455  Run 352274, LB 33, lumi 17.97
Event Veto ['NoiseBurst'], Fri Jun  8 07:07:00 2018 UTC-Fri Jun  8 07:07:00 2018 UTC (0.001 )  Time stamp start 1528441620815826215 end 1528441620814825745  Run 352274, LB 33, lumi 17.97
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:07:00 2018 UTC-Fri Jun  8 07:07:00 2018 UTC (0.001 )  Time stamp start 1528441620987910745 end 1528441620986910620  Run 352274, LB 33, lumi 17.97
Event Veto ['NoiseBurst'], Fri Jun  8 07:07:30 2018 UTC-Fri Jun  8 07:07:30 2018 UTC (0.001 )  Time stamp start 1528441650561678785 end 1528441650560319365  Run 352274, LB 34, lumi 26.64
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:07:32 2018 UTC-Fri Jun  8 07:07:32 2018 UTC (0.001 )  Time stamp start 1528441652155828360 end 1528441652154828235  Run 352274, LB 34, lumi 19.60
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:07:38 2018 UTC-Fri Jun  8 07:07:38 2018 UTC (0.001 )  Time stamp start 1528441658439511005 end 1528441658438511005  Run 352274, LB 34, lumi 19.60
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:07:42 2018 UTC-Fri Jun  8 07:07:42 2018 UTC (0.001 )  Time stamp start 1528441662492669330 end 1528441662491669205  Run 352274, LB 34, lumi 19.60
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:07:51 2018 UTC-Fri Jun  8 07:07:51 2018 UTC (0.001 )  Time stamp start 1528441671029811390 end 1528441671028811390  Run 352274, LB 34, lumi 19.60
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:08:08 2018 UTC-Fri Jun  8 07:08:08 2018 UTC (0.001 )  Time stamp start 1528441688437878375 end 1528441688436878255  Run 352274, LB 34, lumi 19.60
Event Veto ['NoiseBurst'], Fri Jun  8 07:08:51 2018 UTC-Fri Jun  8 07:08:51 2018 UTC (0.004 )  Time stamp start 1528441731234546855 end 1528441731230264935  Run 352274, LB 36, lumi 83.53
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:07 2018 UTC-Fri Jun  8 07:09:07 2018 UTC (0.001 )  Time stamp start 1528441747373048505 end 1528441747372048385  Run 352274, LB 36, lumi 19.51
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:14 2018 UTC-Fri Jun  8 07:09:14 2018 UTC (0.001 )  Time stamp start 1528441754288953600 end 1528441754287953475  Run 352274, LB 36, lumi 19.51
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:26 2018 UTC-Fri Jun  8 07:09:26 2018 UTC (0.001 )  Time stamp start 1528441766486380190 end 1528441766485380070  Run 352274, LB 36, lumi 19.51
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:35 2018 UTC-Fri Jun  8 07:09:35 2018 UTC (0.001 )  Time stamp start 1528441775089297645 end 1528441775088297520  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:43 2018 UTC-Fri Jun  8 07:09:43 2018 UTC (0.001 )  Time stamp start 1528441783547308015 end 1528441783546307890  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:09:51 2018 UTC-Fri Jun  8 07:09:51 2018 UTC (0.001 )  Time stamp start 1528441791279612205 end 1528441791278612080  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:00 2018 UTC-Fri Jun  8 07:10:00 2018 UTC (0.001 )  Time stamp start 1528441800097930535 end 1528441800096930410  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:08 2018 UTC-Fri Jun  8 07:10:08 2018 UTC (0.001 )  Time stamp start 1528441808665832970 end 1528441808664832845  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:09 2018 UTC-Fri Jun  8 07:10:09 2018 UTC (0.001 )  Time stamp start 1528441809890517785 end 1528441809889517785  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:17 2018 UTC-Fri Jun  8 07:10:17 2018 UTC (0.001 )  Time stamp start 1528441817737473865 end 1528441817736473740  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:27 2018 UTC-Fri Jun  8 07:10:27 2018 UTC (0.001 )  Time stamp start 1528441827789789555 end 1528441827788789555  Run 352274, LB 37, lumi 19.45
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:36 2018 UTC-Fri Jun  8 07:10:36 2018 UTC (0.001 )  Time stamp start 1528441836124192165 end 1528441836123192040  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:43 2018 UTC-Fri Jun  8 07:10:43 2018 UTC (0.001 )  Time stamp start 1528441843524352185 end 1528441843523352060  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:51 2018 UTC-Fri Jun  8 07:10:51 2018 UTC (0.001 )  Time stamp start 1528441851285660235 end 1528441851284660235  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:51 2018 UTC-Fri Jun  8 07:10:51 2018 UTC (0.001 )  Time stamp start 1528441851832827010 end 1528441851831827010  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:52 2018 UTC-Fri Jun  8 07:10:52 2018 UTC (0.001 )  Time stamp start 1528441852988119650 end 1528441852987119525  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:10:59 2018 UTC-Fri Jun  8 07:10:59 2018 UTC (0.001 )  Time stamp start 1528441859434377095 end 1528441859433377095  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:10 2018 UTC-Fri Jun  8 07:11:10 2018 UTC (0.001 )  Time stamp start 1528441870998266815 end 1528441870997266690  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:20 2018 UTC-Fri Jun  8 07:11:20 2018 UTC (0.001 )  Time stamp start 1528441880731791745 end 1528441880730791620  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:31 2018 UTC-Fri Jun  8 07:11:31 2018 UTC (0.001 )  Time stamp start 1528441891352042400 end 1528441891351042275  Run 352274, LB 38, lumi 19.40
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:39 2018 UTC-Fri Jun  8 07:11:39 2018 UTC (0.001 )  Time stamp start 1528441899143576950 end 1528441899142576950  Run 352274, LB 39, lumi 19.27
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:39 2018 UTC-Fri Jun  8 07:11:39 2018 UTC (0.001 )  Time stamp start 1528441899600021465 end 1528441899598781485  Run 352274, LB 39, lumi 23.90
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:50 2018 UTC-Fri Jun  8 07:11:50 2018 UTC (0.001 )  Time stamp start 1528441910043396750 end 1528441910042396625  Run 352274, LB 39, lumi 19.28
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:11:58 2018 UTC-Fri Jun  8 07:11:58 2018 UTC (0.001 )  Time stamp start 1528441918136517775 end 1528441918135517650  Run 352274, LB 39, lumi 19.28
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:12:21 2018 UTC-Fri Jun  8 07:12:21 2018 UTC (0.001 )  Time stamp start 1528441941138233375 end 1528441941137233250  Run 352274, LB 39, lumi 19.28
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:12:36 2018 UTC-Fri Jun  8 07:12:36 2018 UTC (0.001 )  Time stamp start 1528441956326049730 end 1528441956325049605  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:12:42 2018 UTC-Fri Jun  8 07:12:42 2018 UTC (0.001 )  Time stamp start 1528441962713797095 end 1528441962712796970  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:01 2018 UTC-Fri Jun  8 07:13:01 2018 UTC (0.001 )  Time stamp start 1528441981473780000 end 1528441981472779875  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:07 2018 UTC-Fri Jun  8 07:13:07 2018 UTC (0.001 )  Time stamp start 1528441987654595490 end 1528441987653595365  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:18 2018 UTC-Fri Jun  8 07:13:18 2018 UTC (0.001 )  Time stamp start 1528441998679415195 end 1528441998678415070  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:31 2018 UTC-Fri Jun  8 07:13:31 2018 UTC (0.001 )  Time stamp start 1528442011567100875 end 1528442011566100750  Run 352274, LB 40, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:40 2018 UTC-Fri Jun  8 07:13:40 2018 UTC (0.001 )  Time stamp start 1528442020970072145 end 1528442020969072020  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:46 2018 UTC-Fri Jun  8 07:13:46 2018 UTC (0.001 )  Time stamp start 1528442026357735565 end 1528442026356735565  Run 352274, LB 41, lumi 19.19
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:48 2018 UTC-Fri Jun  8 07:13:48 2018 UTC (0.001 )  Time stamp start 1528442028576513975 end 1528442028575513850  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:13:56 2018 UTC-Fri Jun  8 07:13:56 2018 UTC (0.001 )  Time stamp start 1528442036960741365 end 1528442036959741240  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:05 2018 UTC-Fri Jun  8 07:14:05 2018 UTC (0.001 )  Time stamp start 1528442045926056380 end 1528442045925056255  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:14 2018 UTC-Fri Jun  8 07:14:14 2018 UTC (0.001 )  Time stamp start 1528442054448208635 end 1528442054447208510  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:23 2018 UTC-Fri Jun  8 07:14:23 2018 UTC (0.001 )  Time stamp start 1528442063665573700 end 1528442063664573575  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:31 2018 UTC-Fri Jun  8 07:14:31 2018 UTC (0.001 )  Time stamp start 1528442071102089120 end 1528442071101088995  Run 352274, LB 41, lumi 19.20
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:39 2018 UTC-Fri Jun  8 07:14:39 2018 UTC (0.001 )  Time stamp start 1528442079395870825 end 1528442079394870700  Run 352274, LB 42, lumi 19.11
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:48 2018 UTC-Fri Jun  8 07:14:48 2018 UTC (0.001 )  Time stamp start 1528442088457239975 end 1528442088456239975  Run 352274, LB 42, lumi 19.11
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:51 2018 UTC-Fri Jun  8 07:14:51 2018 UTC (0.001 )  Time stamp start 1528442091530368885 end 1528442091529368885  Run 352274, LB 42, lumi 19.11
Event Veto ['MiniNoiseBurst'], Fri Jun  8 07:14:53 2018 UTC-Fri Jun  8 07:14:53 2018 UTC (0.001 )  Time stamp start 1528442093803442525 end 1528442093802442400  Run 352274, LB 42, lumi 19.11
