Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355544 to 355544
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355544 to run 355544  lasting from Sat Jul 14 16:53:57 2018 UTC to Sun Jul 15 04:35:14 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:09:59 2018 UTC-Sat Jul 14 18:09:59 2018 UTC (0.001 )  Time stamp start 1531591799979564335 end 1531591799978563885  Run 355544, LB 78, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:33:57 2018 UTC-Sat Jul 14 18:33:57 2018 UTC (0.001 )  Time stamp start 1531593237005354070 end 1531593237004354070  Run 355544, LB 105, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:36:23 2018 UTC-Sat Jul 14 18:36:23 2018 UTC (0.001 )  Time stamp start 1531593383800035805 end 1531593383799035805  Run 355544, LB 108, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:37:37 2018 UTC-Sat Jul 14 18:37:37 2018 UTC (0.001 )  Time stamp start 1531593457480365475 end 1531593457479365475  Run 355544, LB 109, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:45:22 2018 UTC-Sat Jul 14 18:45:22 2018 UTC (0.001 )  Time stamp start 1531593922422053760 end 1531593922421053760  Run 355544, LB 117, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:51:05 2018 UTC-Sat Jul 14 18:51:05 2018 UTC (0.001 )  Time stamp start 1531594265924964535 end 1531594265923964535  Run 355544, LB 124, lumi 18.39
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:54:04 2018 UTC-Sat Jul 14 18:54:04 2018 UTC (0.001 )  Time stamp start 1531594444862548885 end 1531594444861548885  Run 355544, LB 132, lumi 18.07
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:54:12 2018 UTC-Sat Jul 14 18:54:12 2018 UTC (0.002 )  Time stamp start 1531594452884841370 end 1531594452883015800  Run 355544, LB 132, lumi 32.98
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:54:54 2018 UTC-Sat Jul 14 18:54:54 2018 UTC (0.001 )  Time stamp start 1531594494124545690 end 1531594494123545690  Run 355544, LB 132, lumi 18.07
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:55:03 2018 UTC-Sat Jul 14 18:55:03 2018 UTC (0.001 )  Time stamp start 1531594503623876865 end 1531594503622876865  Run 355544, LB 133, lumi 18.04
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:55:33 2018 UTC-Sat Jul 14 18:55:33 2018 UTC (0.001 )  Time stamp start 1531594533521298740 end 1531594533520298740  Run 355544, LB 133, lumi 18.04
