Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357409 to 357409
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357409 to run 357409  lasting from Thu Aug  2 21:25:56 2018 UTC to Fri Aug  3 20:38:29 2018 UTC
Event Veto ['DataCorruption'], Thu Aug  2 21:27:29 2018 UTC-Thu Aug  2 21:27:30 2018 UTC (0.522 )  Time stamp start 1533245250265170330 end 1533245249742675795  Run 357409, LB 3, lumi 0.07
Event Veto ['NoiseBurst'], Fri Aug  3 07:21:00 2018 UTC-Fri Aug  3 07:21:00 2018 UTC (0.001 )  Time stamp start 1533280860073299165 end 1533280860072298645  Run 357409, LB 600, lumi 8.34
Event Veto ['NoiseBurst'], Fri Aug  3 07:22:48 2018 UTC-Fri Aug  3 07:22:48 2018 UTC (0.001 )  Time stamp start 1533280968130225685 end 1533280968129224660  Run 357409, LB 602, lumi 15.99
Event Veto ['NoiseBurst'], Fri Aug  3 07:22:54 2018 UTC-Fri Aug  3 07:22:54 2018 UTC (0.001 )  Time stamp start 1533280974789767640 end 1533280974788612170  Run 357409, LB 602, lumi 18.46
Event Veto ['NoiseBurst'], Fri Aug  3 07:23:15 2018 UTC-Fri Aug  3 07:23:15 2018 UTC (0.001 )  Time stamp start 1533280995866785595 end 1533280995865785345  Run 357409, LB 602, lumi 15.98
Event Veto ['NoiseBurst'], Fri Aug  3 07:23:18 2018 UTC-Fri Aug  3 07:23:18 2018 UTC (0.001 )  Time stamp start 1533280998975369585 end 1533280998974369335  Run 357409, LB 602, lumi 15.98
Event Veto ['NoiseBurst'], Fri Aug  3 07:28:01 2018 UTC-Fri Aug  3 07:28:01 2018 UTC (0.001 )  Time stamp start 1533281281383283020 end 1533281281382206595  Run 357409, LB 607, lumi 18.08
Event Veto ['NoiseBurst'], Fri Aug  3 07:28:06 2018 UTC-Fri Aug  3 07:28:06 2018 UTC (0.001 )  Time stamp start 1533281286635044930 end 1533281286634043785  Run 357409, LB 607, lumi 16.82
Event Veto ['NoiseBurst'], Fri Aug  3 07:28:17 2018 UTC-Fri Aug  3 07:28:17 2018 UTC (0.001 )  Time stamp start 1533281297263232035 end 1533281297262231035  Run 357409, LB 607, lumi 16.81
Event Veto ['NoiseBurst'], Fri Aug  3 07:32:58 2018 UTC-Fri Aug  3 07:32:58 2018 UTC (0.001 )  Time stamp start 1533281578644171100 end 1533281578643170105  Run 357409, LB 613, lumi 16.58
Event Veto ['MiniNoiseBurst'], Fri Aug  3 07:37:26 2018 UTC-Fri Aug  3 07:37:26 2018 UTC (0.001 )  Time stamp start 1533281846295574065 end 1533281846294574065  Run 357409, LB 618, lumi 16.44
Event Veto ['NoiseBurst'], Fri Aug  3 07:45:41 2018 UTC-Fri Aug  3 07:45:41 2018 UTC (0.001 )  Time stamp start 1533282341773143860 end 1533282341772143035  Run 357409, LB 658, lumi 15.87
Event Veto ['NoiseBurst'], Fri Aug  3 07:45:47 2018 UTC-Fri Aug  3 07:45:47 2018 UTC (0.001 )  Time stamp start 1533282347576528350 end 1533282347575527475  Run 357409, LB 658, lumi 15.87
Event Veto ['NoiseBurst'], Fri Aug  3 07:46:32 2018 UTC-Fri Aug  3 07:46:32 2018 UTC (0.001 )  Time stamp start 1533282392229275155 end 1533282392228274605  Run 357409, LB 659, lumi 15.81
Event Veto ['MiniNoiseBurst'], Fri Aug  3 07:47:03 2018 UTC-Fri Aug  3 07:47:03 2018 UTC (0.001 )  Time stamp start 1533282423617102195 end 1533282423616102195  Run 357409, LB 659, lumi 15.80
Event Veto ['MiniNoiseBurst'], Fri Aug  3 07:47:09 2018 UTC-Fri Aug  3 07:47:09 2018 UTC (0.001 )  Time stamp start 1533282429791947335 end 1533282429790947335  Run 357409, LB 659, lumi 15.80
Event Veto ['NoiseBurst'], Fri Aug  3 07:48:15 2018 UTC-Fri Aug  3 07:48:15 2018 UTC (0.001 )  Time stamp start 1533282495887969615 end 1533282495886968865  Run 357409, LB 661, lumi 15.94
Event Veto ['NoiseBurst'], Fri Aug  3 07:48:17 2018 UTC-Fri Aug  3 07:48:17 2018 UTC (0.001 )  Time stamp start 1533282497889097710 end 1533282497888096960  Run 357409, LB 661, lumi 15.94
Event Veto ['NoiseBurst'], Fri Aug  3 07:48:43 2018 UTC-Fri Aug  3 07:48:43 2018 UTC (0.001 )  Time stamp start 1533282523770241450 end 1533282523769240700  Run 357409, LB 661, lumi 15.94
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.003 )  Time stamp start 1533282551966597985 end 1533282551963388370  Run 357409, LB 662, lumi 50.77
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.002 )  Time stamp start 1533282551982192020 end 1533282551980617505  Run 357409, LB 662, lumi 24.91
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.003 )  Time stamp start 1533282551986631705 end 1533282551983626890  Run 357409, LB 662, lumi 47.53
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.004 )  Time stamp start 1533282551991459025 end 1533282551987117275  Run 357409, LB 662, lumi 68.68
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.001 )  Time stamp start 1533282551993870940 end 1533282551992759830  Run 357409, LB 662, lumi 17.58
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.002 )  Time stamp start 1533282551995846515 end 1533282551993874155  Run 357409, LB 662, lumi 31.20
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.001 )  Time stamp start 1533282551998728520 end 1533282551997728150  Run 357409, LB 662, lumi 15.83
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:12 2018 UTC (0.005 )  Time stamp start 1533282552004772915 end 1533282551999369930  Run 357409, LB 662, lumi 85.47
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:12 2018 UTC-Fri Aug  3 07:49:12 2018 UTC (0.001 )  Time stamp start 1533282552005873590 end 1533282552004782970  Run 357409, LB 662, lumi 17.25
