Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 358175 to 358175
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 358175 to run 358175  lasting from Sun Aug 12 13:29:11 2018 UTC to Sun Aug 12 21:54:15 2018 UTC
Event Veto ['NoiseBurst'], Sun Aug 12 14:30:46 2018 UTC-Sun Aug 12 14:30:46 2018 UTC (0.001 )  Time stamp start 1534084246649886705 end 1534084246648885880  Run 358175, LB 75, lumi 2.22
Event Veto ['NoiseBurst'], Sun Aug 12 14:30:54 2018 UTC-Sun Aug 12 14:30:54 2018 UTC (0.001 )  Time stamp start 1534084254891820285 end 1534084254890818840  Run 358175, LB 75, lumi 2.22
Event Veto ['NoiseBurst'], Sun Aug 12 14:31:46 2018 UTC-Sun Aug 12 14:31:46 2018 UTC (0.001 )  Time stamp start 1534084306283417580 end 1534084306282417205  Run 358175, LB 76, lumi 16.51
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:23 2018 UTC-Sun Aug 12 14:32:23 2018 UTC (0.001 )  Time stamp start 1534084343421328770 end 1534084343420327645  Run 358175, LB 77, lumi 16.90
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:25 2018 UTC-Sun Aug 12 14:32:25 2018 UTC (0.001 )  Time stamp start 1534084345337208625 end 1534084345336207880  Run 358175, LB 77, lumi 16.89
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:27 2018 UTC-Sun Aug 12 14:32:27 2018 UTC (0.001 )  Time stamp start 1534084347599650200 end 1534084347598649950  Run 358175, LB 77, lumi 16.88
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:29 2018 UTC-Sun Aug 12 14:32:29 2018 UTC (0.001 )  Time stamp start 1534084349210564375 end 1534084349209564000  Run 358175, LB 77, lumi 16.88
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:34 2018 UTC-Sun Aug 12 14:32:34 2018 UTC (0.001 )  Time stamp start 1534084354830012310 end 1534084354829011315  Run 358175, LB 77, lumi 16.89
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:35 2018 UTC-Sun Aug 12 14:32:35 2018 UTC (0.002 )  Time stamp start 1534084355896654180 end 1534084355894674665  Run 358175, LB 77, lumi 33.41
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:39 2018 UTC-Sun Aug 12 14:32:39 2018 UTC (0.001 )  Time stamp start 1534084359985375410 end 1534084359984374465  Run 358175, LB 77, lumi 16.89
Event Veto ['NoiseBurst'], Sun Aug 12 14:32:41 2018 UTC-Sun Aug 12 14:32:41 2018 UTC (0.001 )  Time stamp start 1534084361982401765 end 1534084361981401140  Run 358175, LB 77, lumi 16.89
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:20 2018 UTC-Sun Aug 12 14:34:20 2018 UTC (0.001 )  Time stamp start 1534084460070545760 end 1534084460069545260  Run 358175, LB 80, lumi 19.63
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:25 2018 UTC-Sun Aug 12 14:34:25 2018 UTC (0.001 )  Time stamp start 1534084465030171225 end 1534084465029170975  Run 358175, LB 80, lumi 19.63
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:31 2018 UTC-Sun Aug 12 14:34:31 2018 UTC (0.001 )  Time stamp start 1534084471339662075 end 1534084471338661425  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:35 2018 UTC-Sun Aug 12 14:34:35 2018 UTC (0.001 )  Time stamp start 1534084475118351320 end 1534084475117350695  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:37 2018 UTC-Sun Aug 12 14:34:37 2018 UTC (0.001 )  Time stamp start 1534084477540919880 end 1534084477539919505  Run 358175, LB 81, lumi 19.61
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:39 2018 UTC-Sun Aug 12 14:34:39 2018 UTC (0.001 )  Time stamp start 1534084479396700290 end 1534084479395699545  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:47 2018 UTC-Sun Aug 12 14:34:47 2018 UTC (0.001 )  Time stamp start 1534084487084348090 end 1534084487083347345  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:49 2018 UTC-Sun Aug 12 14:34:49 2018 UTC (0.001 )  Time stamp start 1534084489439671590 end 1534084489438670965  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:51 2018 UTC-Sun Aug 12 14:34:51 2018 UTC (0.001 )  Time stamp start 1534084491422903600 end 1534084491421902850  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:53 2018 UTC-Sun Aug 12 14:34:53 2018 UTC (0.001 )  Time stamp start 1534084493178293240 end 1534084493177292865  Run 358175, LB 81, lumi 19.61
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:54 2018 UTC-Sun Aug 12 14:34:54 2018 UTC (0.001 )  Time stamp start 1534084494297149920 end 1534084494296149550  Run 358175, LB 81, lumi 19.61
Event Veto ['NoiseBurst'], Sun Aug 12 14:34:58 2018 UTC-Sun Aug 12 14:34:58 2018 UTC (0.001 )  Time stamp start 1534084498485267790 end 1534084498484267290  Run 358175, LB 81, lumi 19.61
Event Veto ['NoiseBurst'], Sun Aug 12 14:35:04 2018 UTC-Sun Aug 12 14:35:04 2018 UTC (0.001 )  Time stamp start 1534084504468163900 end 1534084504467163030  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:35:06 2018 UTC-Sun Aug 12 14:35:06 2018 UTC (0.001 )  Time stamp start 1534084506698460065 end 1534084506697459190  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:35:08 2018 UTC-Sun Aug 12 14:35:08 2018 UTC (0.001 )  Time stamp start 1534084508105986205 end 1534084508104985585  Run 358175, LB 81, lumi 19.62
Event Veto ['NoiseBurst'], Sun Aug 12 14:35:16 2018 UTC-Sun Aug 12 14:35:16 2018 UTC (0.001 )  Time stamp start 1534084516817720670 end 1534084516816719920  Run 358175, LB 81, lumi 19.62
