Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359823 to 359823
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359823 to run 359823  lasting from Mon Sep  3 15:37:16 2018 UTC to Tue Sep  4 04:02:49 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:36:12 2018 UTC-Mon Sep  3 16:36:12 2018 UTC (0.001 )  Time stamp start 1535992572184285300 end 1535992572183285300  Run 359823, LB 63, lumi 1.35
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:36:12 2018 UTC-Mon Sep  3 16:36:12 2018 UTC (0.001 )  Time stamp start 1535992572641859510 end 1535992572640859510  Run 359823, LB 63, lumi 1.35
Event Veto ['NoiseBurst'], Mon Sep  3 16:37:31 2018 UTC-Mon Sep  3 16:37:31 2018 UTC (0.001 )  Time stamp start 1535992651838694165 end 1535992651837451045  Run 359823, LB 65, lumi 22.32
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:41:53 2018 UTC-Mon Sep  3 16:41:53 2018 UTC (0.001 )  Time stamp start 1535992913679980230 end 1535992913678980230  Run 359823, LB 70, lumi 19.34
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 16:42:39 2018 UTC-Mon Sep  3 16:42:39 2018 UTC (0.001 )  Time stamp start 1535992959632310910 end 1535992959631310910  Run 359823, LB 71, lumi 19.18
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:47:06 2018 UTC-Mon Sep  3 16:47:06 2018 UTC (0.001 )  Time stamp start 1535993226848680130 end 1535993226847680130  Run 359823, LB 76, lumi 18.75
Event Veto ['NoiseBurst'], Mon Sep  3 16:48:24 2018 UTC-Mon Sep  3 16:48:24 2018 UTC (0.001 )  Time stamp start 1535993304755462675 end 1535993304754462300  Run 359823, LB 77, lumi 18.82
Event Veto ['NoiseBurst'], Mon Sep  3 16:49:57 2018 UTC-Mon Sep  3 16:49:57 2018 UTC (0.001 )  Time stamp start 1535993397882284350 end 1535993397881283850  Run 359823, LB 78, lumi 18.79
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:49:59 2018 UTC-Mon Sep  3 16:49:59 2018 UTC (0.001 )  Time stamp start 1535993399201077615 end 1535993399200077615  Run 359823, LB 78, lumi 18.78
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 16:50:21 2018 UTC-Mon Sep  3 16:50:21 2018 UTC (0.001 )  Time stamp start 1535993421856968405 end 1535993421855968405  Run 359823, LB 79, lumi 18.70
Event Veto ['NoiseBurst'], Mon Sep  3 16:50:24 2018 UTC-Mon Sep  3 16:50:24 2018 UTC (0.001 )  Time stamp start 1535993424707275635 end 1535993424706275385  Run 359823, LB 79, lumi 18.71
Event Veto ['NoiseBurst'], Mon Sep  3 16:51:53 2018 UTC-Mon Sep  3 16:51:53 2018 UTC (0.001 )  Time stamp start 1535993513383043490 end 1535993513382042740  Run 359823, LB 81, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon Sep  3 16:52:15 2018 UTC-Mon Sep  3 16:52:15 2018 UTC (0.001 )  Time stamp start 1535993535217298190 end 1535993535216298190  Run 359823, LB 81, lumi 18.61
Event Veto ['NoiseBurst'], Mon Sep  3 17:00:52 2018 UTC-Mon Sep  3 17:00:52 2018 UTC (0.001 )  Time stamp start 1535994052449192030 end 1535994052448191535  Run 359823, LB 122, lumi 18.16
Event Veto ['NoiseBurst'], Mon Sep  3 17:03:37 2018 UTC-Mon Sep  3 17:03:37 2018 UTC (0.001 )  Time stamp start 1535994217224634495 end 1535994217223633595  Run 359823, LB 125, lumi 18.04
Event Veto ['NoiseBurst'], Mon Sep  3 17:03:46 2018 UTC-Mon Sep  3 17:03:46 2018 UTC (0.001 )  Time stamp start 1535994226328184480 end 1535994226327183730  Run 359823, LB 125, lumi 18.04
Event Veto ['NoiseBurst'], Mon Sep  3 17:04:04 2018 UTC-Mon Sep  3 17:04:04 2018 UTC (0.001 )  Time stamp start 1535994244864499080 end 1535994244863498455  Run 359823, LB 126, lumi 17.92
Event Veto ['NoiseBurst'], Mon Sep  3 17:04:30 2018 UTC-Mon Sep  3 17:04:30 2018 UTC (0.001 )  Time stamp start 1535994270136286800 end 1535994270135286175  Run 359823, LB 126, lumi 17.92
Event Veto ['NoiseBurst'], Mon Sep  3 17:05:01 2018 UTC-Mon Sep  3 17:05:01 2018 UTC (0.001 )  Time stamp start 1535994301581307990 end 1535994301580307090  Run 359823, LB 127, lumi 17.92
