Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359918 to 359918
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359918 to run 359918  lasting from Tue Sep  4 19:26:40 2018 UTC to Wed Sep  5 06:33:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:24:18 2018 UTC-Tue Sep  4 20:24:18 2018 UTC (0.001 )  Time stamp start 1536092658774619580 end 1536092658773619580  Run 359918, LB 62, lumi 0.00
Event Veto ['NoiseBurst'], Tue Sep  4 20:25:20 2018 UTC-Tue Sep  4 20:25:20 2018 UTC (0.001 )  Time stamp start 1536092720013154440 end 1536092720012153490  Run 359918, LB 63, lumi 8.19
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:25:52 2018 UTC-Tue Sep  4 20:25:52 2018 UTC (0.001 )  Time stamp start 1536092752821032980 end 1536092752820032980  Run 359918, LB 63, lumi 8.19
Event Veto ['NoiseBurst'], Tue Sep  4 20:25:59 2018 UTC-Tue Sep  4 20:25:59 2018 UTC (0.001 )  Time stamp start 1536092759072418625 end 1536092759071418030  Run 359918, LB 63, lumi 8.19
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:26:05 2018 UTC-Tue Sep  4 20:26:05 2018 UTC (0.001 )  Time stamp start 1536092765218291335 end 1536092765217291335  Run 359918, LB 63, lumi 8.19
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:26:18 2018 UTC-Tue Sep  4 20:26:18 2018 UTC (0.001 )  Time stamp start 1536092778217943335 end 1536092778216943335  Run 359918, LB 64, lumi 15.73
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:26:31 2018 UTC-Tue Sep  4 20:26:31 2018 UTC (0.001 )  Time stamp start 1536092791490545230 end 1536092791489545230  Run 359918, LB 64, lumi 15.73
Event Veto ['NoiseBurst'], Tue Sep  4 20:27:08 2018 UTC-Tue Sep  4 20:27:08 2018 UTC (0.001 )  Time stamp start 1536092828376982640 end 1536092828375982145  Run 359918, LB 64, lumi 15.74
Event Veto ['NoiseBurst'], Tue Sep  4 20:27:20 2018 UTC-Tue Sep  4 20:27:20 2018 UTC (0.003 )  Time stamp start 1536092840194030280 end 1536092840190959740  Run 359918, LB 65, lumi 44.48
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:27:20 2018 UTC-Tue Sep  4 20:27:20 2018 UTC (0.001 )  Time stamp start 1536092840637704010 end 1536092840636704010  Run 359918, LB 65, lumi 14.49
Event Veto ['NoiseBurst'], Tue Sep  4 20:27:21 2018 UTC-Tue Sep  4 20:27:21 2018 UTC (0.001 )  Time stamp start 1536092841037170495 end 1536092841036169770  Run 359918, LB 65, lumi 14.50
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:28:07 2018 UTC-Tue Sep  4 20:28:07 2018 UTC (0.001 )  Time stamp start 1536092887505304140 end 1536092887504304140  Run 359918, LB 65, lumi 14.49
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:28:18 2018 UTC-Tue Sep  4 20:28:18 2018 UTC (0.001 )  Time stamp start 1536092898718574060 end 1536092898717574060  Run 359918, LB 66, lumi 19.20
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:28:24 2018 UTC-Tue Sep  4 20:28:24 2018 UTC (0.001 )  Time stamp start 1536092904286963140 end 1536092904285963140  Run 359918, LB 66, lumi 19.20
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:28:35 2018 UTC-Tue Sep  4 20:28:35 2018 UTC (0.001 )  Time stamp start 1536092915919153690 end 1536092915918153690  Run 359918, LB 66, lumi 19.20
Event Veto ['NoiseBurst'], Tue Sep  4 20:28:37 2018 UTC-Tue Sep  4 20:28:37 2018 UTC (0.001 )  Time stamp start 1536092917493138055 end 1536092917492137060  Run 359918, LB 66, lumi 19.22
