Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360161 to 360161
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360161 to run 360161  lasting from Fri Sep  7 00:12:28 2018 UTC to Fri Sep  7 06:52:09 2018 UTC
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.005 )  Time stamp start 1536279735734819280 end 1536279735729378665  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.002 )  Time stamp start 1536279735739180430 end 1536279735737458705  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735742374480 end 1536279735741040090  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.002 )  Time stamp start 1536279735746045620 end 1536279735743787875  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735748757720 end 1536279735747263095  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735761002245 end 1536279735759662615  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735762967795 end 1536279735761552565  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735766721270 end 1536279735765410555  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735769139625 end 1536279735767804735  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.003 )  Time stamp start 1536279735774318210 end 1536279735771089930  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735776870180 end 1536279735775541175  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735778792610 end 1536279735777649445  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.005 )  Time stamp start 1536279735820070455 end 1536279735815052355  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735821407795 end 1536279735820301855  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735823618110 end 1536279735822335590  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.002 )  Time stamp start 1536279735827549355 end 1536279735825458785  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735828969105 end 1536279735827885345  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735831079895 end 1536279735829802415  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735834015930 end 1536279735832860535  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735841544955 end 1536279735840409325  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.002 )  Time stamp start 1536279735844208930 end 1536279735842515320  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735847161105 end 1536279735845938820  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735849835030 end 1536279735848602465  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735852033820 end 1536279735850873335  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735854963620 end 1536279735853624535  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.002 )  Time stamp start 1536279735858291355 end 1536279735856701695  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735861505965 end 1536279735860119650  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735864596645 end 1536279735863222035  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.005 )  Time stamp start 1536279735915410610 end 1536279735910166925  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:15 2018 UTC-Fri Sep  7 00:22:15 2018 UTC (0.001 )  Time stamp start 1536279735918218795 end 1536279735916870185  Run 360161, LB 12, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:39 2018 UTC-Fri Sep  7 00:22:39 2018 UTC (0.006 )  Time stamp start 1536279759095240655 end 1536279759089075545  Run 360161, LB 13, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 00:22:39 2018 UTC-Fri Sep  7 00:22:39 2018 UTC (0.001 )  Time stamp start 1536279759096678195 end 1536279759095471280  Run 360161, LB 13, lumi 0.00
Event Veto ['NoiseBurst'], Fri Sep  7 01:03:51 2018 UTC-Fri Sep  7 01:03:51 2018 UTC (0.001 )  Time stamp start 1536282231395530860 end 1536282231394529890  Run 360161, LB 57, lumi 15.78
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:05:11 2018 UTC-Fri Sep  7 01:05:11 2018 UTC (0.001 )  Time stamp start 1536282311274953910 end 1536282311273953910  Run 360161, LB 58, lumi 18.47
Event Veto ['NoiseBurst'], Fri Sep  7 01:08:04 2018 UTC-Fri Sep  7 01:08:04 2018 UTC (0.001 )  Time stamp start 1536282484675436535 end 1536282484674436410  Run 360161, LB 62, lumi 18.31
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:08:35 2018 UTC-Fri Sep  7 01:08:35 2018 UTC (0.001 )  Time stamp start 1536282515470335605 end 1536282515469335605  Run 360161, LB 63, lumi 18.39
Event Veto ['NoiseBurst'], Fri Sep  7 01:10:52 2018 UTC-Fri Sep  7 01:10:52 2018 UTC (0.001 )  Time stamp start 1536282652988283005 end 1536282652987273000  Run 360161, LB 65, lumi 18.45
Event Veto ['NoiseBurst'], Fri Sep  7 01:11:23 2018 UTC-Fri Sep  7 01:11:23 2018 UTC (0.001 )  Time stamp start 1536282683704115795 end 1536282683703115545  Run 360161, LB 66, lumi 18.23
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:12:51 2018 UTC-Fri Sep  7 01:12:51 2018 UTC (0.001 )  Time stamp start 1536282771998404985 end 1536282771997404985  Run 360161, LB 67, lumi 18.16
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  7 01:13:08 2018 UTC-Fri Sep  7 01:13:08 2018 UTC (0.001 )  Time stamp start 1536282788741155765 end 1536282788740155765  Run 360161, LB 67, lumi 18.16
Event Veto ['NoiseBurst'], Fri Sep  7 01:13:15 2018 UTC-Fri Sep  7 01:13:15 2018 UTC (0.001 )  Time stamp start 1536282795010782450 end 1536282795009465900  Run 360161, LB 68, lumi 23.93
Event Veto ['NoiseBurst'], Fri Sep  7 01:15:08 2018 UTC-Fri Sep  7 01:15:08 2018 UTC (0.002 )  Time stamp start 1536282908261162530 end 1536282908259528230  Run 360161, LB 70, lumi 29.42
Event Veto ['NoiseBurst'], Fri Sep  7 01:15:36 2018 UTC-Fri Sep  7 01:15:36 2018 UTC (0.001 )  Time stamp start 1536282936045042095 end 1536282936043563590  Run 360161, LB 71, lumi 26.58
Event Veto ['NoiseBurst'], Fri Sep  7 01:17:39 2018 UTC-Fri Sep  7 01:17:39 2018 UTC (0.001 )  Time stamp start 1536283059011281765 end 1536283059010280865  Run 360161, LB 73, lumi 17.97
Event Veto ['NoiseBurst'], Fri Sep  7 01:17:47 2018 UTC-Fri Sep  7 01:17:47 2018 UTC (0.001 )  Time stamp start 1536283067330645030 end 1536283067329644030  Run 360161, LB 73, lumi 17.97
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:25:41 2018 UTC-Fri Sep  7 01:25:41 2018 UTC (0.001 )  Time stamp start 1536283541110891895 end 1536283541109891895  Run 360161, LB 114, lumi 17.51
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:26:45 2018 UTC-Fri Sep  7 01:26:45 2018 UTC (0.001 )  Time stamp start 1536283605414878290 end 1536283605413878290  Run 360161, LB 115, lumi 17.46
Event Veto ['NoiseBurst'], Fri Sep  7 01:26:48 2018 UTC-Fri Sep  7 01:26:48 2018 UTC (0.001 )  Time stamp start 1536283608383594705 end 1536283608382316280  Run 360161, LB 115, lumi 22.32
Event Veto ['NoiseBurst'], Fri Sep  7 01:27:03 2018 UTC-Fri Sep  7 01:27:03 2018 UTC (0.001 )  Time stamp start 1536283623585177380 end 1536283623584177005  Run 360161, LB 115, lumi 17.47
Event Veto ['NoiseBurst'], Fri Sep  7 01:27:09 2018 UTC-Fri Sep  7 01:27:09 2018 UTC (0.001 )  Time stamp start 1536283629825397070 end 1536283629824396570  Run 360161, LB 115, lumi 17.47
Event Veto ['NoiseBurst'], Fri Sep  7 01:31:04 2018 UTC-Fri Sep  7 01:31:04 2018 UTC (0.001 )  Time stamp start 1536283864395400745 end 1536283864394201560  Run 360161, LB 120, lumi 19.61
Event Veto ['NoiseBurst'], Fri Sep  7 01:36:02 2018 UTC-Fri Sep  7 01:36:02 2018 UTC (0.001 )  Time stamp start 1536284162994305775 end 1536284162993159490  Run 360161, LB 125, lumi 20.11
Event Veto ['NoiseBurst'], Fri Sep  7 01:40:23 2018 UTC-Fri Sep  7 01:40:23 2018 UTC (0.001 )  Time stamp start 1536284423274201155 end 1536284423273201030  Run 360161, LB 129, lumi 17.51
Event Veto ['NoiseBurst'], Fri Sep  7 01:40:45 2018 UTC-Fri Sep  7 01:40:45 2018 UTC (0.001 )  Time stamp start 1536284445153514255 end 1536284445152513510  Run 360161, LB 129, lumi 17.52
Event Veto ['NoiseBurst'], Fri Sep  7 01:40:54 2018 UTC-Fri Sep  7 01:40:54 2018 UTC (0.001 )  Time stamp start 1536284454738196645 end 1536284454737196020  Run 360161, LB 129, lumi 17.52
Event Veto ['NoiseBurst'], Fri Sep  7 01:40:58 2018 UTC-Fri Sep  7 01:40:58 2018 UTC (0.001 )  Time stamp start 1536284458257935600 end 1536284458256934975  Run 360161, LB 129, lumi 17.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  7 01:41:36 2018 UTC-Fri Sep  7 01:41:36 2018 UTC (0.001 )  Time stamp start 1536284496887776580 end 1536284496886776580  Run 360161, LB 130, lumi 17.49
Event Veto ['NoiseBurst'], Fri Sep  7 01:43:36 2018 UTC-Fri Sep  7 01:43:36 2018 UTC (0.001 )  Time stamp start 1536284616140802030 end 1536284616139801030  Run 360161, LB 133, lumi 17.35
Event Veto ['NoiseBurst'], Fri Sep  7 01:47:17 2018 UTC-Fri Sep  7 01:47:17 2018 UTC (0.001 )  Time stamp start 1536284837465337670 end 1536284837464229235  Run 360161, LB 136, lumi 19.12
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:50:15 2018 UTC-Fri Sep  7 01:50:15 2018 UTC (0.001 )  Time stamp start 1536285015364911920 end 1536285015363911920  Run 360161, LB 139, lumi 17.15
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:50:44 2018 UTC-Fri Sep  7 01:50:44 2018 UTC (0.001 )  Time stamp start 1536285044249060165 end 1536285044248060165  Run 360161, LB 140, lumi 17.10
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:52:43 2018 UTC-Fri Sep  7 01:52:43 2018 UTC (0.001 )  Time stamp start 1536285163238000165 end 1536285163237000165  Run 360161, LB 143, lumi 17.07
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:56:21 2018 UTC-Fri Sep  7 01:56:21 2018 UTC (0.001 )  Time stamp start 1536285381204859885 end 1536285381203859885  Run 360161, LB 147, lumi 16.96
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:58:34 2018 UTC-Fri Sep  7 01:58:34 2018 UTC (0.001 )  Time stamp start 1536285514981235750 end 1536285514980235750  Run 360161, LB 149, lumi 16.88
Event Veto ['MiniNoiseBurst'], Fri Sep  7 01:59:06 2018 UTC-Fri Sep  7 01:59:06 2018 UTC (0.001 )  Time stamp start 1536285546807292625 end 1536285546806292625  Run 360161, LB 150, lumi 16.82
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:01:16 2018 UTC-Fri Sep  7 02:01:16 2018 UTC (0.001 )  Time stamp start 1536285676236503435 end 1536285676235503435  Run 360161, LB 152, lumi 16.76
Event Veto ['NoiseBurst'], Fri Sep  7 02:02:21 2018 UTC-Fri Sep  7 02:02:21 2018 UTC (0.001 )  Time stamp start 1536285741907940930 end 1536285741906940435  Run 360161, LB 153, lumi 16.75
Event Veto ['NoiseBurst'], Fri Sep  7 02:02:46 2018 UTC-Fri Sep  7 02:02:46 2018 UTC (0.001 )  Time stamp start 1536285766972329050 end 1536285766971054770  Run 360161, LB 153, lumi 21.33
Event Veto ['NoiseBurst'], Fri Sep  7 02:03:33 2018 UTC-Fri Sep  7 02:03:33 2018 UTC (0.001 )  Time stamp start 1536285813475737160 end 1536285813474736410  Run 360161, LB 154, lumi 16.71
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:04:45 2018 UTC-Fri Sep  7 02:04:45 2018 UTC (0.001 )  Time stamp start 1536285885326212345 end 1536285885325212345  Run 360161, LB 155, lumi 16.69
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:04:54 2018 UTC-Fri Sep  7 02:04:54 2018 UTC (0.001 )  Time stamp start 1536285894814871855 end 1536285894813871855  Run 360161, LB 155, lumi 16.69
Event Veto ['MiniNoiseBurst'], Fri Sep  7 02:06:56 2018 UTC-Fri Sep  7 02:06:56 2018 UTC (0.001 )  Time stamp start 1536286016668438020 end 1536286016667438020  Run 360161, LB 157, lumi 15.64
Event Veto ['NoiseBurst'], Fri Sep  7 02:10:41 2018 UTC-Fri Sep  7 02:10:42 2018 UTC (0.001 )  Time stamp start 1536286242000766525 end 1536286241999628370  Run 360161, LB 161, lumi 18.95
