Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 363129 to 363129
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 363129 to run 363129  lasting from Mon Oct  8 00:08:17 2018 UTC to Mon Oct  8 12:20:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  8 00:36:21 2018 UTC-Mon Oct  8 00:36:21 2018 UTC (0.001 )  Time stamp start 1538958981511350335 end 1538958981510350335  Run 363129, LB 30, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:18:25 2018 UTC-Mon Oct  8 01:18:25 2018 UTC (0.001 )  Time stamp start 1538961505341780325 end 1538961505340780325  Run 363129, LB 74, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:27:16 2018 UTC-Mon Oct  8 01:27:16 2018 UTC (0.001 )  Time stamp start 1538962036003472715 end 1538962036002472715  Run 363129, LB 83, lumi 1.59
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:27:28 2018 UTC-Mon Oct  8 01:27:28 2018 UTC (0.001 )  Time stamp start 1538962048846025675 end 1538962048845025675  Run 363129, LB 84, lumi 14.62
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:27:40 2018 UTC-Mon Oct  8 01:27:40 2018 UTC (0.001 )  Time stamp start 1538962060644946830 end 1538962060643946830  Run 363129, LB 84, lumi 14.62
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:28:01 2018 UTC-Mon Oct  8 01:28:01 2018 UTC (0.001 )  Time stamp start 1538962081665382460 end 1538962081664382460  Run 363129, LB 84, lumi 14.62
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:28:25 2018 UTC-Mon Oct  8 01:28:25 2018 UTC (0.001 )  Time stamp start 1538962105059551105 end 1538962105058551105  Run 363129, LB 85, lumi 16.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:29:15 2018 UTC-Mon Oct  8 01:29:15 2018 UTC (0.001 )  Time stamp start 1538962155835324705 end 1538962155834324705  Run 363129, LB 85, lumi 16.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:29:25 2018 UTC-Mon Oct  8 01:29:25 2018 UTC (0.001 )  Time stamp start 1538962165585041410 end 1538962165584041410  Run 363129, LB 86, lumi 18.11
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:30:05 2018 UTC-Mon Oct  8 01:30:05 2018 UTC (0.001 )  Time stamp start 1538962205838816975 end 1538962205837816975  Run 363129, LB 86, lumi 18.11
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:30:40 2018 UTC-Mon Oct  8 01:30:40 2018 UTC (0.001 )  Time stamp start 1538962240714630565 end 1538962240713630565  Run 363129, LB 87, lumi 18.08
